Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8]
16,"말썽쟁이 실프",0,"0",0,0,1,0,0,"검은장막 숲 깊은 곳에 사는, 유곡의 민족이라 불리는 작은 수인. 인형에 나뭇잎을 두른 듯한 귀여운 모습을 하고 있다. 환술에 능한 개체가 많으나, 그 힘으로 여행자를 조난시키는 등 도가 지나친 장난을 부려 심각한 사태를 초래하는 경우도 있다."
17,"코볼드",0,"0",0,0,1,0,0,"바일브랜드 섬 산악지대에 펼쳐진 갱도에 사는, 지하 민족이라 불리는 수인. 광물을 대지신의 은혜로 여기며, 그 속에 숨겨진 신의 법칙을 이해하고자 연금술을 고도로 발달시켰다. 림사 로민사와는 불가침조약을 맺고 있었으나……."
18,"사하긴",0,"0",0,0,1,0,0,"창망의 바다를 근거지로 삼는 해양 민족. 물속에서도 호흡할 수 있으며, 탄력적인 팔다리로 우아하게 헤엄친다. 여왕 지위를 가진 암컷 한 마리를 정점으로 한 피라미드형 계급사회를 이루고 있다. 림사 로민사의 적대 민족."
19,"타타루 타루",0,"0",0,0,1,0,0,"""랄라 랄라 라~ 모~래로 된 작은~ 집에 꽃~님이 피었습니다~""<br>새벽의 혈맹 접수원: 타타루 타루"
20,"모그리",0,"0",0,0,1,0,0,"검은장막 숲에 서식하는 수수께끼의 종족. 마력이 높으며, 평상시에는 마법으로 모습을 감추고 있다. 그래서 마법 소양이 뛰어난 사람이 아니면 발견하기 어렵다. 노래와 춤을 몹시 사랑하는 민족으로도 유명하다."
21,"세이렌",0,"0",0,0,1,0,0,"아름다운 노래로 뱃사람들을 유혹하여 배를 침몰시키는 바다의 마물. 그 옛날 해적왕 '안개수염'이 전멸시킨 것으로 알려졌으나, 몇 년 전부터 목격자가 나타나기 시작했다. 침몰된 배의 선원들은 정기를 빨려 좀비가 된다고 한다."
22,"오르트로스 & 티폰",0,"0",0,0,1,0,0,"주술사 길드가 실시한 요마 소환실험으로 나타난 수수께끼의 존재. 이계 '보이드'의 요마로 추측되지만 정확한 것은 알 수 없다. 오르트로스는 투기장 재단, 티폰은 골드 소서에 취직했다고 한다."
23,"악마의 벽",0,"0",0,0,1,0,0,"벽에 피로 문양을 그린 후 생명을 불어넣어 건축물의 수호자로 만든 고대마법의 산물이다. 주인이 사라진 현재까지도 충직하게 유적을 지키고 있는 경우가 있어, 아무것도 모르고 다가간 모험가가 비참한 최후를 맞이하기도 한다……."
24,"서큐버스",0,"0",0,0,1,0,0,"여성의 신체를 매개체로 물질계에 현신하는 요마. 그로 인해 아름답고 요염한 여성의 모습을 하고 있다. 경우에 따라서는 생전의 기억을 이어받기도 하는 모양이다. 요마 12계급 중 제3~4위에 해당하는 고위 요마이다."
25,"키마이라",0,"0",0,0,1,0,0,"사자와 산양, 용의 머리를 가진 기괴한 마물. 등에 난 날개는 박쥐와도 같고, 꼬리는 전갈의 그것을 연상시키는 등, 여러 짐승의 특징을 동시에 갖추고 있다. 이를 보고 혹자는 신의 장난이라고 주장하며, 또 어떤 이는 사악한 마도사의 연구물이라고 말하는데……."
26,"푸른 용",0,"0",0,0,1,0,0,"환룡 미드가르드오름과 그의 자식 '칠대천룡'의 피를 이어받은 종족. 천 년을 훌쩍 넘는 수명을 가졌으며, 그 기나긴 성장 과정에서 각 개체마다 독자적으로 '진화'를 겪는다. 그래서 같은 종족이면서도 전혀 다른 형태의 개체가 무수히 존재한다."
27,"잘생긴 부가쟈",0,"0",0,0,1,0,0,"""오, 오…… 오오, 오…… 가슴이 뛴, 다!!""<br>용병: 잘생긴 부가쟈"
28,"모모디 모디",0,"0",0,0,1,0,0,"""'……하지만 인생 상담은 사절이야. 연애 상담이라면 생각해 보겠지만. 우후후.""<br>'모래늪' 여주인: 모모디 모디"
29,"열 손가락 바데론",0,"0",0,0,1,0,0,"""돌고래도 물에 빠지는 법이지. 훌륭한 모험가가 되고 싶으면 항상 초심을 잊지 말라고.""<br>'물에 빠진 돌고래 주점' 주인: 열 손가락 바데론"
30,"뮨",0,"0",0,0,1,0,0,"""맛있는 차 한 잔과 한때의 휴식. 칼라인 카페에 온 걸 환영할게.""<br>찻집 '칼라인 카페' 주인: 뮨"
31,"리위아 사스 유니우스",0,"0",0,0,1,0,0,"""자꾸 늑장 부리면…… 죽일 거야.""<br>제XIV군단 분견대장: 리위아 사스 유니우스"
32,"리트아틴 사스 아르비나",0,"0",0,0,1,0,0,"""나로 말하자면 리트아틴 사스 아르비나! 가이우스 각하의 창이자 방패다!""<br>제XIV군단 진영대장: 리트아틴 사스 아르비나"
33,"빅스 & 웨지",0,"0",0,0,1,0,0,"""인사 안 해!?"" ""살려줘서 고맙슴다!!""<br>갈론드 아이언웍스 사: 빅스 & 웨지"
34,"게롤트 블랙손",0,"0",0,0,1,0,0,"""쳇, 잘 들어둬. 지금은 술 주전자나 만들고 있지만…… 난 원래 명성이 자자한 일류 무기장인이었다 이거야.""<br>떠돌이 무기 장인: 게롤트 블랙손"
35,"프리크시오",0,"0",0,0,1,0,0,"""숨이 막혀서 하마터면 기살의 야채가 될 뻔했닷치!""<br>임시 주거지 수장: 프리크시오"
36,"뮤타믹스",0,"0",0,0,1,0,0,"""슈우우…… 슈우우…… 물건에 깃든 사람의 마음 마테리아가 된다 반짝반짝 빛난다~""<br>가마솥을 나르는 자: 뮤타믹스"
37,"메메룬",0,"0",0,0,1,0,0,"""메메룬 짤랑짤랑 정말 좋아해. 메메룬 가게가게 크게 만들래!""<br>메메룬 교역상점: 메메룬"
38,"베히모스",0,"0",0,0,1,0,0,"비정상적으로 발달한 근육을 가진 육식동물. 제7재해 후부터 커르다스 산악 지대에서 목격되기 시작했다. 이에 야만신 바하무트가 떨군 분신이란 뜻으로 '베히모스'라는 이름이 붙었다. 생태에 관해서는 비밀이 많아 더욱 많은 연구가 필요하다."
39,"길가메시 & 엔키두",0,"0",0,0,1,0,0,"""내 이름은 떠돌이 검객…… 길가메시!""<br>길가메시 & 엔키두"
40,"이프리트",0,"0",0,0,1,0,0,"아말쟈족이 소환한 화염의 신. 몹시 사납고 거친 성격으로 알려져 있다. 타오르는 숨결을 뿜고, 무쇠를 찢는 발톱을 휘두르며, 하늘을 태우는 뿔을 가졌다. 그에게 도전하는 자는 반드시 '지옥의 화염'에 휩싸이게 될 것이다."
41,"타이탄",0,"0",0,0,1,0,0,"코볼드족이 소환한 바위의 신. 온화한 성격을 가진 것으로 알려져 있으며, 신도인 코볼드족을 마치 자식처럼 소중히 여긴다. 그러나 전투에 돌입하면 용암과도 같은 분노를 터뜨리며, 태산 같은 거구를 떨쳐 '대지의 분노'로 땅을 뒤흔든다."
42,"가루다",0,"0",0,0,1,0,0,"이크살족이 소환한 바람의 신. 하늘을 가뿐히 날아다니는 모습은 우아해 보이지만, 피를 좋아하는 잔인한 성격으로서 신도들도 '무자비한 여왕'이라 부르며 두려워한다. 성질이 난폭하여, 화가 치밀면 '대기 폭발'이라는 폭풍을 일으킨다."
43,"선왕 모그루 모그 XII세",0,"0",0,0,1,0,0,"모그리족이 소환한 전설의 왕. '천계에 살던 일족을 지상으로 인도했다'는 옛날이야기에 등장하는 모그리족의 마지막 왕이라는데, 어떻게 된 영문인지 현실에 강림했다. '선왕'답게 부하들을 잘 돌보는 착한 왕이다."
44,"라야 오 센나 & 아 룬 센나",0,"0",0,0,1,0,0,"""카느 에 센나가 우리 언니예요. 우리는 남동생인 아 룬 센나와 함께 삼중의 환술황이라 불리고 있어요.""<br>삼중의 환술황: 라야 오 센나 & 아 룬 센나"
45,"고드베르트 맨더빌",0,"0",0,0,1,0,0,"""에오르제아 땅에서 가장 강한 보석공예가…… 이 고드베르트가 말입니다! 이런 창피스러울 데가!""<br>맨더빌 & 맨더빌 사 대표: 고드베르트 맨더빌"
46,"산크레드",0,"0",0,0,1,0,0,"""매번 말썽만 부렸으니 가끔 멋진 모습도 보여줘야지!""<br>새벽의 혈맹: 산크레드"
47,"네로 톨 스카이와 ",0,"0",0,0,1,0,0,"""내 마도기술이 한 수 위라는 것을…… 똑똑히 보여주마, 갈론드.""<br>제XIV군단 참모장: 네로 톨 스카이와"
48,"파파리모 & 이다",0,"0",0,0,1,0,0,"""왜 이제 와, 이다!"" ""에헤헤, 무사해서 다행이야!""<br>새벽의 혈맹: 파파리모 & 이다"
49,"야슈톨라",0,"0",0,0,1,0,0,"""자, 함께 해치우죠. 당신과 나 둘이서……""<br>새벽의 혈맹: 야슈톨라"
50,"위리앙제 오귀레",0,"0",0,0,1,0,0,"""달빛이 환하다 해도 반드시 새벽은 온다……. 제 벗이 한 말입니다……. 고마운 만남이로군요.""<br>새벽의 혈맹: 위리앙제 오귀레"
51,"알테마 웨폰",0,"0",0,0,1,0,0,"갈레말 제국군 제XIV군단이 사용한 대 야만신 병기. 원래는 제3성력 시대에 고대 알라그 제국이 건조한 병기로, 오랜 세월 동안 알라미고 변경의 산속에 묻혀있었다. 이것이 훗날 제국군의 손으로 발굴 및 수리된 것이다."
52,"오딘",0,"0",0,0,1,0,0,"'검은장막 숲'을 떠도는 고대의 야만신. 누가 언제 이 땅에 소환했는지, 진실을 아는 자는 아무도 없다. 늠름한 애마 '슬레이프니르'를 타고 숲을 활보하는 이유는 원수를 갚기 위해서라는 소문이 있는데……."
53,"라무",0,"0",0,0,1,0,0,"실프족이 섬기는 천둥의 신. 전설에서는 고대의 지식을 가진 지혜로운 '숲의 노인'으로 그려지고 있다. 그러나 준엄한 심판자의 면모도 갖추고 있어서, 숲의 성역을 침범하는 자에게는 가차 없이 '심판의 벼락'을 내린다고 한다."
54,"리바이어선",0,"0",0,0,1,0,0,"사하긴족이 소환한 물의 신. 깊고 어두운 바닷속에서 모든 것을 집어삼키는 무서운 존재이다. 일찍이 뱃사람들은 해일이 오면 리바이어선이 노한 것으로 여겨 제물을 바쳤다고 한다."
55,"시바",0,"0",0,0,1,0,0,"커르다스에서 소환된 얼음의 신. 이슈가르드 정교의 성서에는 드래곤과 정을 나눈 최초의 이단자로 기록되어 있지만, 이단자들에게는 용과의 화합을 상징하는 성녀로서 칭송받고 있다."
56,"민필리아",0,"0",0,0,1,0,0,"""목적은 단 하나. 신들에게 사랑받은 땅, 이 에오르제아를 구원하는 것이죠.""<br>새벽의 혈맹 맹주: 민필리아"
57,"아씨엔 라하브레아",0,"0",0,0,1,0,0,"""그러니 사라지거라…… 그 크리스탈과 함께.""<br>어둠의 사도: 아씨엔 라하브레아"
58,"시드 갈론드",0,"0",0,0,1,0,0,"""이 엔터프라이즈는 자네 같은 영웅들을 전쟁터로 데려다주기 위한 배야!""<br>갈론드 아이언웍스 사 대표: 시드 갈론드"
59,"알피노 & 알리제",0,"0",0,0,1,0,0,"""어차피 우리의 목표는 같아. 언젠가는 서로 이해할 날이 오겠지."" ""그랬으면 좋겠네.""<br>알피노 르베유르/알리제 르베유르"
60,"루이수아 르베유르",0,"0",0,0,1,0,0,"""스스로 길을 열어가거라. 그 길에는 사람이 모이고…… 사람이 모이면 그곳이 곧 도시가 될 것이야.""<br>현자: 루이수아 르베유르"
61,"바하무트",0,"0",0,0,1,0,0,"달의 위성 '달라가브'에 봉인되어 있던 옛 야만신. 봉인이 풀려 수천 년 만에 잠에서 깨어난 바하무트는 '메가플레어'의 불길로 온 에오르제아를 잿더미로 만든 '제7재해'를 일으켰다."
62,"힐디브랜드 & 나슈 마카라카",0,"0",0,0,1,0,0,"""하늘이 알고 땅이 알고 사건도 아는, 바람의 사건해결사…… 힐디이이이이이이브랜드읏!!""<br>사건해결사: 힐디브랜드 & 나슈 마카라카"
63,"나나모 울 나모",0,"0",0,0,1,0,0,"""백성의 지혜, 백성의 용기, 백성의 행복. 무엇보다 백성들의 생명이 울다하의 가장 값진 보물이니라.""<br>울다하 제17대 국왕: 나나모 울 나모"
64,"가이우스 반 바일사르",0,"0",0,0,1,0,0,"""어리석은 백성들이 거짓된 신에 매달리는 이유가 무엇이냐? 에오르제아를 이끄는 자들이 힘없는 약자이기 때문이다!""<br>제XIV군단 군단장: 가이우스 반 바일사르"
65,"멜위브 블루피쉰",0,"0",0,0,1,0,0,"""승리는 바다와도 같다……. 날씨를 파악하고, 부하를 다스릴 줄 알며, 조류를 읽어내는 자에게만 스스로를 허락하지.""<br>흑와단 제독: 멜위브 블루피쉰"
66,"카느 에 센나",0,"0",0,0,1,0,0,"""여러분, 때로는 버드나무처럼, 때로는 떡갈나무처럼 인내해야 합니다. 바람은 언젠가 반드시 우리에게 불어올 것입니다.""<br>삼중의 환술황: 카느 에 센나"
67,"라우반 알딘",0,"0",0,0,1,0,0,"""흐하하하! 역시 전쟁터는 좋은 곳이야……. 유능한 적에게서 배우고, 무능한 아군을 가려낼 수 있지.""<br>불멸대 국장: 라우반 알딘"
68,"빛의 전사",0,"0",0,0,1,0,0,"""빛은 결코 사라지지 않는다!""<br>전설의 영웅: 빛의 전사"
69,"프리오닐",0,"0",0,0,1,0,0,"""자신이 믿는 길을 걷는다! 그뿐이야!""<br>전설의 영웅: 프리오닐"
70,"양파 기사",0,"0",0,0,1,0,0,"""겉모습으로 판단하지 말아주겠어?""<br>전설의 영웅: 양파 기사"
71,"세실 하비",0,"0",0,0,1,0,0,"""전에 말했을 텐데. 이건 우리의 싸움이기도 하다고!""<br>전설의 영웅: 세실 하비"
72,"바츠 클라우저",0,"0",0,0,1,0,0,"""아버지 유언이었거든. 세계를 누비며 견문을 넓히라고……. 게다가…… 바람이 날 부르고 있어.""<br>전설의 영웅: 바츠 클라우저"
73,"티나 브랜포드",0,"0",0,0,1,0,0,"""괜찮아. 평화로운 미래가 곧 올 거야…….""<br>전설의 영웅: 티나 브랜포드"
74,"클라우드 스트라이프",0,"0",0,0,1,0,0,"""이제 환상은 필요 없어……. 나는 내 현실을 살아간다.""<br>전설의 영웅: 클라우드 스트라이프"
75,"스콜 레온하트",0,"0",0,0,1,0,0,"""난 과거형으로 취급되고 싶지 않다고!""<br>전설의 영웅: 스콜 레온하트"
76,"지탄 트라이벌",0,"0",0,0,1,0,0,"""누군가를 구하는 데 이유가 필요한가?""<br>전설의 영웅: 지탄 트라이벌"
77,"티다",0,"0",0,0,1,0,0,"""그럼 구하러 가야지! 더 생각할 건 없다고!""<br>전설의 영웅: 티다"
78,"샨토토",0,"0",0,0,1,0,0,"""어머머! 저 열 받았어요!""<br>전설의 영웅: 샨토토"
79,"반",0,"0",0,0,1,0,0,"""꼭 강하지 않더라도 말야. 여기까지 같이 왔으니까, 앞으로도 같이 가겠다는 거야.""<br>전설의 영웅: 반"
80,"라이트닝",0,"0",0,0,1,0,0,"""할 수 있다, 없다의 문제가 아니야. 해야 한다면 할 뿐이다.""<br>전설의 영웅: 라이트닝"
81,"게일리캣",0,"0",0,0,1,0,0,"박쥐 같은 날개와 고양이 같은 다리가 있는 수수께끼 같은 존재. 백수강에 속한다고 여기는 박물학자가 있는 한편, 일부 요마학자는 제11위에 해당하는 하급 요마라는 설을 제시하고 있다. 일정 수준의 지능은 있는 듯하다."
82,"바누바누",0,"0",0,0,1,0,0,"아발라시아 구름바다의 하늘섬에 사는 원주민. 오랜 세월 격리되어 생활한 탓인지, 다른 종족과 교류한 경험이 거의 없다. 근래에 와서 지상 주민들이 비공정을 타고 구름바다에 진출하는 것을 경계하고 있는 듯하다."
83,"그나스",0,"0",0,0,1,0,0,"고지 드라바니아 남부 지역을 지배하는, 곤충을 닮은 수렵 민족. 드래곤을 쫓는 향불을 피워 자신들의 땅을 지켜왔다. 모든 개체의 정신이 왕과 같은 개체를 중심으로 연결되어 있어 완벽하게 통솔되고 있다."
84,"안개의 유우기리",0,"0",0,0,1,0,0,"도마의 닌자들도 정의를 위하여<br>힘을 보태겠다!<br>도마의 닌자: 안개의 유우기리"
85,"뚱보 초코보",0,"0",0,0,1,0,0,"어릴 때부터 한결같이 폭음과 폭식을 계속한 결과, 믿기 힘들 정도로 몸집이 비대해진 초코보. 고블린족에 전해 내려오는 민화에 따르면, 지하세계에서는 '신의 새'로 숭배되기도 한다는데…… 진상은 알 수 없다."
86,"그리핀",0,"0",0,0,1,0,0,"아발라시아 산맥 오지에 서식하는 날개 달린 마수. 뛰어난 시력으로 높은 하늘에서 사냥감을 찾은 다음, 급강하하며 덮치는 모습은 압권이다. 성질이 거칠고 사나워 예로부터 용맹의 상징으로 여겨지며, 성채도시 '알라미고'의 문양에 쓰이기도 했다."
87,"티오만",0,"0",0,0,1,0,0,"영봉 '솜 알' 정상에 산다고 전해지는 대형 드래곤족. 칠흑의 비늘을 가지고 있어서 이슈가르드 사람들은 '흑룡'이라고 부르며 두려워한다. 칠대천룡 중 하나인 사룡 '니드호그'의 짝이라는 소문도 있다."
88,"에스티니앙",0,"0",0,0,1,0,0,"기다려라, 니드호그.<br>반드시 네놈의 숨통을 끊어주마…….<br>푸른 용기사: 에스티니앙"
89,"루키아",0,"0",0,0,1,0,0,"과거의 갈등에 얽매이면<br>앞으로 나아갈 수도 없겠지.<br>신전기사단 지휘관: 루키아"
90,"이젤",0,"0",0,0,1,0,0,"우리를 구원하고, 기도를 받아줄 신이 없다면<br>성녀에게 이 기도를 바치리라.<br>얼음의 무녀: 이젤"
91,"힐다",0,"0",0,0,1,0,0,"그 유명한 영웅 나리께서 우릴 왜 찾는지 모르지만<br>어디 얘기나 한번 들어보자고.<br>반군 조직의 수장: 힐다"
92,"마토야",0,"0",0,0,1,0,0,"이런 시골구석까지 이 늙은이를 찾아온 걸 보니<br>보나 마나 쓸데없는 골칫거리를 들고 온 거겠지.<br>은자: 마토야"
93,"에드몽 드 포르탕",0,"0",0,0,1,0,0,"유서 깊은 우리 '포르탕 가'는<br>여러분을 진심으로 환영하네.<br>포르탕 가 가주: 에드몽 드 포르탕"
94,"비블로스",0,"0",0,0,1,0,0,"구브라 환상도서관의 금서고 문을 지키고 있던 존재. 샬레이안의 마도사들이 이계 보이드에서 소환한 대형 마물인 듯하다. 맹약에 속박되어 수호자의 임무를 충실히 수행하고 있었다."
95,"오르슈팡",0,"0",0,0,1,0,0,"오오…… 좋아……, 아주 좋아……!<br>하아, 그 단련된 육체미가……<br>내 가슴을 마구 설레게 하는군……!<br>포르탕 가 기사: 오르슈팡"
96,"아이메리크",0,"0",0,0,1,0,0,"자네가 그 유명한 모험가인가.<br>과연, 영웅다운 눈빛을 하고 있군.<br>신전기사단 총장: 아이메리크"
97,"라바나",0,"0",0,0,1,0,0,"그나스족이 소환한 무신. 무예를 과시하고 용기을 숭상하는 호방한 신으로, 용맹하고 자존심이 강하다. 싸움을 신성시하며, 자유롭게 형태를 바꾸는 달빛의 검 '찬드라하스'를 들고 유유히 결투에 임한다."
98,"비스마르크",0,"0",0,0,1,0,0,"바누바누족이 소환한 구름신. 구름바다를 헤엄치는 전설의 흰고래로, 인간들 사이에서도 그 존재가 회자되고 있다. 바누바누족 신화에서는 자신들의 조상을 하늘섬으로 인도한 신으로 그려지며, 비스마르크가 구사하는 '거품 공격'이 악을 쓸어낸다고 전해지는 모양이다."
99,"니드호그",0,"0",0,0,1,0,0,"환룡 미드가르드오름의 일곱 알에서 태어난 칠대천룡 중 하나. 천 년 넘게 이어진 '용시전쟁'에서 드래곤족을 이끌며 싸워왔다. 이슈가르드 백성들에게는 증오와 공포의 대상으로 여겨진다."
100,"미드가르드오름",0,"0",0,0,1,0,0,"어리석은 자여, 똑똑히 들으라.<br>내가 바로 미드가르드오름…… 태초의 용이니라!<br>환룡 미드가르드오름"
101,"볼록눈",0,"0",0,0,1,0,0,"거대한 눈알을 가진 작은 요마. 눈을 부릅뜬 채 죽은 생물의 안구에 빙의하여 발생한다는 설이 있다. 요마학자의 분류에 따르면 제12위에 해당하는 하급 요마이지만, 안력과 마력은 결코 무시할 수 없다."
102,"아르케오니스",0,"0",0,0,1,0,0,"알데나드 소대륙 북부에 서식하는 날개 달린 짐승. 그간 조류와 같은 유익강으로 분류되었으나, 최근에는 고대종의 피를 이은 갑린강이라는 학설이 유력하다. 드래곤족에게 조종당해 졸개가 되는 일이 종종 있다."
103,"파이싸",0,"0",0,0,1,0,0,"아발라시아 구름바다에서 발견되는, 눈이 크고 통통한 수수께끼의 생물. 박물학자 사이에서는 오포오포와 같이 원숭이에 가깝다는 설이 유력하다. 참고로 바누바누족은 파이싸를 어리석음의 상징으로 여기는 듯하다."
104,"달멜",0,"0",0,0,1,0,0,"아발라시아 구름바다의 하늘섬에 서식하는 백수강 초식동물. 특유의 긴 목은 인접한 하늘섬의 나무를 먹기 위해 발달한 것으로 추정된다. 또, 식물이 적은 하늘섬에 살기 때문인지 영역을 침범하면 민감하게 반응한다."
105,"밴더스내치",0,"0",0,0,1,0,0,"삼림지대에 서식하는 백수강 육식동물. 초코보 등의 짐승을 잡아먹는 뛰어난 사냥꾼으로, 휘어진 칼날 같은 이빨로 손쉽게 사냥감의 살점을 물어 찢는다. 몹시 포악하며, 화가 나면 이성을 잃고 드래곤족에게 덤벼드는 일도 있다."
106,"누에",0,"0",0,0,1,0,0,"저지 드라바니아 등지에 서식하는 대형 백충강. 눈에 띄는 노란색과 검은색 무늬는 일종의 경계색으로, 독을 가진 생물임을 나타낸다. 그 고기는 먹을 수 있으나 적절한 처리를 거치지 않으면 심한 복통을 일으킨다."
107,"포록고",0,"0",0,0,1,0,0,"샬레이안의 마도사들이 두꺼비에게 마법을 걸어 만들어낸 사역마. 인간과 대화 가능한 지성이 있으며, 마법도 사용할 수 있다. 하지만 인간과 접촉하지 않으면 차츰 이성을 잃고 야생화한다고 한다."
108,"베드르폴니르",0,"0",0,0,1,0,0,"성룡 흐레스벨그의 피를 이은 고위 드래곤족. 고요함을 사랑하는 성룡의 일족 중에서는 드물게 힘으로 맞부딪치는 것을 즐기는 호전적인 성격이다. 하얀 궁전을 노리는 암룡 검은미늘과 경쟁 관계인 듯하다."
109,"커얼레기나",0,"0",0,0,1,0,0,"나이를 먹어 엄청난 마력을 얻은 번개야수 커얼의 여왕. 거대한 뿔로 공기 중에 마력을 뿌려, 주위 날씨조차 바꿔버린다고 한다. 현지 사냥꾼들 사이에서는 전설처럼 회자되는 존재이다."
110,"엄마 봄",0,"0",0,0,1,0,0,"코볼드족 연금술사가 창조한 신형 봄. 이 크기의 봄을 만들려면 높은 압력을 견딜 수 있는 초강도 코발트제 배양로를 터뜨릴 각오로 압축 배양해야 한다. 그 대신 화력은 일반 봄의 10배 이상이라고 한다."
