Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8]
19,"훈련된 도마뱀에 올라탑니다.<br>잿빛 일당이 키운 탑승용 전투도마뱀.","잿빛 일당이 키운 탑승용 전투도마뱀. 어렸을 때부터 아말쟈족 조련사가 엄격하게 훈련하며 오래 산 전투도마뱀의 불주머니를 먹여 기른 결과, 순종적이면서도 야성미를 갖춘 탑승용 마수가 되었다.","푸쉬이이익…"
20,"월계수 구부에 올라탑니다.<br>임시 주거지 실프들의 커다란 친구.","임시 주거지 실프들의 커다란 친구. 말썽쟁이 실프가 장난삼아 식물을 마구 뽑은 탓에 정수리가 횅해지고 말았다. 이를 측은히 여긴 수장님이 풀을 엮은 관을 씌워준 일을 계기로 친해졌다고 한다.","으거어어어"
21,"C식 마도 아머에 올라탑니다.<br>마법 저항 코팅이 된 마도 리퍼.","갈레말 제국군이 비밀리에 개발 중이던 개량형 '리퍼'. 장갑이 금색으로 빛나는 이유는 새로 개발된 특수 도료 때문이다. 이 도료는 에오르제아 동맹군이 다용하는 마법 공격에 대비한 마법 저항 코팅이라고 한다.","위잉, 철컹!"
22,"나이트메어에 올라탑니다.<br>잘 훈련된 요마. 성격이 매우 호전적이며 집념이 강하다.","잘 훈련된 요마 '나이트메어'. 어둠의 세력 '아씨엔'이 야만족들에게 주었다고 하는데, 자세한 내막은 알려지지 않았다. 성격이 매우 호전적이고 집념이 강하지만, 마법 호루라기의 주인에게는 절대 복종한다.","…………"
23,"","",""
24,"","",""
25,"뚱보 초코보에 올라탑니다.<br>식욕이 넘치는 초코보 두목. 누가 이런 데까지 부르래?","식욕이 넘치는 초코보 두목. 호루라기를 불어도 마치 '누가 이런 데까지 부르래?' 하는 듯이 퉁명스럽게 군다. 하지만 사랑하는 기살의 야채를 눈앞에 매달면 눈빛이 달라져 열심히 달리기 시작한다.","으윽, 더 이상 못 먹겠어"
26,"훈련된 엘브스트에 올라탑니다.<br>바다짐승 조련사 파아가 기른 탑승용 엘브스트.","노부 일족의 바다짐승 조련사 파아가 기른 탑승용 엘브스트. 뭍에서 걸을 때 방해가 되는 물갈퀴에 칼집을 내었기 때문에, 초코보에게도 지지 않을 정도로 빨리 달릴 수 있다. 하지만 그 대신 바다에서 헤엄칠 수 없게 되었다.","크쉬이잇…"
27,"봄 벌룬에 올라탑니다.<br>가스 생물 봄이 끌고 다니는 그네. 탑승 중에는 불조심.","제789단 조수 바 고가 만든 봄 중에서 폭발력이 시원찮았던 실패작들을 모아 그네를 끌도록 했다. 그래도 폭탄은 폭탄이니 탑승 중에는 불조심하자.","끼긱, 끼기기긱!"
28,"아이톤에 올라탑니다.<br>화염신의 축복을 받은 요마. 내쉬는 숨조차 뜨겁다.","화염신 '이프리트'의 축복을 받아 타오르는 화염을 두른 요마. 아말쟈족이 요마 '나이트메어'를 제물로 바친 결과 태어난 것이 아닐까 하고 추측된다. 내쉬는 숨조차 지옥의 업화처럼 뜨겁다.","…………"
29,"크산토스에 올라탑니다.<br>바람신의 축복을 받은 요마. 바람을 타고 춤추듯이 달린다.","바람신 '가루다'의 축복을 받아 휘몰아치는 폭풍을 두른 요마. 이크살족이 요마 '나이트메어'를 제물로 바친 결과 태어난 것이 아닐까 하고 추측된다. 한 줄기 바람처럼 대지를 질주한다.","…………"
30,"굴팍시에 올라탑니다.<br>바위신의 축복을 받은 요마. 튼튼한 다리로 땅을 박차고 달린다.","바위신 '타이탄'의 축복을 받아 태동하는 용암을 두른 요마. 코볼드족이 요마 '나이트메어'를 제물로 바친 결과 태어난 것이 아닐까 하고 추측된다. 다리로 땅을 박찰 때마다 대지가 진동한다.","…………"
31,"엔바르에 올라탑니다.<br>수신의 축복을 받은 요마. 마력의 거품에서 태어났다고 한다.","수신 '리바이어선'의 축복을 받아 소용돌이치는 물줄기를 두른 요마. 사하긴족이 요마 '나이트메어'를 제물로 바친 결과 태어난 것이 아닐까 하고 추측된다. 마력의 거품에서 태어났다고 한다.","…………"
32,"전투사자에 올라탑니다.<br>전투용으로 훈련된 군용 사자. 백수의 왕다운 품격을 지니고 있다.","전투용으로 훈련된 군용 사자. 다날란에는 야생 사자가 없으나, 과거에는 교역을 통해 근동에서 수입되어 근위병단 '은갑옷단'이 타고 다녔던 적도 있다. 최근에는 매우 보기 드물어졌다.","어흐으응!"
33,"전투곰에 올라탑니다.<br>전투용으로 훈련된 군용 곰. 지금까지 수많은 전쟁터에서 살아남았다.","전투용으로 훈련된 군용 곰. 북부 아발라시아 산맥 깊은 곳에서는, 싸워서 이겨 굴복시킨 야생 곰을 타고 다니는 풍습이 있었다고 한다. 그래서 전장에서 용맹을 떨친 옛 전사 무용담에는 군용 곰이 자주 등장한다.","크어어엉!!"
34,"그랑초코보에 올라탑니다.<br>체격이 좋은 대형 초코보. 2명이 같이 탈 수 있다.","커르다스 출신 초코보 사냥꾼이 비경 '초코보 숲'에서 잡아온 야생종. 목장에서 태어난 초코보보다 체격이 좋아 운반 능력도 뛰어나지만, 성질이 거칠어서 탑승용으로는 다루기 어려웠다. 하지만 고생 끝에 2인용으로 훈련하는 데 성공했다.","꾸엑, 꾸엑~!"
35,"다이어울프에 올라탑니다.<br>고대종의 피를 물려받은 군용 늑대. 싸움터에서도 전혀 흔들리지 않는다.","이크살족 조련사가 훈련한 군용 늑대. 멸종된 것으로 알려졌던 고대종 '다이어울프'를 젤파톨 지방 오지에서 발견한 이크살족이 고생 끝에 가축화에 성공했다. 인간을 태워도 될 정도로 크며, 주인을 잘 따른다.","아우우우~!"
36,"림사 로민사 군마에 올라탑니다.<br>동쪽 나라 원산의 군마. 튼튼한 다리로 땅을 박차고 달린다.","흑와단이 시험 운용하기로 한 군마. 동쪽 나라에서 건너온 '말 사또'의 홍보로 모험가들이 점차 '말'의 유용성을 인식한 것을 보고 도입하기로 결정한 듯하다. 에오르제아의 기후에 잘 맞는 품종으로 골라서 들여왔다.","히힝!"
37,"그리다니아 군마에 올라탑니다.<br>동쪽 나라 원산의 군마. 튼튼한 다리로 땅을 박차고 달린다.","쌍사당이 시험 운용하기로 한 군마. 동쪽 나라에서 건너온 '말 사또'의 홍보로 모험가들이 점차 '말'의 유용성을 인식한 것을 보고 도입하기로 결정한 듯하다. 에오르제아의 기후에 잘 맞는 품종으로 골라서 들여왔다.","히힝!"
38,"울다하 군마에 올라탑니다.<br>동쪽 나라 원산의 군마. 튼튼한 다리로 땅을 박차고 달린다.","불멸대가 시험 운용하기로 한 군마. 동쪽 나라에서 건너온 '말 사또'의 홍보로 모험가들이 점차 '말'의 유용성을 인식한 것을 보고 도입하기로 결정한 듯하다. 에오르제아의 기후에 잘 맞는 품종으로 골라서 들여왔다.","히힝!"
39,"","",""
40,"마르카브에 올라탑니다.<br>뇌신의 축복을 받은 요마. 울음소리에 번개기운이 담겨있다.","뇌신 '라무'의 축복을 받아 하늘을 가르는 천둥을 두른 요마. 실프족이 요마 '나이트메어'를 제물로 바친 결과 태어난 것이 아닐까 하고 추측된다. 번개기운이 담긴 울음소리로 대기를 뒤흔든다.","…………"
41,"영원초코보에 올라탑니다.<br>예식용 정장을 차려입은 대형 초코보. 2인승이 가능하다.","이슈가르드산 예식용 초코보. 궁극의 미를 추구하며 교배를 거듭한 종으로, 순백색 털을 타고났다. 특별한 사육과 훈련을 거쳐 똑똑하고 얌전한 성격과 뛰어난 체격을 가진 초코보로 자랐다. 2명이 같이 탈 수 있다.","쿠, 쿠, 쿠에에엣!!"
42,"슬레이프니르에 올라탑니다.<br>투신의 축복을 받은 요마. 마력을 띤 눈이 붉게 빛난다.","투신 '오딘'의 축복을 받아 투기를 두른 요마. 선명한 핏빛으로 물든 갈기를 휘날리며 대지를 질주한다. 풍문에 따르면 자기가 주인으로 인정한 자의 체격에 맞게 몸 크기를 마음대로 바꿀 수 있다고 한다.","…………"
43,"보레아스에 올라탑니다.<br>얼음신의 축복을 받은 요마. 공기조차 얼린다.","얼음신 '시바'의 축복을 받아 싸늘한 냉기를 두른 요마. 커르다스에 서식하는 유니콘에게 야만신이 축복을 내린 결과 이렇게 된 것이 아닐까 하고 추측된다. 공기조차 얼리며 땅을 박차고 달린다.","…………"
44,"행진대 초코보에 올라탑니다.<br>개선 행진을 위해 멋을 부린 뚱보 초코보. 위풍당당하게 나아간다.","모험가 길드에서 준비한 개선 행진에 나가기 위한 초코보. 상인에게 '우람한 체격의 초코보'를 주문했더니 이 초코보를 보냈다고 한다. 먹성 때문에 유지비가 너무 들자, 큰일을 해낸 우수한 모험가에게 상품으로 주기로 했다.","볼일 있어?"
45,"검은 초코보에 올라탑니다.<br>플라이어 종 초코보. 어릴 때부터 비행 훈련을 쌓았다.","이슈가르드산 검은 초코보. 비행에 특화된 플라이어 종으로, 깃털은 태어날 때부터 검다. 포르탕 가의 기사 오르슈팡 경이 사랑하는 벗을 위해 몸소 훈련시킨 초코보로, 상당히 근육질이다.","읍!!"
46,"금강거북에 올라탑니다.<br>근동 원산의 거대 육지거북. 보기와는 달리 의외로 민첩하다.","근동 사베네어 섬 원산의 거대 육지거북. 야생화한 금강거북을 활용할 방법을 모색하던 울다하에서 가축화 연구 끝에 길들이는 데 성공했다. 또 주술사 길드의 고대마법 재현 실험을 통해 비행 능력까지 얻게 되었다.","쿵, 쿵…"
47,"기린에 올라탑니다.<br>동방에서 전해진 마술피리로 불러내는 전설의 환수.","동방 지역의 전설 속 환수. 천 년을 사는 존재이자 짐승의 왕으로 불리기도 한다. 은둔한 신선이 심혈을 기울여 만든 '마술피리'를, 재기 넘치는 영웅이 불었을 때 나타난다고 한다.","…………"
48,"탑승 시스템에 올라탑니다.<br>고대 알라그 제국 시대에 설계된 범용 구형 방어 시스템.","성 코이나크 재단이 발굴한 고대 알라그 제국의 범용 구형 방어 시스템. 조사 후 네로가 위험성을 제거한 탈것으로 개조하여, 연구비 조달용으로 로웨나 상회에 팔아넘겼다. 하지만 개조 때 실수가 있었는지 가끔 찌릿한 맛을 보여준다.","시스템 업데이트 중입니다.<br>전원을 끄지 마십시오……."
49,"펜리르에 올라탑니다.<br>아발라시아 산맥 오지에 서식하는 환상의 고대 생물.","먼 옛날 에오르제아에 군림했던 고대 생물 호어하운드. 이미 멸종했다고 여겨졌으나, 근래에 아발라시아 산맥 오지에서 다시 발견되었다. 그 용맹한 자태를 본 이들은 전설 속 환수인 달의 늑대 '펜리르'의 이름을 따서 부르기 시작했다.","아우우우우!"
50,"미드가르드오름에 올라탑니다.","모든 드래곤족의 시조, 환룡 '미드가르드오름'이 만들어낸 환체. 시련을 견뎌내고 모든 용의 발톱을 부순 빛의 전사를 인정하여, 자신의 등에 탈 것을 허락했다. 이에 환체를 탑승하기 알맞은 형태로 변형시켰다.","…………"
51,"","",""
52,"빨간 그랑초코보에 올라탑니다.<br>체격이 좋은 대형 초코보. 2명이 같이 탈 수 있다.","고지 드라바니아의 오지에 있는 '초코보 숲'에서 포획한 그랑초코보. 야생종 치고는 대단히 희귀한 빨간색 깃털을 가졌다. 이슈가르드에서 빨간색은 순애와 박애를 상징하는 만큼, 친한 친구와 함께 타기에 알맞다.","꾸엑, 꾸엑~!!"
53,"사누와에 올라탑니다.<br>군두족 상인 루나바누가 정성껏 기른 사누와.","군두족 상인 루나바누가 정성껏 기른 사누와. 몰아치는 폭풍처럼 사납고도 힘차게 구름바다의 하늘을 누빈다. 루나바누는 이 사누와에게 어울리는 용사가 나타날 때까지 사누와를 절대로 팔지 않을 생각이었다고 한다.","부오오오오!"
54,"그리핀에 올라탑니다.<br>아발라시아 산맥 원산의 날개 달린 마수.","아발라시아 산맥 원산의 날개 달린 마수. 매우 사납지만, 성채도시 '알라미고'에서는 어릴 때부터 엄하게 길들여 탑승용으로 이용해온 역사가 있다. 특히 그리핀 기병으로 구성된 알라미고 마수 군단은 유명하다.","꾸왁, 꾸왁!"
55,"마나커터에 올라탑니다.<br>갈론드 아이언웍스 사에서 제작한 소형 비공정.","갈론드 아이언웍스 사에서 제작한 소형 비공정. 이 회사의 유능한 기공사인 빅스와 웨지가 공동으로 설계하고, 시드가 감수하여 완성시켰다. 사상 최초로 편속성 크리스탈식 비행장치를 탑재한 기체이다.","부르르릉"
56,"전투흑표범에 올라탑니다.<br>전투용으로 훈련된 군용 표범. 그림자처럼 조용히 달린다.","전투용으로 훈련된 군용 표범. 커얼의 근연종인 '표범'은 본능적으로 마력을 이용하여 신체능력을 향상시킨다. 초대 암흑기사는 표범이 사냥하는 모습을 보고 마력을 활용하는 암흑검술을 창안했다고 전해진다.","…………"
57,"","",""
58,"고블린워커에 올라탑니다.<br>과학자 집단 '푸른손'이 개발한 탑승용 보행 기계.","고블린족 과학자 집단 '푸른손'이 개발한 탑승용 보행 기계. 랍토르를 대신할 짐꾼으로 개발된 보행형 기계에 무장을 탑재한 전투용 모델이다. 노획한 기체이므로 무장까지는 재현되지 않았다.","철컹철컹"
59,"트윈타니아에 올라탑니다.<br>알라그 문명의 비술로 조작당한 장로 와이번.","알라그 문명의 비술로 조작당한 남방대륙 메라시디아 태생의 장로 와이번. '신경연결부'라는 고리형 구속 장치로 정신이 구속되어 있어, 인증 열쇠를 가진 사람에게는 절대 반항하지 않는다.","…………"
60,"","",""
61,"","",""
62,"마녀의 빗자루에 올라탑니다.<br>마력이 담긴 마법의 빗자루. 슥삭슥삭.","호박머리 마인이 막대한 마력을 주입한 빗자루. 올라타면 둥실 떠올라 하늘을 날 수 있다. 우울할 때 이 빗자루를 타고 하늘로 날아오르면 기분이 상쾌해질 것 같다.","슥삭슥삭!"
63,"","",""
64,"","",""
65,"","",""
66,"","",""
67,"페가수스에 올라탑니다.<br>구름바다 어딘가에 산다는, 하늘을 나는 환상의 말.","디아뎀 제도에서 친구가 된, 하늘을 나는 환상의 말. 페가수스는 지금까지 전설 속 존재로 여겨졌으나, 대비공시대를 맞이하며 실재가 증명되었다. 구름바다에서 조난당한 하늘도적을 등에 태워 구해줬다는 일화도 있다.","…………"
68,"리위아 전용 마도 아머에 올라탑니다.<br>리위아 사스 유니우스가 자기 전용으로 개조한 마도 아머.","갈레말 제국군 제XIV군단 분견대장 리위아 사스 유니우스가 자기 전용으로 개조한 마도 아머. 북주 방면의 영토확장 전쟁에서 크게 활약한 '달마스카의 마녀'가 애용했던 기체로 유명하다. 일명 '하얀 악마'.","파팟!"
69,"네로 전용 마도 아머에 올라탑니다.<br>네로 톨 스카이와가 자기 전용으로 개조한 마도 아머.","갈레말 제국군 제XIV군단 참모장 네로 톨 스카이와가 자기 전용으로 개조한 마도 아머. 뛰어난 기공사이기도 한 네로가 직접 청린기관 출력을 올리고 하체 강도를 개선했다. 일명 '붉은 남작'.","샤아샤아샤아"
70,"와이번에 올라탑니다.<br>구름바다를 날아다니는 충성스러운 와이번. 마물 퇴치를 사명으로 안다.","구름바다를 날아다니는 충성스러운 와이번. 천 년 전, 한 기사와 우정의 맹세를 나누고 수많은 마물을 쓰러뜨렸다. 용시전쟁이 시작되어 인간과의 교류가 단절된 것을 슬피 여기고, 함께 마물을 사냥할 새 동료를 찾고 있었던 모양이다.","가자, 새로운 벗이여!"
71,"","",""
72,"콩가마토에 올라탑니다.<br>장사치가 기른 콩가마토. 맨 얼굴은 수수께끼에 싸여있다.","바스의 토굴집에 있는 장사치가 유충 때부터 기른 콩가마토. 물가에 낳은 알에서 부화한 유충은 한동안 수생 곤충으로 살아간다. 성충이 되면 외형이 극적으로 변화하여 날개로 날 수 있게 된다.","부웅~"
73,"즈에 올라탑니다.<br>근동에서 날아오는 괴조 즈. 넓은 하늘을 유유히 비행한다.","근동에서 온 괴조 즈의 다 자란 개체. 부리가 톱날처럼 생겨 이빨이 난 것처럼 보이는데, 이것은 버둥대는 짐승을 꽉 잡아두기 위한 것이다. 이 부리로 사냥감을 물고 긴 목을 이리저리 흔들어 숨통을 끊은 다음 통째로 삼킨다.","캬오오오!"
74,"벤누에 올라탑니다.<br>마력을 띤 뿔피리로 불러내는 전설의 환수.","제7재해 당시, 카르테노 상공에 나타난 불사조 '피닉스'의 에테르를 쐬어 환생한 괴조. 신성한 영물을 연상케 하는 외모로 인해 '유려하게 날며 빛나는 것'을 뜻하는 '벤누'라 불리게 되었다.","…………"
75,"흰송골매에 올라탑니다.<br>구름신의 축복을 받은 송골매. 구름처럼 유유히 하늘을 난다.","구름신 '비스마르크'의 축복을 받아 피어오르는 구름을 몸에 두른 송골매. 신의 호위병인 바누바누족 전사를 사누와와 함께 구름신 곁으로 보내기 위한 존재였다고 한다. 구름처럼 유유히 하늘을 나는 모습은 샛바람이 불듯 아름답다.","…………"
76,"붉은송골매에 올라탑니다.<br>무신의 축복을 받은 송골매. 월검처럼 날카롭게 바람을 가른다.","무신 '라바나'의 축복을 받아 거센 투기를 몸에 두른 송골매. 바람을 가르며 날쌔게 하늘을 나는 모습이 월검 '찬드라하스'의 예리한 칼날을 연상케 한다. 원하는 대로 타고 다니려면 무신과 대등한 패기가 있어야 할 것이다.","…………"
77,"기사신의 송골매에 올라탑니다.<br>기사신의 축복을 받은 송골매. 성기사들을 따르며 먹잇감을 사냥한다.","기사신 '토르당'의 축복을 받아 성기사를 연상케 하는 풍채를 갖춘 송골매. 이슈가르드에서는 예로부터 기사가 매사냥을 즐겼다고 전하는데, 그 전통에 따른 것인지도 모른다. 땅 위의 사냥감을 찾는 눈빛은 날카롭기 그지없다.","…………"
78,"전쟁송골매에 올라탑니다.<br>마신의 축복을 받은 송골매. 세계수의 씨앗을 나른다고 한다.","마신 '세피로트'의 축복을 받아 당당한 위엄을 갖춘 송골매. 남방대륙 메라시디아의 식물형 종족 신화에 따르면, 태초의 나무인 '세계수'의 씨앗을 신성한 새가 각지에 퍼뜨림으로써 세상에 나무가 우거지게 되었다고 한다.","…………"
79,"","",""
80,"영광호에 올라탑니다.<br>1인승 소형 비공정. 이름은 한 소설에서 유래했다.","패기 넘치는 젊은 기술자 타타라무가 설계한 1인승 소형 비공정. 그의 할아버지 타타노라가 꿈꾸던 회전날개형 비공정을 최신 기술을 활용해 소형화했다. 이름은 어떤 소설에 등장하는 '자유의 하늘을 질주하는 배'에서 유래했다.","부릉부릉부르릉!"
81,"근두운에 올라탑니다.<br>동방의 신선이 고안한 비술로 마법의 구름을 만들어낸다","동주 오사드 대륙 오지의 깊은 산 속에 산다는 위대한 신선이 고안한 비술. 마력을 이용해 모은 구름에 타고 하늘을 날 수 있다고 한다. 선천적으로 마법의 재능이 뛰어난 사람만이 다룰 수 있다.","안녕!"
82,"원조 뚱보 초코보에 올라탑니다.<br>식욕이 넘치는 초코보계의 대부. 원조는 하얀색이었다.","뚱보 초코보 등장! 식욕이 넘치는 초코보계의 대부. 요즘은 노란 깃털을 가진 개체가 많지만, 대선배인 원조 뚱보 초코보는 하얀색이었다. 주는 건 마다하지 않는 성격이라, 한계가 올 때까지 음식이든 무기든 다 먹어준다.","뭐 줄 거야~?"
83,"아스트로페에 올라탑니다.<br>대단히 진귀한 대형 페가수스. 2명이 같이 탈 수 있다.","오랜 세월을 거쳐 2명이 같이 탈 수 있을 만큼 성장한 대형 페가수스. 원래는 몹시 난폭하여 접근하기조차 어려운 맹수이다. 하지만 헌신적이고 다정한 사람에게는 마음을 열기도 하는 듯하다.","히힝!!"
84,"뚱보 모그리에 올라탑니다.<br>식욕이 넘치는 모그리 큰두목. 마법 덕분에 날 수 있다.","뚱보 모그리 등장! 식욕이 넘치는 모그리 큰두목. 숲의 은혜를 너무 많이 먹다가 흔치 않은 거구가 되었다. 그런데도 하늘을 날 수 있는 건 날개 대신 마법으로 뜨기 때문이라고 한다.","구보오…"
85,"","",""
86,"구름솜풀에 올라탑니다.<br>구름바다에 자생하는 부유 식물. 모그리의 마법으로 조종할 수 있다.","구름바다에 자생하는 부유식물. 모그모그 고향에 사는 모그리족이 '둥실둥실 솜풀'이라 부르며 탈것으로 이용할 수 있게 마법을 걸었다. 솜털에는 모그리족을 치유하는 효과가 있다고 한다.","둥실둥실"
87,"위스퍼호에 올라탑니다.<br>요괴 위스퍼의 모습을 본뜬 소형 비공정. 위스!","요괴집사 위스퍼의 모습을 본뜬 소형 비공정. 골드 소서의 놀이기구 같은 분위기로 설계되어, 움직이는 부분도 많고 성능도 좋다는 소문이다. 좌석은 작아 보여도 승차감은 꽤 쾌적하다","위스!"
88,"","",""
89,"","",""
90,"암흑송골매에 올라탑니다.<br>사룡의 마력에 노출된 송골매. 검은 날개로 하늘을 누빈다.","사룡 '니드호그'의 마력에 노출되어 검은 날개를 얻은 송골매. 번개구름을 가르며 하늘을 누비는 모습은 드래곤족의 왕으로 군림한 칠대천룡을 연상케 한다. 한 목격자는 사룡이 재림한 줄로 착각하고 부리나케 도망칠 준비를 했다고 한다.","…………"
91,"비행 시스템에 올라탑니다.<br>고대 알라그 제국 시대에 설계된 범용 구형 방어 시스템.","커르다스 동부 저지대에서 발굴된 고대 알라그 제국의 범용 구형 방어 시스템. 무기는 고장 났지만 탈것으로는 제법 쓸 만하다. 기동할 때마다 제어 시스템 업그레이드를 권장하는 게 옥에 티.","무료 업그레이드 혜택은<br>기한 내에만 제공됩니다…"
92,"떠도는 머리에 올라탑니다.<br>돌로 된 거대한 얼굴 조각에 마법을 걸어 만든 비행식 골렘.","거대한 석조 얼굴에 마법을 걸어 만든 비행식 골렘. 뿔의 아이 '에 우나'가 암다포르 문명의 조각상 유형 수호자를 연구하다 만든 실험작이라고 한다. 얼굴의 유래를 자들은 약속이나 한 듯 입을 다문다.","ADDEEVOLI…"
93,"마나가름에 올라탑니다.<br>멸종한 것으로 여겨졌던 고대의 환수.","멸종한 것으로 여겨졌던 고대의 환수. 아발라시아 산맥에 전해지는 민간전승에 따르면 달을 쫓으며 햇빛을 먹는 존재라고 한다. 실제로는 굉장히 뛰어난 마력을 지녔기에, 환영 불꽃을 만들어내어 하늘도 달릴 수 있다고 한다.","아우우우!"
94,"빛나는 위스퍼호에 올라탑니다.<br>요괴 위스퍼의 모습을 본떠 만든 빛나는 소형 비공정. 위스!","요괴집사 위스퍼의 모습을 본떠 만든 빛나는 소형 비공정. 많은 요괴와 친구가 되어 함께 시련을 극복한 자의 위업을 기리기 위해 요란하게 장식되었다. 떠돌이 시인과 떠돌이 사장이 마련한 선물이라고 한다.","위스! 위스!"
95,"","",""
96,"","",""
97,"","",""
98,"여신송골매에 올라탑니다.<br>여신의 축복을 받은 송골매. 천칭에 조화의 추를 올려놓는다고 한다.","여신 '소피아'의 축복을 받아, 성스러운 기운이 서린 송골매. 세상이 혼돈에 빠지고 질서를 잃었을 때, 여신의 명을 받아 천칭에 추를 올려 균형을 유지한다는 전설이 있다. 그 추의 정체가 바로 인간 세상에 태어나는 '영웅'이라고 한다.","…………"
99,"","",""
100,"검은 페가수스에 올라탑니다.<br>몹시 희귀하다는 검은색 페가수스. '검은 죽음의 말'이라는 별명을 지니고 있다.","몹시 희귀하다는 검은색 페가수스. 과거에 마대륙의 일부였다고 전해지는 지역에서 발견되었다고 한다. 자격이 없는 사람이 등에 오르면 온몸에 흐르는 피가 검게 더러워지고, 이윽고 죽음에 이른다는 전설 때문에 '검은 죽음의 말'이라는 별명이 붙었다.","히히힝!!"
101,"아르히데우스에 올라탑니다.<br>알렉산더가 만든 공격용 단말. 무장을 해제하고 탑승용으로 이용하게 되었다.","기공성 '알렉산더' 내부 설비에서 자동으로 생산된 공격용 단말. 시간 간섭 공격용으로 제조된 단말인 듯하나, 치열한 전투 끝에 무장 해제를 받아들이고 탑승용 기기가 되었다.","안전 운전 개시…!"
