Index,0 [0x7][0xc],1 [0x0][0x8],2 [0x0][0x0],3 [0x0][0x4]
317,3,"","다른 클래스는 뭐가 가능하신가요?","-"
318,3,"","다른 역할은 뭐가 가능하신가요?","-"
319,3,"","준비되어 있나요?","-"
320,3,"","어떤 작전으로 싸울까요?","-"
321,3,"","친구 신청해도 될까요?","-"
322,3,"","잠깐 쉬었다 갈까요?","-"
323,3,"","수리합시다.","-"
324,3,"","수리해주시면 안 될까요?","-"
325,3,"","마테리아 장착할까요?","-"
326,3,"","마테리아 장착해주시겠어요?","-"
327,3,"","파티에 초대해도 될까요?","-"
328,3,"","파티에 초대해주시겠어요?","-"
329,3,"","파티를 해체할까요?","-"
330,3,"","링크셸에 초대해도 될까요?","-"
331,3,"","링크셸에 초대해주시겠어요?","-"
332,3,"","자유부대에 초대해도 될까요?","-"
333,3,"","자유부대에 초대해주시겠어요?","-"
334,3,"","뭐 하고 계시나요?","-"
335,3,"","카드 대결 하실래요?","-"
336,3,"","규칙을 바꾸고 싶어요.","-"
337,3,"","대회 대결 하실래요?","-"
338,3,"","MP는 괜찮으세요?","-"
339,3,"","모르는 점이 있으신가요?","-"
340,3,"","보셨나요?","-"
341,3,"","공략 방법은 아시나요?","-"
342,3,"","작전을 세웁시다.","-"
400,4,"@","【대답】","대답."
401,4,"","모르겠어요.","-"
402,4,"","필요 없어요.","-"
403,4,"","네, 부탁합니다.","-"
404,4,"","부탁합니다.","-"
405,4,"","알겠습니다.","-"
406,4,"","지금은 바쁘니 나중에 이야기해요.","-"
407,4,"","지금은 혼자 다니고 싶어요.","-"
408,4,"","대답하고 싶지만 어떻게 말해야 할지 모르겠어요.","-"
409,4,"","그렇군요.","-"
410,4,"","말씀은 감사하지만 사양할게요.","-"
411,4,"","흐음.","-"
412,4,"","음…","-"
413,4,"","뭐!?","-"
414,4,"","정말?","-"
415,4,"","으으음.","-"
416,4,"","다른 약속이 있어요.","-"
417,4,"","재대결하고 싶습니다.","-"
418,4,"","대결을 마치고 싶습니다.","-"
419,4,"","잠시 중단하고 싶습니다.","-"
420,4,"","그럴지도 모릅니다.","-"
500,5,"@","【이유】","이유."
501,5,"","시전 중입니다.","-"
502,5,"","일하러 갈 시간입니다.","-"
503,5,"","약속이 있습니다.","-"
504,5,"","자러 갈 겁니다.","-"
505,5,"","힘들어요.","-"
506,5,"","볼일이 있어서 그만 가볼게요.","-"
507,5,"","몸이 안 좋습니다.","-"
508,5,"","내키지 않습니다.","-"
509,5,"","재미있을 것 같네요.","-"
510,5,"","임무 중입니다.","-"
511,5,"","전투 중입니다.","-"
512,5,"","돈을 벌고 싶습니다.","-"
513,5,"","기억이 안 납니다.","-"
514,5,"","모릅니다.","-"
515,5,"","방금 사용했습니다.","-"
516,5,"","경험치를 벌고 싶습니다.","-"
517,5,"","실수했습니다.","-"
518,5,"","이미 참가 중입니다.","-"
519,5,"","이미 가지고 있습니다.","-"
520,5,"","모집이 끝났습니다.","-"
521,5,"","준비 중입니다.","-"
522,5,"","바쁩니다.","-"
523,5,"","잡담을 나누고 있습니다.","-"
524,5,"","키보드를 안 쓰고 있습니다.","-"
525,5,"","탐색 중입니다.","-"
600,6,"@","【교환】","교환."
601,6,"","주시면 안 될까요?","-"
602,6,"","해 주시면 안 될까요?","-"
603,6,"","깎아 주시면 안 될까요?","-"
604,6,"","사 주시면 안 될까요?","-"
605,6,"","파시면 안 될까요?","-"
606,6,"","교환하시겠어요?","-"
607,6,"","필요 없으신가요?","-"
608,6,"","제작 가능하신가요?","-"
609,6,"","가지고 계신가요?","-"
610,6,"","필요한 재료를 알려주세요.","-"
611,6,"","돈이 없습니다.","-"
612,6,"","아이템이 없습니다.","-"
613,6,"","줄 수 있는 게 없습니다.","-"
614,6,"","이걸 드리겠습니다.","-"
615,6,"","주세요.","-"
616,6,"","보상:","-"
617,6,"","가격:","-"
618,6,"","우편물","-"
700,7,"@","【편성】","편성."
701,7,"","모집 중입니다.","-"
702,7,"","모여주세요.","-"
703,7,"","함께 하실래요?","-"
704,7,"","한 분이신가요?","-"
705,7,"","빈자리 있나요?","-"
706,7,"","초대해주세요.","-"
707,7,"","참가하고 싶습니다.","-"
708,7,"","리더가 누구인가요?","-"
709,7,"","짧게 도는 것도 괜찮습니다.","-"
710,7,"","파티에 빈자리가 없습니다.","-"
711,7,"","도와주세요.","-"
712,7,"","파티 해체하겠습니다.","-"
713,7,"","자리 비우겠습니다.","-"
714,7,"","파티에 참가하고 싶습니다.","-"
715,7,"","소규모 파티","-"
716,7,"","대규모 파티","-"
717,7,"","아직 익숙하지 않습니다.","-"
718,7,"","파티원을 보충할까요?","-"
800,8,"@","【전술】","전술."
801,8,"","따라오세요.","-"
802,8,"","따라가겠습니다.","-"
803,8,"","조사해주세요.","-"
804,8,"","찾았어요!","-"
805,8,"","전력을 다해 공격하세요!","-"
806,8,"","뒤로 물러나주세요.","-"
807,8,"","적개심 수치에 주의하세요.","-"
808,8,"","이거 먼저 처치할게요!","-"
809,8,"","공격하지 마세요.","-"
810,8,"","발을 묶어주세요!","-"
811,8,"","효과 없애주세요!","-"
812,8,"","회복해주세요!","-"
813,8,"","걸어주세요!","-"
814,8,"","도망쳐요!","-"
815,8,"","도와주세요!","-"
816,8,"","멈추세요!","-"
817,8,"","대기하세요.","-"
818,8,"","없어졌습니다.","-"
819,8,"","없습니다.","-"
820,8,"","아껴 쓰세요.","-"
821,8,"","아껴 쓰겠습니다.","-"
822,8,"","장비 내구도가 떨어졌습니다.","-"
823,8,"","준비완료!","-"
824,8,"","표식을 설정해주세요.","-"
825,8,"","이거 쓰세요.","-"
826,8,"","조금만 쉴게요.","-"
827,8,"","적을 끌고 오겠습니다.","-"
828,8,"","적은 제가 맡을게요.","-"
829,8,"","잠깐만요.","-"
830,8,"","현지에서 모이죠.","-"
831,8,"","이동합니다.","-"
832,8,"","그 자리에 있으세요.","-"
833,8,"","지금 그쪽으로 갈게요.","-"
834,8,"","금방 돌아올게요.","-"
835,8,"","주사위 굴려주세요.","-"
836,8,"","약점:","-"
837,8,"","주의:","-"
838,8,"","추천:","-"
839,8,"","토벌 순서:","-"
840,8,"","원하는 것:","-"
841,8,"","적개심 끌어주세요.","-"
842,8,"","적이 다가옵니다!","-"
843,8,"","신경 쓰지 마세요.","-"
844,8,"","무시하세요.","-"
845,8,"","교대","-"
846,8,"","교대해주세요!","-"
847,8,"","제가 먼저 공격하겠습니다!","-"
848,8,"","천천히 진행합시다.","-"
849,8,"","실행해주세요!","-"
850,8,"","방향","-"
851,8,"","피하세요!","-"
852,8,"","뒤를 보세요.","-"
853,8,"","공격에 맞아주세요.","-"
854,8,"","적을 멀리 떨어뜨리세요.","-"
855,8,"","멀리 가세요.","-"
856,8,"","가까이 가세요.","-"
857,8,"","운반해 주세요.","-"
859,8,"","끊어 주세요!","-"
860,8,"","유지해 주세요!","-"
861,8,"","동시에 쓰러뜨립시다!","-"
862,8,"","숨어요!","-"
900,9,"@","【역할】","역할."
901,9,"","파티장","-"
902,9,"","부대장","-"
903,9,"","투사","-"
904,9,"","마법사","-"
905,9,"","채집가","-"
906,9,"","제작자","-"
907,9,"","방어 역할","-"
908,9,"","근거리 공격 역할","-"
909,9,"","원거리 공격 역할","-"
910,9,"","회복 역할","-"
911,9,"","강화 역할","-"
912,9,"","마법 공격 역할","-"
913,9,"","공격 역할","-"
950,10,"@","【위치】","위치."
951,10,"","위치","-"
952,10,"","북쪽","-"
953,10,"","남쪽","-"
954,10,"","동쪽","-"
955,10,"","서쪽","-"
956,10,"","위쪽","-"
957,10,"","아래쪽","-"
958,10,"","오른쪽","-"
959,10,"","왼쪽","-"
960,10,"","앞","-"
961,10,"","뒤","-"
962,10,"","옆","-"
963,10,"","정면","-"
964,10,"","중앙","-"
965,10,"","측면","-"
966,10,"","안쪽","-"
967,10,"","바깥쪽","-"
968,10,"","이쪽","-"
969,10,"","저쪽","-"
970,10,"","그쪽","-"
971,10,"","좀 더 가까이","-"
972,10,"","좀 더 멀리","-"
973,10,"","입구","-"
974,10,"","출구","-"
975,10,"","후방","-"
976,10,"","1시","-"
977,10,"","2시","-"
978,10,"","3시","-"
979,10,"","4시","-"
980,10,"","5시","-"
981,10,"","6시","-"
982,10,"","7시","-"
983,10,"","8시","-"
984,10,"","9시","-"
985,10,"","10시","-"
986,10,"","11시","-"
987,10,"","12시","-"
1000,11,"@","【시간】","시간."
1001,11,"","그저께","-"
1002,11,"","어제","-"
1003,11,"","오늘","-"
1004,11,"","내일","-"
1005,11,"","모레","-"
1006,11,"","저번 주","-"
1007,11,"","이번 주","-"
1008,11,"","다음 주","-"
1009,11,"","오전","-"
1010,11,"","오후","-"
1011,11,"","아침","-"
1012,11,"","낮","-"
1013,11,"","밤","-"
1014,11,"","요일","-"
1015,11,"","일요일","-"
1016,11,"","월요일","-"
1017,11,"","화요일","-"
1018,11,"","수요일","-"
1019,11,"","목요일","-"
1020,11,"","금요일","-"
1021,11,"","토요일","-"
1022,11,"","휴일","-"
1023,11,"","휴가","-"
1024,11,"","장기","-"
1025,11,"","단기","-"
1026,11,"","날짜","-"
1027,11,"","초","-"
1028,11,"","분","-"
1029,11,"","시간","-"
1030,11,"","월","-"
1031,11,"","년","-"
1032,11,"","1월","-"
1033,11,"","2월","-"
1034,11,"","3월","-"
1035,11,"","4월","-"
1036,11,"","5월","-"
1037,11,"","6월","-"
1038,11,"","7월","-"
1039,11,"","8월","-"
1040,11,"","9월","-"
1041,11,"","10월","-"
1042,11,"","11월","-"
1043,11,"","12월","-"
1044,11,"","지난달","-"
1045,11,"","이번 달","-"
1046,11,"","다음 달","-"
1047,11,"","작년","-"
1048,11,"","올해","-"
1049,11,"","내년","-"
1050,11,"","지금","-"
1051,11,"","곧","-"
1052,11,"","언제든지","-"
1053,11,"","처음","-"
1054,11,"","마지막","-"
1055,11,"","대기 시간","-"
1056,11,"","남은 시간","-"
1057,11,"","종료 시간","-"
1058,11,"","제6성력","-"
1059,11,"","제7재해","-"
1060,11,"","제7성력","-"
1061,11,"","직전","-"
1062,11,"","직후","-"
1150,13,"@","【이동 방법】","이동 방법."
1151,13,"","걷기","-"
1152,13,"","달리기","-"
1153,13,"","따라가기","-"
1154,13,"","초코보","-"
1155,13,"","내 초코보","-"
1156,13,"","초코보 대여","-"
1157,13,"","초코보 수송","-"
1158,13,"","마운트","-"
1159,13,"","텔레포","-"
1160,13,"","데존","-"
1161,13,"","도시 내 이동","-"
1162,13,"","비공정","-"
1163,13,"","귀환 지점","-"
1164,13,"","정기선","-"
1165,13,"","나는 탈것","-"
1200,14,"@","【시설】","시설."
1201,14,"","에테라이트","-"
1202,14,"","도시 내 이동","-"
1203,14,"","모험가 길드","-"
1204,14,"","길드","-"
1205,14,"","상점","-"
1206,14,"","초코보 대여소","-"
1207,14,"","여관","-"
1208,14,"","초인종","-"
1209,14,"","휴식 지역","-"
1210,14,"","길드 의뢰 발행 담당자","-"
1211,14,"","링크셸 배포 담당자","-"
1212,14,"","장터 게시판","-"
1213,14,"","집사 고용창구","-"
1214,14,"","수리공","-"
1215,14,"","비공정 승강장","-"
1216,14,"","배달부 모그리","-"
1217,14,"","선착장","-"
1218,14,"","여객선 부두","-"
1219,14,"","비공정 승강장","-"
1220,14,"","흑와단 군령부","-"
1221,14,"","쌍사당 통합사령부","-"
1222,14,"","불멸대 작전본부","-"
1223,14,"","모험가 거주구역","-"
1224,14,"","투기장 대결 접수처","-"
1225,14,"","마물 수배 게시판","-"
1226,14,"","일기예보사","-"
1227,14,"","미용사 호출 초인종","-"
1228,14,"","확장 구역","-"
1229,14,"","오케스트리온","-"
1230,14,"","나무인형","-"
1231,14,"","마테리아 장인","-"
1232,14,"","아파트","-"
1250,15,"@","【총사령부】","총사령부."
1251,15,"","총사령부","-"
1252,15,"","계급","-"
1253,15,"","군수물자","-"
1254,15,"","보급물자","-"
1255,15,"","희소물자","-"
1256,15,"","흑와단","-"
1257,15,"","쌍사당","-"
1258,15,"","불멸대","-"
1270,16,"@","【자유부대】","자유부대."
1271,16,"","자유부대","-"
1272,16,"","서명","-"
1273,16,"","부대 게시판","-"
1274,16,"","부대 금고","-"
1275,16,"","부대 문장","-"
1276,16,"","부대 혜택","-"
1277,16,"","부대 제작","-"
1278,16,"","지하공방","-"
1279,16,"","비공정 탐사","-"
1300,17,"@","【게임 시스템】","게임 시스템."
1301,17,"","클래스","-"
1302,17,"","클래스 체인지","-"
1303,17,"","잡","-"
1304,17,"","잡 체인지","-"
1305,17,"","소울 크리스탈","-"
1306,17,"","레벨","-"
1307,17,"","경험치","-"
1308,17,"","수호신","-"
1309,17,"","민족","-"
1310,17,"","부족","-"
1311,17,"","지역","-"
1312,17,"","장비","-"
1313,17,"","아이템","-"
1314,17,"","장비세트","-"
1315,17,"","휴식 보너스","-"
1316,17,"","솔로","-"
1317,17,"","파티","-"
1318,17,"","탈것","-"
1319,17,"","꼬마 친구","-"
1320,17,"","집사","-"
1321,17,"","전투","-"
1322,17,"","제작","-"
1323,17,"","채집","-"
1324,17,"","내구도","-"
1325,17,"","결속도","-"
1326,17,"","장비 적성","-"
1327,17,"","보물상자","-"
1328,17,"","대상","-"
1329,17,"","대상 고정","-"
1330,17,"","주시 대상","-"
1331,17,"","대상 표식","-"
1332,17,"","메뉴","-"
1333,17,"","지도","-"
1334,17,"","게임 문의","-"
1335,17,"","스크린샷","-"
1336,17,"","로그아웃","-"
1337,17,"","게임 종료","-"
1338,17,"","강제 종료","-"
1339,17,"","상용구 사전","-"
1340,17,"","감정 표현","-"
1341,17,"","업적","-"
1342,17,"","칭호","-"
1343,17,"","화폐","-"
1344,17,"","길","-"
1345,17,"","교환","-"
1346,17,"","조사","-"
1347,17,"","따라가기","-"
1348,17,"","연합 파티","-"
1349,17,"","하우징","-"
1350,17,"","우호도","-"
1351,17,"","우호 랭크","-"
1352,17,"","플레이어 추천","-"
1353,17,"","알라그 석판","-"
1354,17,"","알라그 석판: 신화","-"
1355,17,"","알라그 석판: 철학","-"
1356,17,"","추방 투표","-"
1357,17,"","포기 투표","-"
1358,17,"","지면 표식","-"
1359,17,"","지면 대상","-"
1360,17,"","장비 투영","-"
1361,17,"","알라그 석판: 전기","-"
1362,17,"","미용사","-"
1363,17,"","집사 수행","-"
1364,17,"","아트마","-"
1365,17,"","조디악 웨폰","-"
1366,17,"","알렉산드라이트","-"
1367,17,"","아니무스","-"
1368,17,"","노우스","-"
1369,17,"","동맹 휘장","-"
1370,17,"","마물 수배서","-"
1371,17,"","무법자의 전장","-"
1372,17,"","초월하는 힘","-"
1373,17,"","초코보 육성","-"
1374,17,"","일기예보","-"
1375,17,"","알라그 석판: 시학","-"
1376,17,"","공헌도","-"
1377,17,"","군표","-"
1378,17,"","명예 점수","-"
1379,17,"","제니스","-"
1380,17,"","넥서스","-"
1381,17,"","센추리오 휘장","-"
1382,17,"","알라그 석판: 법전","-"
1383,17,"","알라그 석판: 금서","-"
1384,17,"","파티장 분배","-"
1385,17,"","선입찰 금지","-"
1386,17,"","일반 전리품 규칙","-"
1387,17,"","아니마 웨폰","-"
1388,17,"","알라그 석판: 전승","-"
1389,17,"","영원한 언약식","-"
1390,17,"","아이템 레벨","-"
1391,17,"","레벨 보정","-"
1392,17,"","쿠로의 공상 수첩","-"
1393,17,"","알라그 석판: 성전","-"
1400,18,"@","【전투】","전투."
1401,18,"","공격","-"
1402,18,"","기술","-"
1403,18,"","일반 기술","-"
1404,18,"","특성","-"
1405,18,"","잡 기술","-"
1406,18,"","보조 기술","-"
1407,18,"","마법","-"
1408,18,"","무기 기술","-"
1409,18,"","능력","-"
1410,18,"","시전 시간","-"
1411,18,"","재사용 대기 시간","-"
1412,18,"","사용 적성","-"
1413,18,"","링크","-"
1414,18,"","소환수","-"
1415,18,"","버디","-"
1416,18,"","적개심","-"
1417,18,"","호전적","-"
1418,18,"","비호전적","-"
1419,18,"","전투불능","-"
1420,18,"","전리품","-"
1421,18,"","분배","-"
1422,18,"","주사위","-"
1423,18,"","저항","-"
1424,18,"","습득","-"
1425,18,"","감지","-"
1426,18,"","범위","-"
1427,18,"","리미트 브레이크","-"
1428,18,"","적","-"
1429,18,"","마물","-"
1430,18,"","악명 높은 마물","-"
1431,18,"","능력치 보너스","-"
1432,18,"","연속 처치 보너스","-"
1433,18,"","추가 직업 보너스","-"
1434,18,"","레벨 조정","-"
1435,18,"","PvP 기술","-"
1436,18,"","범위공격","-"
1437,18,"","전방 범위공격","-"
1438,18,"","후방 범위공격","-"
1439,18,"","전체공격","-"
1440,18,"","외곽 거점","-"
1441,18,"","거주구역 유적","-"
1442,18,"","거점","-"
1443,18,"","깃발","-"
1444,18,"","점령","-"
1445,18,"","중립","-"
1446,18,"","전술 점수","-"
1447,18,"","시장 유적","-"
1448,18,"","태양신전","-"
1449,18,"","콤보","-"
1450,18,"","아드레날린 폭주","-"
1451,18,"","단독 공격","-"
1452,18,"","쇠뇌","-"
1453,18,"","알라그 석탑","-"
1454,18,"","발톱 팀","-"
1455,18,"","송곳니 팀","-"
1456,18,"","메달","-"
1457,18,"","메달 과중량","-"
1458,18,"","위기 시간","-"
1459,18,"","공격 상자","-"
1460,18,"","방어 상자","-"
1461,18,"","회복 상자","-"
1462,18,"","아드레날린 단지","-"
1463,18,"","공격 용품","-"
1464,18,"","방어 용품","-"
1465,18,"","회복 용품","-"
1466,18,"","아드레날린 용품","-"
1467,18,"","보급 상자","-"
1468,18,"","처치","-"
1469,18,"","졸도","-"
1470,18,"","도움","-"
1471,18,"","연속공격","-"
1472,18,"","돌진공격","-"
1473,18,"","밀쳐내기","-"
1474,18,"","끌어당기기","-"
1475,18,"","얼음탑","-"
1476,18,"","정보 점수","-"
1500,19,"@","【접속 상태】","접속 상태."
1501,19,"","접속 중","-"
1502,19,"","자리 비움","-"
1503,19,"","다른 용무 중","-"
1504,19,"","파티 찾는 중","-"
1505,19,"","마테리아 장착 대행 중","-"
1506,19,"","임무 중","-"
1507,19,"","접속 종료","-"
1508,19,"","파티 모집 중","-"
1509,19,"","초보자","-"
1510,19,"","멘토","-"
1511,19,"","PvE 멘토","-"
1512,19,"","PvP 멘토","-"
1513,19,"","제작채집 멘토","-"
1514,19,"","역할극 중","-"
1550,20,"@","【의사소통】","의사소통."
1551,20,"","대화","-"
1552,20,"","귓속말","-"
1553,20,"","말하기","-"
1554,20,"","외치기","-"
1555,20,"","떠들기","-"
1556,20,"","친구 목록","-"
1557,20,"","차단 목록 관리","-"
1558,20,"","플레이어 검색","-"
1559,20,"","링크셸","-"
1560,20,"","모그레터","-"
1564,20,"","포럼","-"
1565,20,"","순위","-"
1566,20,"","총사령부 순위","-"
1567,20,"","자유부대 순위","-"
1568,20,"","파티","-"
1569,20,"","연합 파티","-"
1570,20,"","링크셸","-"
1571,20,"","자유부대","-"
1572,20,"","초보자","-"
1600,22,"@","【제작 & 채집】","제작 & 채집."
1601,22,"","샤드","-"
1602,22,"","크리스탈","-"
1603,22,"","클러스터","-"
1604,22,"","마테리아","-"
1605,22,"","마테리아화","-"
1606,22,"","마테리아 공예","-"
1607,22,"","장터","-"
1608,22,"","장터 검색","-"
1609,22,"","HQ","-"
1610,22,"","고유","-"
1611,22,"","거래 불가","-"
1612,22,"","재료","-"
1613,22,"","간이 제작","-"
1614,22,"","품질","-"
1615,22,"","고품질","-"
1616,22,"","최고품질","-"
1617,22,"","수리","-"
1618,22,"","수리 재료","-"
1619,22,"","염색","-"
1620,22,"","성목","-"
1621,22,"","나무 베기","-"
1622,22,"","풀 베기","-"
1623,22,"","채굴장","-"
1624,22,"","채굴","-"
1625,22,"","암석 캐기","-"
1626,22,"","낚시","-"
1627,22,"","마테리아 장착","-"
1628,22,"","금단의 마테리아 장착","-"
1629,22,"","재배","-"
1630,22,"","육성","-"
1631,22,"","수확","-"
1632,22,"","비전서","-"
1633,22,"","분해","-"
1634,22,"","터주 낚시","-"
1635,22,"","놓아주기","-"
1636,22,"","미지의 채집 장소","-"
1637,22,"","소장품","-"
1638,22,"","전문 장인","-"
1639,22,"","호부","-"
1640,22,"","전승록","-"
1641,22,"","제작자용 화폐","-"
1642,22,"","채집자용 화폐","-"
1643,22,"","제작자용 화폐: 적화","-"
1644,22,"","제작자용 화폐: 청화","-"
1645,22,"","채집가용 화폐: 적화","-"
1646,22,"","채집가용 화폐: 청화","-"
1900,23,"@","【야만신과 야만족】","야만신과 야만족."
1901,23,"","야만신","-"
1902,23,"","이프리트","-"
1903,23,"","타이탄","-"
1904,23,"","가루다","-"
1905,23,"","바하무트","-"
1906,23,"","모그루 모그 XII세","-"
1907,23,"","야만족","-"
1908,23,"","아말쟈","-"
1909,23,"","실프","-"
1910,23,"","이크살","-"
1911,23,"","코볼드","-"
1912,23,"","사하긴","-"
1913,23,"","리바이어선","-"
1914,23,"","라무","-"
1915,23,"","시바","-"
1916,23,"","알렉산더","-"
1917,23,"","라바나","-"
1918,23,"","비스마르크","-"
1919,23,"","그나스","-"
1920,23,"","바누바누","-"
1921,23,"","고블린","-"
1922,23,"","드래곤","-"
2000,24,"@","【임무】","임무."
2001,24,"","임무","-"
2002,24,"","퀘스트","-"
2003,24,"","주요 퀘스트","-"
2004,24,"","부가 퀘스트","-"
2005,24,"","클래스 퀘스트","-"
2006,24,"","잡 퀘스트","-"
2007,24,"","총사령부 퀘스트","-"
2008,24,"","돌발 임무","-"
2009,24,"","길드 의뢰","-"
2010,24,"","의뢰","-"
2011,24,"","용병업","-"
2012,24,"","채집업","-"
2013,24,"","제작업","-"
2015,24,"","총사령부 의뢰","-"
2017,24,"","의뢰 협동","-"
2018,24,"","의뢰 수주권","-"
2019,24,"","의뢰 난이도","-"
2020,24,"","길드 작전","-"
2021,24,"","던전","-"
2022,24,"","토벌전","-"
2023,24,"","토벌전","-"
2024,24,"","강습전","-"
2025,24,"","레이드","-"
2026,24,"","투기장","-"
2027,24,"","토토라크 감옥","-"
2028,24,"","탐타라 묘소","-"
2029,24,"","구리종 광산","-"
2030,24,"","사스타샤 침식 동굴","-"
2031,24,"","금빛 골짜기","-"
2032,24,"","하우케타 별궁","-"
2033,24,"","할라탈리 수련장","-"
2034,24,"","브레이플록스의 야영지","-"
2035,24,"","카른의 무너진 사원","-"
2036,24,"","방랑자의 궁전","-"
2037,24,"","돌방패 경계초소","-"
2038,24,"","나무꾼의 비명","-"
2039,24,"","제멜 요새","-"
2040,24,"","옛 암다포르 성","-"
2041,24,"","카스트룸 메리디아눔","-"
2042,24,"","마도성 프라이토리움","-"
2043,24,"","집단전 훈련을 완수하라!","-"
2044,24,"","방황하는 사령을 쓰러뜨려라!","-"
2045,24,"","관문을 돌파하고 최심부에 있는 적을 쓰러뜨려라!","-"
2046,24,"","길거북을 사로잡아라!","-"
2047,24,"","독성 요괴꽃을 제거하라!","-"
2048,24,"","무법자 '나나니단'을 섬멸하라!","-"
2049,24,"","몽환의 브라크시오를 쓰러뜨려라!","-"
2050,24,"","폭탄마 고블린 군단을 소탕하라!","-"
2051,24,"","오염원 몰볼을 쓰러뜨려라!","-"
2052,24,"","갱도에 나타난 요마 부소를 쓰러뜨려라!","-"
2053,24,"","무적의 부하를 조종하는 요마를 쓰러뜨려라!","-"
2054,24,"","봄들을 통솔하는 '봄 여왕'을 쓰러뜨려라!","-"
2055,24,"","불길한 진형을 짜는 요마를 섬멸하라!","-"
2056,24,"","세 거인족을 제압하여 유물을 지켜내라!","-"
2057,24,"","이프리트 토벌전","-"
2058,24,"","타이탄 토벌전","-"
2059,24,"","가루다 토벌전","-"
2060,24,"","진 이프리트 토벌전","-"
2061,24,"","진 타이탄 토벌전","-"
2062,24,"","진 가루다 토벌전","-"
2063,24,"","리트아틴 강습전","-"
2064,24,"","대미궁 바하무트","-"
2065,24,"","늑대우리","-"
2066,24,"","극 이프리트 토벌전","-"
2067,24,"","극 타이탄 토벌전","-"
2068,24,"","극 가루다 토벌전","-"
2069,24,"","선왕 모그루 모그 12세 토벌전","-"
2070,24,"","알테마 웨폰 파괴작전","-"
2071,24,"","크리스탈 타워","-"
2072,24,"","해후편","-"
2073,24,"","고대인의 미궁","-"
2074,24,"","지도 해독","-"
2075,24,"","어려움","-"
2076,24,"","무작위 임무","-"
2077,24,"","침공편","-"
2078,24,"","시리우스 대등대","-"
2079,24,"","극왕 모그루 모그 12세 토벌전","-"
2080,24,"","진 리바이어선 토벌전","-"
2081,24,"","극 리바이어선 토벌전","-"
2082,24,"","도름 키마이라 토벌전","-"
2083,24,"","하이드라 토벌전","-"
2084,24,"","길가메시 토벌전","-"
2085,24,"","PvP","-"
2086,24,"","야만족 퀘스트","-"
2087,24,"","야만족 일일 퀘스트","-"
2088,24,"","야만족 이야기 퀘스트","-"
2089,24,"","외전 퀘스트","-"
2090,24,"","보물찾기","-"
2091,24,"","연대기 퀘스트","-"
2092,24,"","기간 한정 이벤트","-"
2093,24,"","옛 암다포르 시가지","-"
2094,24,"","황도십이문서","-"
