Index,0 [0x0][0x0],1 [0x6][0x8],2 [0x3][0xe],3 [0x3][0xf],4 [0x19][0x12],5 [0x3][0x10],6 [0x7][0x4],7 [0x4][0xc],8 [0x3][0x11]
235,"조화 효과 향상",0,0,0,true,4,217,0,73
236,"민첩성 상승",5120,29,8,false,0,0,2,93
237,"낙하 피해량 감소",5401,29,14,false,0,0,10,93
238,"민첩성 상승 2",5121,29,16,false,0,0,4,93
239,"기습 공격 효과 향상",5402,29,32,false,0,0,0,93
240,"민첩성 상승 3",5122,29,24,false,0,0,6,93
241,"이동 속도 상승",5403,29,20,false,0,0,10,93
242,"벌독 효과 향상",5404,29,36,false,0,0,0,93
243,"질타 효과 향상",5406,29,28,false,0,0,0,93
244,"뱀독 효과 향상",5405,29,40,false,0,0,0,93
245,"무쌍베기 지속시간 연장",5407,29,44,false,0,0,0,93
246,"피의 비 효과 향상",5408,29,48,false,0,0,40,93
247,"강습 공격 효과 향상",0,0,0,true,4,230,0,93
248,"강습 공격 효과 향상 2",0,0,0,true,4,231,0,93
249,"강습 공격 효과 향상 3",0,0,0,true,4,232,0,93
250,"재앙의 바람 효과 향상",0,0,0,true,4,233,0,93
251,"재앙의 바람 효과 향상 2",0,0,0,true,4,234,0,93
252,"재앙의 바람 효과 향상 3",0,0,0,true,4,235,0,93
253,"천리안 효과 향상",0,0,0,true,4,237,0,93
254,"간파 효과 향상",0,0,0,true,4,236,0,100
255,"활기 효과 향상",0,0,0,true,4,238,0,97
256,"활기 효과 향상 2",0,0,0,true,4,239,0,97
257,"니메이아의 가호",5436,16,42,false,0,0,0,17
258,"광석의 속삭임 5",5437,16,53,false,0,67617,0,17
259,"은신 효과 향상 4",5438,16,50,false,0,0,54,17
260,"은신 효과 향상 5",5439,16,53,false,0,0,57,17
261,"은신 효과 향상 6",5440,16,56,false,0,0,60,17
262,"니메이아의 가호",5461,17,42,false,0,0,0,18
263,"숲의 속삭임 5",5462,17,53,false,0,67585,0,18
264,"은신 효과 향상 4",5463,17,50,false,0,0,54,18
265,"은신 효과 향상 5",5464,17,53,false,0,0,57,18
266,"은신 효과 향상 6",5465,17,56,false,0,0,60,18
267,"갈매기의 눈 4",5491,18,55,false,0,0,55,19
268,"갈매기의 눈 5",5492,18,60,false,0,0,60,19
269,"하늘섬낚시",5488,18,53,false,0,67622,0,19
270,"은신 효과 향상 4",5485,18,50,false,0,0,54,19
271,"은신 효과 향상 5",5486,18,53,false,0,0,57,19
272,"은신 효과 향상 6",5487,18,56,false,0,0,60,19
273,"용암낚시",5489,18,55,false,0,67623,0,19
274,"마법샘낚시",5490,18,58,false,0,67624,0,19
275,"활력 상승",5130,32,8,false,0,0,2,98
276,"그림자 방어 효과 향상",6051,32,14,false,0,0,0,98
277,"활력 상승 2",5131,32,16,false,0,0,4,98
278,"재앙 지속시간 연장",6052,32,32,false,0,0,0,98
279,"활력 상승 3",5132,32,24,false,0,0,6,98
280,"피의 칼날 재사용 대기 시간 단축",6053,32,20,false,0,0,0,98
281,"비열한 기습 효과 향상",6054,32,36,false,0,0,30,98
282,"앙갚음 재사용 대기 시간 단축",6055,32,28,false,0,0,0,98
283,"살의 효과 향상",6056,32,40,false,0,0,20,98
284,"어둠의 춤 효과 향상",6057,32,44,false,0,0,0,98
285,"흡혼검 효과 향상",6058,32,48,false,0,0,0,98
286,"민첩성 상승",5120,31,8,false,0,0,2,96
287,"정비 재사용 대기 시간 단축",6001,31,28,false,0,0,0,96
288,"민첩성 상승 2",5121,31,16,false,0,0,4,96
289,"기술 공격력 증가",6002,31,20,false,0,0,10,96
290,"민첩성 상승 3",5122,31,24,false,0,0,6,96
291,"산탄 사격 지속시간 연장",6004,31,14,false,0,0,0,96
292,"신속 장전 재사용 대기 시간 단축",6005,31,32,false,0,0,0,96
293,"확산 사격 효과 향상",6006,31,36,false,0,0,12,96
294,"기술 공격력 증가",6003,31,40,false,0,0,20,96
295,"속사 효과 향상",6007,31,44,false,0,0,1,96
296,"소이탄 효과 향상",6008,31,48,false,0,0,0,96
297,"정신력 상승",5150,33,8,false,0,0,2,99
298,"정신력 상승 2",5151,33,14,false,0,0,4,99
299,"광속 시전 효과 향상",6101,33,16,false,0,0,0,99
300,"기술 공격력 및 회복량 증가",6102,33,32,false,0,0,10,99
301,"정신력 상승 3",5152,33,24,false,0,0,6,99
302,"생환 효과 향상",6104,33,20,false,0,0,0,99
303,"베네피크 효과 향상",6105,33,36,false,0,0,15,99
304,"본질적 위계 재사용 대기 시간 단축",6106,33,28,false,0,0,0,99
305,"기술 공격력 및 회복량 증가 2",6103,33,40,false,0,0,30,99
306,"행동 방해 효과 향상",6107,33,44,false,0,0,0,99
307,"빛의 에테르 효과 향상",6108,33,48,false,0,0,0,99
308,"저격 효과 향상",0,0,0,true,4,260,0,96
309,"저격 효과 향상 2",0,0,0,true,4,261,0,96
310,"저격 효과 향상 3",0,0,0,true,4,262,10,96
311,"전기 충격 효과 향상",0,0,0,true,4,263,0,96
312,"전기 충격 효과 향상 2",0,0,0,true,4,264,0,96
313,"전기 충격 효과 향상 3",0,0,0,true,4,265,1,96
314,"총성 효과 향상",0,0,0,true,4,266,0,96
315,"총성 효과 향상 2",0,0,0,true,4,267,15,96
316,"역행 효과 향상",0,0,0,true,4,268,0,99
317,"역행 효과 향상 2",0,0,0,true,4,269,0,99
318,"역행 효과 향상 3",0,0,0,true,4,270,50,99
319,"타르 웅덩이 효과 향상",0,0,0,true,4,271,0,98
320,"타르 웅덩이 효과 향상 2",0,0,0,true,4,272,0,98
321,"타르 웅덩이 효과 향상 3",0,0,0,true,4,273,20,98
322,"욕망의 냉기 효과 향상",0,0,0,true,4,274,0,98
323,"욕망의 냉기 효과 향상 2",0,0,0,true,4,275,0,98
324,"욕망의 냉기 효과 향상 3",0,0,0,true,4,276,10,98
325,"되받아치기 효과 향상",0,0,0,true,4,277,0,85
326,"되받아치기 효과 향상 2",0,0,0,true,4,278,0,85
327,"되받아치기 효과 향상 3",0,0,0,true,4,279,5,85
328,"쇠퇴 효과 향상 2",0,0,0,true,4,280,0,69
329,"명예로운 일격 효과 향상 3",0,0,0,true,4,281,5,38
330,"",0,0,0,false,0,0,0,0
331,"",0,0,0,false,0,0,0,0
332,"",0,0,0,false,0,0,0,0
333,"",0,0,0,false,0,0,0,0
334,"",0,0,0,false,0,0,0,0
335,"",0,0,0,false,0,0,0,0
336,"",0,0,0,false,0,0,0,0
337,"",0,0,0,false,0,0,0,0
338,"",0,0,0,false,0,0,0,0
339,"",0,0,0,false,0,0,0,0
340,"",0,0,0,false,0,0,0,0
341,"",0,0,0,false,0,0,0,0
342,"",0,0,0,false,0,0,0,0
343,"",0,0,0,false,0,0,0,0
344,"",0,0,0,false,0,0,0,0
345,"",0,0,0,false,0,0,0,0
346,"",0,0,0,false,0,0,0,0
347,"",0,0,0,false,0,0,0,0
348,"",0,0,0,false,0,0,0,0
349,"",0,0,0,false,0,0,0,0
350,"",0,0,0,false,0,0,0,0
