Index,0 [0x0][0x0],1 [0x19][0x30],2 [0x5][0x8],3 [0x3][0x1c],4 [0x5][0xa],5 [0x3][0x1d],6 [0x4][0x1a],7 [0x5][0xc],8 [0x3][0x1e],9 [0x2][0x2c],10 [0x3][0x1f],11 [0x2][0x2d],12 [0x1a][0x30],13 [0x1b][0x30],14 [0x1c][0x30],15 [0x1d][0x30],16 [0x1e][0x30],17 [0x1f][0x30],18 [0x20][0x30],19 [0x19][0x31],20 [0x1a][0x31],21 [0x2][0x2e],22 [0x1b][0x31],23 [0x1c][0x31],24 [0x3][0x20],25 [0x3][0x21],26 [0x3][0x22],27 [0x1d][0x31],28 [0x3][0x23],29 [0x5][0xe],30 [0x3][0x24],31 [0x5][0x10],32 [0x5][0x12],33 [0x1e][0x31],34 [0x5][0x14],35 [0x5][0x16],36 [0x3][0x25],37 [0x2][0x2f],38 [0x3][0x26],39 [0x3][0x27],40 [0x5][0x18],41 [0x7][0x4],42 [0x3][0x28],43 [0x3][0x29],44 [0x1f][0x31],45 [0x20][0x31],46 [0x3][0x2a],47 [0x19][0x32],48 [0x1a][0x32],49 [0x1b][0x32],50 [0x1c][0x32],51 [0x1d][0x32],52 [0x1e][0x32],53 [0x1f][0x32],54 [0x20][0x32],55 [0x19][0x33],56 [0x3][0x2b],57 [0x1a][0x33]
10,"철벽 방어",false,152,4,0,0,369,1875,0,1,2,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,5,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
11,"야성의 검격",false,157,3,0,0,311,1875,206,1,4,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,9,false,0,25,58,-1,7,0,0,0,39,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
12,"재활",false,162,4,0,0,370,1875,0,1,10,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,7,0,0,0,0,0,37,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
13,"경각심",false,163,4,0,0,371,1875,0,1,34,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,8,0,0,0,0,0,37,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
14,"플래시",false,159,2,102,85,441,1875,0,1,8,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,3,8,0,0,0,true,0,25,58,5,7,0,0,0,37,1,true,false,0,false,false,false,true,true,true,false,false,true,0,false
15,"폭도의 검격",false,156,3,0,0,317,1875,0,1,12,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,9,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
16,"방패 가격",false,154,3,0,0,315,1875,0,1,18,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,120,39,0,0,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
17,"경계",false,151,4,0,0,372,1875,0,1,38,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,10,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
18,"도발",false,165,4,0,0,373,1875,0,1,22,25,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,400,3,0,0,0,0,0,37,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
19,"강철의 의지",false,153,4,0,0,374,1875,0,1,42,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,11,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
20,"임전무퇴",false,166,4,0,0,376,1875,0,1,6,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,6,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
21,"할로네의 분노",false,155,3,0,0,312,1875,0,1,26,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,11,false,0,25,58,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
22,"방패 각성",false,167,4,0,0,377,1875,0,1,46,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,12,0,0,0,0,0,38,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
23,"파멸의 진",false,161,4,0,0,313,1892,0,1,50,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,0,0,0,0,0,true,0,250,1,-1,7,0,0,0,38,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
24,"방패 던지기",false,164,3,0,0,316,1875,0,1,15,15,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,120,39,0,0,false,0,25,58,-1,7,0,0,72,38,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
25,"방패 후려치기",false,160,4,0,0,318,1875,0,1,30,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,2,0,0,true,0,150,15,-1,7,0,0,73,38,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
26,"충의의 검",false,2504,2,102,90,442,1875,0,19,30,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,3,10,0,0,0,true,0,25,58,0,0,0,78,31,20,1,true,false,0,false,false,false,true,true,true,false,false,true,0,false
27,"감싸기",false,2501,4,0,0,375,1887,0,19,35,10,false,true,false,false,false,false,false,false,false,0,true,false,1,0,0,false,0,0,0,0,0,true,0,1200,9,0,0,0,0,32,20,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
28,"충의의 방패",false,2505,2,102,90,443,1875,0,19,40,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,3,10,0,0,0,true,0,25,58,0,0,0,79,33,20,1,true,false,0,false,false,false,true,true,true,false,false,true,0,false
29,"내면의 기개",false,2503,4,0,0,314,1875,0,19,45,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,300,2,-1,7,0,0,34,20,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
30,"천하무적",false,2502,4,0,0,378,1875,0,19,50,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,4200,25,0,0,0,0,35,20,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
31,"육중한 일격",false,260,3,0,0,319,1875,202,3,1,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,70,0,0,0,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
32,"예지력",false,252,4,0,0,379,1875,0,3,2,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,8,0,0,0,0,0,43,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
33,"골절",false,256,3,0,0,321,1875,204,3,6,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,80,0,0,0,false,0,25,58,-1,7,0,0,0,45,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
34,"피의 갈증",false,251,4,0,0,380,1875,0,3,8,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,5,0,0,0,0,0,43,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
35,"두개골 절단",false,257,3,0,0,320,1875,203,3,4,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,31,false,0,25,58,-1,7,0,0,0,45,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
36,"최후의 일격",false,265,4,0,0,381,1875,0,3,26,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,6,0,0,true,0,900,6,-1,7,0,0,0,43,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
37,"관절 파괴",false,255,3,0,0,322,1875,0,3,18,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,31,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
38,"광폭화",false,259,4,0,0,382,1875,0,3,22,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,7,0,0,0,0,0,44,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
39,"잔혹한 일격",false,253,4,0,0,324,1875,0,3,10,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,200,2,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
40,"전투의 짜릿함",false,263,4,0,0,383,1875,0,3,34,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,9,0,0,0,0,0,44,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
41,"압도",false,254,3,0,0,309,1940,0,3,12,8,false,false,false,true,false,false,false,false,false,0,true,true,3,8,0,true,5,130,0,0,0,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
42,"폭풍 쐐기",false,258,3,0,0,323,1875,0,3,38,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,37,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
43,"일대일 결투",false,266,4,0,0,385,1875,0,3,42,6,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,1800,12,0,0,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
44,"보복",false,267,4,0,0,388,1875,0,3,46,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,10,0,0,0,0,0,44,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
45,"폭풍의 눈",false,264,3,0,0,329,1875,0,3,50,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,37,false,0,25,58,-1,7,0,0,0,44,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
46,"도끼 던지기",false,261,3,0,0,328,1875,0,3,15,15,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,120,0,0,0,false,0,25,58,-1,7,0,0,74,44,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
47,"휘도는 도끼",false,262,3,0,0,325,1875,0,3,30,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,35,false,0,25,58,-1,7,0,0,75,44,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
48,"수비 태세",false,2551,4,0,0,384,1875,0,21,30,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,100,1,0,0,0,91,41,22,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
49,"원초의 혼",false,2553,3,0,0,330,1875,0,21,35,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,10,97,32,97,0,true,0,25,58,-1,7,0,0,42,22,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
50,"힘의 해방",false,2554,4,0,0,386,1875,0,21,40,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,10,97,32,97,0,true,0,1200,11,0,0,0,0,43,22,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
51,"강철 회오리",false,2552,3,0,0,327,1916,0,21,45,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,10,97,32,97,0,true,0,25,58,-1,7,0,0,44,22,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
52,"전장의 함성",false,2555,4,0,0,387,1875,0,21,50,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,41,0,0,true,0,600,4,0,0,0,0,45,22,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
53,"연격",false,208,3,0,0,333,1875,0,2,1,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
54,"정권 지르기",false,209,3,0,0,334,1875,0,2,2,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,32,108,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
55,"새털 걸음",false,202,4,0,0,389,1875,0,2,4,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,8,0,0,0,0,0,40,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
56,"붕권",false,210,3,0,0,336,1875,0,2,6,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,32,109,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
57,"내단",false,201,4,0,0,390,1875,0,2,8,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,9,0,0,0,0,0,40,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
58,"맞받아치기",false,203,3,0,0,331,1875,207,2,10,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,40,4,0,0,true,0,25,58,-1,7,0,0,0,42,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
59,"발경",false,212,4,0,0,391,1875,0,2,12,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,600,4,0,0,0,0,0,40,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
60,"금강 태세",false,206,4,0,0,392,1875,0,2,22,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,30,1,0,0,0,104,0,41,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
61,"쌍장타",false,213,3,0,0,337,1875,0,2,18,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,32,108,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
62,"충격파",false,215,3,0,0,395,1875,0,2,26,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,5,130,0,0,0,false,0,25,58,-1,7,0,0,0,41,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
63,"홍련 태세",false,205,4,0,0,393,1875,0,20,40,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,30,1,0,0,0,103,38,21,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
64,"철산고",false,2530,4,0,0,341,1888,0,2,38,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,600,5,-1,7,0,0,0,41,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
65,"만트라",false,216,4,0,0,396,1922,0,2,42,0,true,false,false,false,false,false,false,false,false,0,true,false,2,7,0,false,0,0,0,0,0,true,0,1200,10,0,0,0,0,0,40,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
66,"파쇄권",false,204,3,0,0,342,1875,0,2,30,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,32,109,0,false,0,25,58,-1,7,0,0,77,41,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
67,"공명권",false,207,4,0,0,398,1889,0,2,46,10,false,false,false,true,false,false,false,false,false,0,true,true,4,10,2,true,0,0,0,0,0,true,0,600,6,-1,7,0,0,0,41,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
68,"혈도 찌르기",false,211,3,0,0,338,1875,0,2,15,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,80,0,0,0,false,0,25,58,-1,7,0,0,76,41,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
69,"진각",false,217,4,0,0,399,1875,0,2,50,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,11,0,0,0,0,0,41,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
70,"지열참",false,2529,3,0,0,340,1875,0,20,30,5,false,false,false,true,false,false,false,false,false,0,true,true,3,5,0,true,5,120,32,109,0,false,0,25,58,-1,7,0,0,36,21,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
71,"나찰충격권",false,2526,4,0,0,394,1875,0,20,35,20,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,300,3,-1,7,0,0,37,21,2,false,true,0,false,false,true,true,true,true,false,false,true,0,false
72,"촌경",false,214,3,0,0,339,1875,0,20,45,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,120,32,108,0,false,0,25,58,-1,7,0,0,39,21,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
73,"질풍 태세",false,2527,4,0,0,397,1875,0,2,34,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,30,1,0,0,0,105,0,41,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
74,"쌍룡각",false,2528,3,0,0,335,1875,0,20,50,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,0,false,0,25,58,-1,7,0,0,40,21,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
75,"직선 찌르기",false,310,3,0,0,343,1875,193,4,1,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,70,0,0,0,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
76,"눈속임 공격",false,307,3,0,0,344,1875,205,4,2,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,80,0,0,0,false,0,25,58,-1,7,0,0,0,48,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
77,"날카로운 돌풍",false,301,4,0,0,400,1875,0,4,6,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,7,0,0,0,0,0,46,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
78,"사선 찌르기",false,312,3,0,0,345,1875,0,4,4,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,75,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
79,"겹찌르기",false,311,3,0,0,346,1875,0,4,12,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,70,0,0,0,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
80,"기합",false,302,4,0,0,401,1875,0,4,22,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1200,9,0,0,0,0,0,46,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
81,"연쇄 충격",false,313,3,0,0,347,1875,0,4,8,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,70,0,0,0,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
82,"다리 쳐내기",false,305,4,0,0,348,1875,0,4,10,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,300,2,-1,7,0,0,0,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
83,"생명력 쇄도",false,304,4,0,0,402,1875,0,4,18,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,8,0,0,0,0,0,47,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
84,"올려 찌르기",false,314,3,0,0,354,1875,0,4,26,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,78,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
85,"필사의 각오",false,309,4,0,0,404,1875,0,4,34,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,800,6,0,0,0,0,0,46,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
86,"악몽의 쐐기",false,306,3,0,0,349,1896,0,4,42,10,false,false,false,true,false,false,false,false,false,0,true,true,4,10,2,true,5,160,0,0,0,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
87,"몸통 가르기",false,317,3,0,0,355,1875,0,4,38,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,81,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
88,"꽃잎 폭풍",false,308,3,0,0,350,1875,0,4,50,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,60,0,0,87,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
89,"가시 소용돌이",false,2579,3,0,0,351,1897,0,4,46,0,true,false,false,false,false,false,false,false,false,0,true,true,2,5,0,true,5,120,0,0,79,false,0,25,58,-1,7,0,0,0,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
90,"꿰뚫는 발톱",false,315,3,0,0,352,1875,0,4,15,15,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,130,0,0,0,false,0,25,58,-1,7,0,0,66,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
91,"이단 찌르기",false,316,3,0,0,353,1875,0,4,30,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,90,0,0,0,false,0,25,58,-1,7,0,0,67,47,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
92,"점프",false,2576,4,0,0,403,1875,0,22,30,20,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,300,3,-1,7,0,0,46,23,2,false,true,0,false,false,true,true,true,true,false,false,true,0,false
93,"용의 창",false,303,4,0,0,405,1875,0,22,45,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,600,4,0,0,0,0,49,23,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
94,"교묘한 점프",false,2577,4,0,0,406,1875,0,22,35,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,1800,11,0,0,0,0,47,23,1,false,false,0,false,false,true,true,true,true,false,false,true,0,false
95,"척추 강타",false,2580,4,0,0,407,1875,0,22,40,20,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,0,0,0,0,0,true,0,600,5,-1,7,0,0,48,23,2,false,true,0,false,false,true,true,true,true,false,false,true,0,false
96,"화룡 강타",false,2578,4,0,0,408,1875,0,22,50,20,false,false,false,true,false,false,false,false,false,0,true,true,2,5,0,true,0,0,0,0,0,true,0,1200,10,-1,1,0,0,50,23,2,false,true,0,false,false,true,true,true,true,false,false,true,0,false
97,"육중한 사격",false,358,3,3896,205,356,1875,0,5,1,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,0,0,0,false,0,25,58,-1,7,0,0,0,50,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
98,"직선 사격",false,359,3,3896,205,357,1875,194,5,2,-1,false,false,false,true,false,false,false,false,false,0,true,true,1,0,0,true,5,50,0,0,0,false,0,25,58,-1,7,1,0,0,106,2,false,false,0,false,false,false,true,true,true,false,false,true,0,false
99,"매의 눈",false,354,4,0,0,409,1875,0,5,26,0,true,false,false,false,false,false,false,false,false,0,true,true,1,0,0,false,0,0,0,0,0,true,0,900,7,0,0,0,0,0,49,1,false,false,0,false,false,false,true,true,true,false,false,true,0,false
