Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x6][0x4c],9 [0x5][0x60],10 [0x3][0x6c],11 [0x3][0x6d],12 [0x3][0x6e],13 [0x5][0x62],14 [0x5][0x64],15 [0x9][0x1c],16 [0x9][0x34],17 [0x9][0x20],18 [0x9][0x38],19 [0x9][0x24],20 [0x9][0x3c],21 [0x9][0x28],22 [0x9][0x40],23 [0x9][0x2c],24 [0x9][0x44],25 [0x9][0x30],26 [0x9][0x48],27 [0x5][0x66],28 [0x0][0x10],29 [0x0][0x14],30 [0x0][0x18],31 [0x3][0x6f],32 [0x3][0x70],33 [0x19][0x77],34 [0x1a][0x77],35 [0x6][0x50],36 [0x6][0x54],37 [0x6][0x58],38 [0x6][0x5c],39 [0x2][0x76],40 [0x5][0x68],41 [0x3][0x71],42 [0x3][0x72],43 [0x3][0x73],44 [0x3][0x74],45 [0x3][0x75],46 [0x5][0x6a],47 [0x1b][0x77],48 [0x1c][0x77],49 [0x1d][0x77]
29,"크산토스",0,"",0,0,1,0,0,714,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,268,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,1,0,0,16,4417,200,65,0,0,0,0,false,false,false
30,"굴팍시",0,"",0,0,1,0,0,715,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,267,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,1,0,0,17,4418,200,65,0,0,0,0,false,false,false
31,"엔바르",0,"",0,0,1,0,0,716,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,266,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,1,0,0,18,4419,200,65,0,0,0,0,false,false,false
32,"전투사자",0,"",0,0,1,0,0,721,2,0,45,15,0,0,0.6,0.5,0.63,0.56,0.25,0.25,0.54,0.47,0.66,0.62,0.64,0.46,121,"SE_Bt_Etc_LionWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_LionBye",20,10,false,true,0,1,0,0,19,4420,13,45,13,4,0,0,false,false,false
33,"전투곰",0,"",0,0,1,0,0,719,2,0,45,15,0,0,0.8,0.72,0.84,0.8,0.5,0.5,0.72,0.68,0.88,0.88,0.86,0.66,121,"SE_Bt_Etc_KumaWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_KumaBye",20,10,false,true,0,1,0,0,20,4421,14,65,12,3,0,0,false,false,false
34,"그랑초코보",0,"",0,0,1,0,0,1,2,1,45,15,374,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,false,true,65563,65563,65563,65563,21,4422,1,100,0,0,1,0,false,false,false
35,"다이어울프",0,"",0,0,1,0,0,675,2,0,45,15,0,0,1.45,1.3,1.5,1.45,0.87,0.87,1.3,1.23,1.6,1.6,1.56,1.19,121,"SE_Bt_Etc_WolfWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WolfBye",20,10,false,true,0,1,0,0,22,4423,15,100,0,0,0,0,false,false,false
36,"림사 로민사 군마",0,"",0,0,1,0,0,811,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,65537,65537,65537,0,23,4424,201,100,0,0,0,0,false,false,false
37,"그리다니아 군마",0,"",0,0,1,0,0,811,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,131073,131073,131073,0,24,4425,201,100,0,0,0,0,false,false,false
38,"울다하 군마",0,"",0,0,1,0,0,811,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,196609,196609,196609,0,25,4426,201,100,0,0,0,0,false,false,false
39,"",0,"",0,0,1,0,0,820,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,121,"SE_Bt_Etc_WaterRizardWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_WaterRizardBye",20,10,false,true,0,1,0,0,-1,4414,0,100,0,0,0,8,false,false,false
40,"마르카브",0,"",0,0,1,0,0,817,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,265,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,1,0,0,26,4427,200,65,0,0,0,0,false,false,false
41,"영원초코보",0,"",0,0,1,0,0,571,2,1,45,15,374,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,false,true,65537,65537,65537,65537,27,4431,1,100,0,0,1,0,false,false,false
42,"슬레이프니르",0,"",0,0,1,0,0,866,5,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,263,"SE_Bt_Etc_SleipnilWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_SleipnilBye",20,10,false,true,0,1,0,0,28,4428,202,100,0,0,0,0,false,false,false
43,"보레아스",0,"",0,0,1,0,0,818,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,264,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,1,0,0,29,4429,200,65,0,0,0,0,false,false,false
44,"행진대 초코보",0,"",0,0,1,0,0,965,2,2,45,0,374,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,193,"SE_Bt_Etc_DebuCyokoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_DebuCyokoboBye",20,10,true,false,0,1,0,0,30,4430,2,100,0,0,0,0,false,false,false
45,"검은 초코보",0,"",0,0,1,0,0,966,2,1,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,false,true,65552,65552,131073,65537,40,4436,1,100,0,0,0,0,false,false,false
46,"금강거북",0,"",0,0,1,0,0,987,2,1,45,15,374,0,0.5,0.45,0.52,0.5,0.3,0.3,0.45,0.42,0.55,0.55,0.54,0.41,121,"SE_Bt_Etc_AdamanWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_AdamanBye",5,3,false,true,0,1,0,0,31,4434,16,65,0,0,0,0,false,false,false
47,"기린",0,"",0,0,1,0,0,958,2,1,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,358,"SE_Bt_Etc_KirinWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_KirinBye",20,10,false,true,0,1,0,0,32,4432,200,65,0,0,0,0,false,false,false
48,"탑승 시스템",0,"",0,0,1,0,0,1029,2,1,45,15,374,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,121,"SE_Bt_Etc_DaragabWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_DaragabBye",0,10,false,true,0,1,0,0,33,4433,100,100,12,4,0,9,true,true,false
49,"펜리르",0,"",0,0,1,0,0,1026,2,1,45,15,374,375,0.5,0.45,0.52,0.5,0.3,0.3,0.45,0.42,0.55,0.55,0.54,0.41,121,"SE_Bt_Etc_FenrirWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_FenrirBye",20,10,false,true,0,1,0,0,34,4435,16,65,0,6,0,0,false,false,false
50,"미드가르드오름",0,"",0,0,1,0,0,926,2,1,45,15,374,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,319,"SE_Bt_Etc_DragoneWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_DragoneBye",20,10,false,true,0,1,0,0,35,4437,251,40,0,0,0,0,false,false,false
51,"",0,"",0,0,1,0,0,311,5,0,45,15,0,0,1.0,0.9,2.1,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,0,"","","",0,0,false,true,0,1,0,0,-1,0,0,100,0,0,0,0,false,false,false
52,"빨간 그랑초코보",0,"",0,0,1,0,0,1,2,1,45,15,374,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,false,true,131099,131099,131099,131099,41,4444,1,100,0,0,1,0,false,false,false
53,"사누와",0,"",0,0,1,0,0,1161,2,1,45,15,374,375,0.7,0.63,0.74,0.7,0.38,0.38,0.63,0.6,0.75,0.75,0.75,0.57,319,"SE_Bt_Etc_CeronWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_CeronBye",20,20,false,true,0,0,0,0,36,4438,19,60,9,3,0,0,true,false,false
54,"그리핀",0,"",0,0,1,0,0,992,2,1,45,70,374,375,1.0,0.95,1.1,1.05,0.6,0.6,0.95,0.85,1.3,1.1,1.25,0.82,319,"SE_Bt_Etc_GrifinWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GrifinBye",20,20,false,true,0,0,0,0,37,4439,17,60,9,3,0,0,false,false,false
55,"마나커터",0,"",0,0,1,0,0,929,2,1,45,15,374,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,319,"SE_Bt_Etc_HitorinoriWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_HitorinoriBye",0,10,false,true,0,0,0,0,38,4440,101,60,0,0,0,0,true,false,false
56,"전투흑표범",0,"",0,0,1,0,0,1184,2,0,45,15,0,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.1,0.82,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,false,true,0,1,0,0,39,4441,7,60,0,0,0,0,false,false,false
57,"",0,"",0,0,1,0,0,1,2,0,45,15,374,0,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,61,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,false,true,65552,65552,131073,65537,-1,0,0,100,0,0,0,0,false,false,false
58,"고블린워커",0,"",0,0,1,0,0,1011,2,1,45,0,374,375,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,397,"SE_Bt_Etc_GobrinTunkWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_GobrinTunkBye",0,10,false,true,0,0,0,0,42,4442,101,30,0,0,0,0,false,false,false
59,"트윈타니아",0,"",0,0,1,0,0,1249,2,1,45,15,374,375,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.8,0.8,0.8,319,"SE_Bt_Etc_TwinTaniaWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TwinTaniaBye",20,20,false,true,0,0,0,0,43,4443,22,55,9,3,0,12,false,true,false
60,"",0,"",0,0,1,0,0,1011,2,0,45,15,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,397,"SE_Bt_Etc_GobrinTunkWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_GobrinTunkBye",0,10,false,true,0,0,0,0,-1,0,0,30,0,0,0,10,false,false,true
61,"",0,"",0,0,1,0,0,1011,2,0,45,15,0,0,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,397,"SE_Bt_Etc_GobrinTunkWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_GobrinTunkBye",0,10,false,true,0,0,0,0,-1,0,0,30,0,0,0,11,false,false,true
62,"마녀의 빗자루",0,"",0,0,1,0,0,1326,2,1,45,15,374,375,1.0,0.9,1.25,0.98,0.55,0.55,0.9,0.85,1.3,1.05,1.2,0.82,330,"SE_Bt_Etc_HoukiWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_HoukiBye",20,10,false,true,0,1,0,0,44,4445,101,100,0,0,0,0,true,false,false
63,"",0,"",0,0,1,0,0,1326,2,0,45,15,0,0,1.0,0.9,1.25,0.98,0.55,0.55,0.9,0.85,1.3,1.05,1.2,0.82,330,"SE_Bt_Etc_HoukiWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_HoukiBye",20,10,false,true,0,1,0,0,-1,0,0,100,0,0,0,13,true,false,false
64,"",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","","",0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false
65,"",0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","","",0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,false,false,false
66,"",0,"",0,0,1,0,0,1161,2,1,45,15,374,375,0.7,0.63,0.74,0.7,0.38,0.38,0.63,0.6,0.75,0.75,0.75,0.57,319,"SE_Bt_Etc_CeronWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_CeronBye",20,20,false,true,0,0,0,0,-1,0,0,60,9,3,0,14,true,false,false
67,"페가수스",0,"",0,0,1,0,0,1065,2,1,45,15,374,375,1.0,0.9,1.05,1.0,0.6,0.6,0.9,0.85,1.1,1.1,1.08,0.82,319,"SE_Bt_Etc_UnicornWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_UnicornBye",20,10,false,true,0,0,0,0,46,4447,200,65,0,0,0,0,false,false,false
68,"리위아 전용 마도 아머",0,"",0,0,1,0,0,2,2,1,45,0,374,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,331,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,false,true,0,393217,0,0,47,4448,3,77,0,0,0,2,false,true,false
69,"네로 전용 마도 아머",0,"",0,0,1,0,0,2,2,1,45,0,374,375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,331,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,false,true,0,327681,0,0,48,4449,3,77,0,0,0,2,false,true,false
70,"와이번",0,"",0,0,1,0,0,1412,2,1,45,15,374,375,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.8,0.8,319,"SE_Bt_Etc_TwinTaniaWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_TwinTaniaBye",20,20,false,true,0,0,0,0,49,4450,23,55,9,3,0,0,false,false,false
