Index,0 [0x7][0x8],1 [0x5][0x18],2 [0x7][0xc],3 [0x7][0x10],4 [0x7][0x14],5 [0x5][0x1a],6 [0x5][0x1c],7 [0x5][0x1e],8 [0x5][0x20],9 [0x19][0x22],10 [0x0][0x0],11 [0x0][0x4]
131135,4165794,138,0,0,0,1,1,0,0,false,"'맥주 항구'로 이동","'맥주 항구'로 이동하시겠습니까?"
131136,4264605,138,590638,590639,590640,23,1,0,0,false,"'바다뱀 소굴'로 이동","'바다뱀 소굴'로 이동하시겠습니까?<br>이용 요금: 40길"
131137,4321669,156,0,0,0,1,1,0,0,false,"","'비밀 공방'에서 나가시겠습니까?"
131138,4102803,132,590843,0,0,1,1,0,0,false,"","그리다니아로 이동하시겠습니까?"
131139,4332112,137,0,0,0,1,1,0,0,false,"","'대미궁 바하무트: 해후편'에서 퇴장하시겠습니까?"
131140,4332121,147,0,0,0,1,1,0,390,false,"","'대미궁 바하무트: 해후편'에서 퇴장하시겠습니까?"
131141,4331241,247,0,0,0,1,1,389,0,false,"","작동하시겠습니까?"
131142,4498658,351,0,0,0,1,1,0,0,false,"","'새벽의 방'으로 들어가시겠습니까?"
131143,4498656,351,0,0,0,1,1,0,0,false,"","'새벽의 방'에서 나가시겠습니까?"
131144,4498659,351,0,0,0,1,1,0,0,false,"","'돌의 집'으로 들어가시겠습니까?"
131145,4498857,156,0,0,0,1,1,0,0,false,"","'돌의 집'에서 나가시겠습니까?"
131146,4506602,156,0,0,0,1,1,0,0,false,"","'여덟 검사의 앞뜰'로 들어가시겠습니까?"
131147,4506605,156,0,0,0,1,1,0,0,false,"","'여덟 검사의 앞뜰'에서 나가시겠습니까?"
131148,0,0,0,0,0,1,6,0,0,false,"","'주택'으로 들어가시겠습니까?"
131149,0,0,0,0,0,1,7,0,0,false,"","'주택'에서 나가시겠습니까?"
131150,4549235,340,591149,0,0,1,1,0,0,false,"",""
131151,4549391,148,591150,0,0,1,1,0,0,false,"",""
131152,4618997,180,0,0,0,1,1,0,0,false,"","'제13땅굴단 연금공방'에서 나가시겠습니까?"
131153,4629135,138,0,0,0,1,1,0,0,false,"","'노부의 육성지'로 돌아가시겠습니까?"
131154,4629135,138,0,0,0,1,1,0,0,false,"","'노부의 육성지'로 돌아가시겠습니까?"
131155,4629135,138,0,0,0,1,1,0,0,false,"","'노부의 육성지'로 돌아가시겠습니까?"
131156,4629135,138,0,0,0,1,1,0,0,false,"","'노부의 육성지'로 돌아가시겠습니까?"
131157,4629135,138,0,0,0,1,1,0,0,false,"","'노부의 육성지'로 돌아가시겠습니까?"
131158,4549235,340,591254,591260,0,24,1,0,0,false,"'라벤더 안식처'로 이동",""
131159,1381038,133,591255,591261,0,24,1,0,0,false,"",""
131160,4664433,339,591256,591262,0,25,1,0,0,false,"'안갯빛 마을'로 이동",""
131161,4165749,129,591257,591263,0,25,1,0,0,false,"",""
131162,4656744,341,591258,591264,0,26,1,0,0,false,"",""
131163,4660251,131,591259,591265,0,26,1,0,0,false,"",""
131164,4678209,154,0,0,0,1,1,0,0,false,"","'에오르제아 지하공간'에서 퇴장하시겠습니까?"
131165,4332121,147,0,0,0,1,1,0,0,false,"","'라그나로크급 3번함 제1함교'에서 퇴장하시겠습니까?"
131166,5036036,395,591750,0,0,1,1,0,0,false,"","'응접실'로 이동하시겠습니까?"
131167,5036025,155,0,0,0,1,1,0,0,false,"","'응접실'에서 나가시겠습니까?"
131168,5038695,152,0,0,0,1,1,0,0,false,"","식장에서 나가시겠습니까?"
131169,5049372,137,590097,0,0,1,1,0,0,false,"'대형 원양어선'으로 이동","'대형 원양어선'으로 이동하시겠습니까?"
131170,4165755,137,590098,0,0,1,1,0,0,false,"'코스타 델 솔'로 이동","'코스타 델 솔'로 이동하시겠습니까?"
131171,5341046,129,0,0,0,1,1,0,0,false,"","'쌍검사 길드'에서 나가시겠습니까?"
131172,5341051,129,591865,0,0,27,1,0,0,false,"'쌍검사 길드'로 들어가기","'쌍검사 길드'로 들어가시겠습니까?"
131173,5341521,137,0,0,0,1,1,0,0,false,"","'선착장 창고'에서 나가시겠습니까?"
131174,5341524,137,591889,591888,0,28,1,0,0,false,"'선착장 창고'로 들어가기","'선착장 창고'로 이동하시겠습니까?"
131175,5404445,147,0,0,0,1,1,0,0,false,"","'에오르제아 지하공간'에서 나가시겠습니까?"
131176,5038252,392,0,0,0,1,8,0,0,false,"","예식장 '영원의 성당'으로 들어가시겠습니까?"
131177,5448900,388,591975,0,0,1,1,0,0,false,"","'초코보 광장'으로 이동하시겠습니까?"
131178,5448873,144,591981,0,0,1,1,0,0,false,"","'입구 광장'으로 이동하시겠습니까?"
131179,5649379,144,0,591990,0,29,1,0,0,false,"'골드 소서'로 이동","'골드 소서'로 이동하시겠습니까?<br>이용 요금: 무료"
131180,5649379,144,0,591990,0,29,1,0,0,false,"'골드 소서'로 이동","'골드 소서'로 이동하시겠습니까?<br>이용 요금: 무료"
131181,5649379,144,0,591990,0,29,1,0,0,false,"'골드 소서'로 이동","'골드 소서'로 이동하시겠습니까?<br>이용 요금: 무료"
131182,4103399,128,0,0,592264,30,1,0,0,false,"'림사 로민사'로 이동","'림사 로민사'로 이동하시겠습니까?<br>이용 요금: 120길"
131183,4103339,130,0,0,0,1,1,0,0,false,"'울다하'로 이동","'울다하'로 이동하시겠습니까?<br>이용 요금: 무료"
131184,4103382,132,0,0,592264,30,1,0,0,false,"'그리다니아'로 이동","'그리다니아'로 이동하시겠습니까?<br>이용 요금: 120길"
131185,5827477,418,592249,0,0,1,1,0,0,false,"","'성도 이슈가르드'로 이동하시겠습니까?"
131186,5835896,155,592250,0,0,1,1,0,0,false,"","'대심판의 문'으로 이동하시겠습니까?"
131187,5822019,439,592251,0,0,1,1,0,0,false,"'나풀깃 투기장'으로 이동","'나풀깃 투기장'으로 들어가시겠습니까?"
131188,5835987,401,0,0,0,1,1,0,0,false,"'구름마루 초소'로 이동","'구름마루 초소'로 이동하시겠습니까?<br>이용 요금: 무료"
131189,5836049,401,592253,0,0,1,1,0,0,false,"","'푸른하늘 창'으로 이동하시겠습니까?"
131190,5836085,402,592254,0,0,1,1,0,0,false,"'마대륙 아지스 라'로 이동","'마대륙 아지스 라'로 이동하시겠습니까?"
131191,5821242,427,592255,0,0,1,1,0,0,false,"","'성 앙달림 신학원'으로 들어가시겠습니까?"
131192,5822004,433,592256,0,0,1,1,0,0,false,"","'포르탕 저택'으로 들어가시겠습니까?"
131193,5827748,419,0,0,0,1,1,0,0,false,"","'성 앙달림 신학원'에서 나가시겠습니까?"
131194,5827491,418,0,0,0,1,1,0,0,false,"","'신전기사단 총장실'에서 나가시겠습니까?"
131195,5827750,419,0,0,0,1,1,0,0,false,"","'포르탕 저택'에서 나가시겠습니까?"
131196,5827495,418,0,0,0,1,1,0,0,false,"","'나풀깃 투기장'에서 나가시겠습니까?"
131197,5835975,419,592257,0,0,1,1,0,0,false,"","'이슈가르드 비공정 승강장'으로 이동하시겠습니까?<br>이용 요금: 무료"
131198,5835975,419,0,0,0,1,1,0,0,false,"","'이슈가르드 비공정 승강장'으로 이동하시겠습니까?"
131199,5836077,400,592259,0,0,1,1,0,0,false,"","'드라바니아 구름바다'로 이동하시겠습니까?"
131200,5836076,398,0,0,0,1,1,0,0,false,"","'고지 드라바니아'로 이동하시겠습니까?"
131201,5851087,463,0,0,0,1,1,0,0,false,"","'마토야의 동굴'로 들어가시겠습니까?"
131202,5822097,399,0,0,0,1,1,0,0,false,"","'마토야의 동굴'에서 나가시겠습니까?"
131203,5835975,419,0,0,0,1,1,0,0,false,"","'이슈가르드 비공정 승강장'으로 이동하시겠습니까?"
131204,5878288,429,0,0,0,5,9,0,0,false,"",""
131205,5878405,418,0,0,0,1,1,0,0,false,"","나가시겠습니까?"
131206,5857271,398,0,0,0,1,1,0,0,false,"","'공물 구멍'에서 나가시겠습니까?"
131207,5890154,402,0,0,0,1,1,0,0,false,"","'알파 구역'으로 이동하시겠습니까?"
131208,5890159,402,0,0,0,1,1,0,0,false,"","'베타 구역'으로 이동하시겠습니까?"
131209,5890166,402,0,0,0,1,1,0,0,false,"","'베타 구역'으로 이동하시겠습니까?"
131210,5890180,402,0,0,0,1,1,0,0,false,"","'감마 구역'으로 이동하시겠습니까?"
131211,5890183,402,0,0,0,1,1,0,0,false,"","'감마 구역'으로 이동하시겠습니까?"
131212,5890184,402,0,0,0,1,1,0,0,false,"","'델타 구역'으로 이동하시겠습니까?"
131213,5867863,402,0,0,0,1,1,0,0,false,"","'마대륙 중추부'에서 나가시겠습니까?"
131214,5959290,399,0,0,0,1,1,0,0,false,"","'알렉산더 결절점'에서 나가시겠습니까?"
131215,5959290,399,0,0,0,1,1,0,0,false,"","'고르디우스의 매듭'에서 나가시겠습니까?"
131216,6034535,504,592868,0,0,31,1,0,0,false,"대화","'개발실'로 이동하시겠습니까?"
131217,6034570,130,0,0,0,1,1,0,0,false,"개발실에서 나가기","'개발실'에서 나가시겠습니까?"
131218,6045307,399,0,0,0,1,1,0,0,false,"","샛길을 이용해서<br>'저지 드라바니아'로 이동하시겠습니까?"
131219,6215554,132,0,0,0,1,1,0,0,false,"","'쌍사당 막사'에서 나가시겠습니까?"
131220,6235159,399,0,593136,0,32,1,0,0,false,"","'길안내하는 모험가' 앞으로 이동하시겠습니까?"
131221,6236358,399,0,0,0,1,1,0,0,false,"","'알렉산더 결절점'에서 나가시겠습니까?"
131222,6236358,399,0,0,0,1,1,0,0,false,"","'미다스의 매듭'에서 나가시겠습니까?"
131223,6256320,567,0,0,0,1,1,0,0,false,"","'가두리 계류기지'로 이동하시겠습니까?"
131224,6256553,401,0,0,0,1,1,0,0,false,"","'아발라시아 구름바다'로 이동하시겠습니까?"
131225,6256675,568,0,0,0,1,1,0,0,false,"","'레오파드의 방'으로 들어가시겠습니까?"
131226,6256329,567,0,0,0,1,1,0,0,false,"","'레오파드의 방'에서 나가시겠습니까?"
131227,6256327,567,0,0,0,1,1,0,0,false,"","'가두리 섬'으로 이동하시겠습니까?"
131228,6256326,567,0,0,0,1,1,0,0,false,"","'비공정 발착장'으로 이동하시겠습니까?"
131229,5835975,419,0,0,590453,33,1,0,0,false,"'이슈가르드'로 이동","'이슈가르드'로 이동하시겠습니까?<br>이용 요금: 150길"
131230,5835975,419,0,0,590454,33,1,0,0,false,"'이슈가르드'로 이동","'이슈가르드'로 이동하시겠습니까?<br>이용 요금: 150길"
131231,5835975,419,0,0,590455,33,1,0,0,false,"'이슈가르드'로 이동","'이슈가르드'로 이동하시겠습니까?<br>이용 요금: 150길"
131232,4103339,130,0,0,592480,33,1,0,0,false,"'울다하'로 이동","'울다하'로 이동하시겠습니까?<br>이용 요금: 150길"
131233,4103382,132,0,0,592480,33,1,0,0,false,"'그리다니아'로 이동","'그리다니아'로 이동하시겠습니까?<br>이용 요금: 150길"
131234,4103399,128,0,0,592480,33,1,0,0,false,"'림사 로민사'로 이동","'림사 로민사'로 이동하시겠습니까?<br>이용 요금: 150길"
131235,5827477,418,0,0,0,1,1,0,0,false,"","'이슈가르드'로 이동하시겠습니까?"
131236,6385473,153,0,0,0,1,1,0,0,false,"","'망자의 궁전'에서 나가시겠습니까?"
131237,5835975,419,0,0,592480,33,1,0,0,false,"'이슈가르드'로 이동","'이슈가르드'로 이동하시겠습니까?<br>이용 요금: 150길"
131238,5649379,144,0,0,592264,34,1,0,0,false,"'골드 소서'로 이동","'골드 소서'로 이동하시겠습니까?<br>이용 요금: 무료"
131239,6485807,399,0,0,0,1,1,0,0,false,"","'중앙 관제실'에서 나가시겠습니까?"
131240,0,0,0,0,0,0,0,0,0,false,"",""
131241,0,0,0,0,0,0,0,0,0,false,"",""
131242,6485807,399,0,0,0,1,1,0,0,false,"","'중추 대동력실'에서 나가시겠습니까?"
131243,6515006,128,0,0,0,1,1,0,0,false,"","'흑와단 막사'에서 나가시겠습니까?"
131244,6515008,130,0,0,0,1,1,0,0,false,"","'불멸대 막사'에서 나가시겠습니까?"
