Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8],3 [0x3][0x50],4 [0x2][0x59],5 [0x2][0x5a],6 [0x3][0x51],7 [0x3][0x52],8 [0x2][0x5b],9 [0x5][0x28],10 [0x5][0x2a],11 [0x5][0x2c],12 [0x5][0x2e],13 [0x5][0x30],14 [0x5][0x32],15 [0x5][0x34],16 [0x5][0x36],17 [0x5][0x38],18 [0x5][0x3a],19 [0x5][0x3c],20 [0x5][0x3e],21 [0x5][0x40],22 [0x5][0x42],23 [0x3][0x53],24 [0x0][0xc],25 [0x6][0x20],26 [0x6][0x24],27 [0x3][0x54],28 [0x3][0x55],29 [0x2][0x5c],30 [0x5][0x44],31 [0x5][0x46],32 [0x5][0x48],33 [0x5][0x4a],34 [0x5][0x4c],35 [0x5][0x4e],36 [0x3][0x56],37 [0x7][0x10],38 [0x7][0x14],39 [0x7][0x18],40 [0x7][0x1c],41 [0x3][0x57],42 [0x3][0x58]
16,"광부","MIN","광부",32,15,-1,0,0,-1,100,100,100,90,90,90,100,90,100,100,100,100,100,100,16,"Miner",0,0,0,0,127,0,0,0,0,0,0,201,0,0,0,0,1,6
17,"원예가","BTN","원예",32,16,-1,0,0,-1,100,100,90,90,100,100,90,90,100,100,100,100,100,100,17,"Botanist",0,0,0,0,127,0,0,0,0,0,0,202,0,0,0,0,1,6
18,"어부","FSH","어부",32,17,-1,0,0,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,"Fisher",0,0,0,0,127,0,0,0,0,0,0,203,0,0,0,0,1,6
19,"나이트","PLD","나",30,1,-1,8,1,-1,120,60,100,110,95,60,100,85,100,100,100,100,100,100,1,"Paladin",0,0,1,0,0,197,198,199,3359,0,0,51,4542,66591,66656,66596,1,1
20,"몽크","MNK","몽",30,0,-1,9,2,-1,110,45,110,100,105,50,90,65,100,100,100,100,100,100,2,"Monk",0,0,2,0,1,200,201,202,3360,0,0,52,4543,66597,66657,66602,1,3
21,"전사","WAR","전",30,2,-1,10,3,-1,125,40,105,110,95,40,55,45,100,100,100,100,100,100,3,"Warrior",0,0,1,0,2,197,198,4240,3359,0,0,53,4544,66585,66655,66590,1,1
22,"용기사","DRG","용",30,4,-1,11,4,-1,115,50,115,105,100,45,65,75,100,100,100,100,100,100,4,"Dragoon",0,0,2,0,3,200,201,4242,3360,0,0,54,4545,66603,66658,66608,1,3
23,"음유시인","BRD","음",30,3,-1,12,5,-1,105,80,90,100,115,85,80,85,100,100,100,100,100,100,5,"Bard",0,0,3,0,4,4238,4239,4244,4249,0,0,55,4546,66621,66661,66626,1,4
24,"백마도사","WHM","백",31,6,-1,13,6,-1,105,120,55,100,105,105,115,120,100,100,100,100,100,100,6,"White Mage",0,0,4,0,5,206,207,208,3362,0,0,57,4547,66615,66660,66620,1,2
25,"흑마도사","BLM","흑",31,5,-1,14,7,-1,105,125,45,100,100,115,75,120,100,100,100,100,100,100,7,"Black Mage",0,0,3,0,6,203,204,205,3361,0,0,58,4548,66609,66659,66614,1,5
26,"비술사","ACN","비술",31,18,7,15,0,-1,100,110,85,95,95,105,75,100,100,100,100,100,100,100,26,"Arcanist",2142,0,3,1,7,203,204,4246,3361,0,0,9,0,0,0,0,1,5
27,"소환사","SMN","소",31,18,-1,16,8,-1,105,110,90,100,100,115,80,105,100,100,100,100,100,100,26,"Summoner",0,0,3,0,7,203,204,4246,3361,0,0,59,4549,66627,66662,66632,1,5
28,"학자","SCH","학",31,18,-1,17,9,-1,105,115,90,100,100,105,115,120,100,100,100,100,100,100,26,"Scholar",0,0,4,0,7,206,207,4247,3362,0,0,60,4550,66633,66663,66638,1,2
29,"쌍검사","ROG","쌍검",30,19,8,18,0,-1,103,40,80,95,100,60,70,60,100,100,100,100,100,100,29,"Rogue",0,0,2,0,11,200,201,4243,3360,0,0,6,0,0,0,0,1,4
30,"닌자","NIN","닌",30,19,-1,19,10,-1,108,50,85,100,110,65,75,65,100,100,100,100,100,100,29,"Ninja",0,0,2,0,11,200,201,4243,3360,0,0,56,7886,65748,67115,65770,1,4
31,"기공사","MCH","기",30,20,9,20,11,-1,105,80,85,100,115,80,85,85,100,100,100,100,100,100,31,"Machinist",0,0,3,0,-1,4238,4239,4245,4249,0,0,62,8574,67232,0,0,30,4
32,"암흑기사","DRK","암",30,21,10,21,12,-1,120,80,105,110,95,60,40,85,100,100,100,100,100,100,32,"Dark Knight",0,0,1,0,-1,197,198,4241,3359,0,0,61,8839,67589,0,0,30,1
33,"점성술사","AST","점",31,22,11,22,13,-1,105,120,50,100,100,105,115,120,100,100,100,100,100,100,33,"Astrologian",0,0,4,0,-1,206,207,4248,3362,0,0,63,8840,67548,0,0,30,2
