Index,0 [0x5][0x10],1 [0x5][0x12],2 [0x7][0x8],3 [0x7][0xc],4 [0x5][0x14],5 [0x0][0x0],6 [0x0][0x4]
10,60,2089,30030,112154,10,"나무인형 토벌전 - 알렉산더: 율동편급","'알렉산더'가 또다시 움직이기 시작한 것을 우리도 확인했다. 더욱 험난해질 전투에 대비해서 새로운 나무인형을 준비했으니, 실력을 시험해보길 바란다!"
11,60,2089,30034,112155,11,"나무인형 토벌전 - 알렉산더: 율동편(영웅) 1급","너희가 기공성 좌완부 '미다스'에서 펼친 활약을 그린 떠돌이 시인의 노래를 들었다. 이 감동을 표현하고자 새 나무인형을 만들었으니 꼭 한번 때려봐다오!"
12,60,2089,30035,112156,12,"나무인형 토벌전 - 알렉산더: 율동편(영웅) 2급","너희가 기공성 좌완부 '미다스'에서 펼친 활약을 그린 떠돌이 시인의 노래를 들었다. 이 감동을 표현하고자 새 나무인형을 만들었으니 꼭 한번 때려봐다오!"
13,60,2089,30036,112157,13,"나무인형 토벌전 - 알렉산더: 율동편(영웅) 3급","너희가 기공성 좌완부 '미다스'에서 펼친 활약을 그린 떠돌이 시인의 노래를 들었다. 이 감동을 표현하고자 새 나무인형을 만들었으니 꼭 한번 때려봐다오!"
14,60,2089,30037,112158,14,"나무인형 토벌전 - 알렉산더: 율동편(영웅) 4급","너희가 기공성 좌완부 '미다스'에서 펼친 활약을 그린 떠돌이 시인의 노래를 들었다. 이 감동을 표현하고자 새 나무인형을 만들었으니 꼭 한번 때려봐다오!"
15,60,2089,20040,112159,15,"나무인형 토벌전 - 극 니드호그급","성도 '이슈가르드'를 위협하던 사룡의 군세와 치열한 전투를 벌였다는 소문은 이미 온 에오르제아에 퍼졌다. 사룡 '니드호그'를 쓰러뜨린 그 힘을 나무 인형에 마음껏 쏟아부어라!"
16,60,2089,20042,112205,16,"나무인형 토벌전 - 극 여신 소피아급","여신 '소피아'는 어찌어찌 물리쳤다지만, 아직 모든 싸움이 끝나지는 않은 것 같더군. 강화된 나무인형을 상대로 더욱 훈련에 힘써라!"
17,60,2089,30039,112206,17,"나무인형 토벌전 - 알렉산더: 천동편급","드디어 '알렉산더'와의 마지막 결전으로 향한다고 들었다. 그런 너에게 우리가 해줄 수 있는 일은, 더욱 강력한 나무인형을 준비해 결전에 앞선 훈련을 준비하는 것뿐이지…… 부탁한다!"
18,60,2089,30043,112207,18,"나무인형 토벌전 - 알렉산더: 천동편(영웅) 1급","'알렉산더'의 위협을 물리쳐줘서 고맙다! 저지 드라바니아를 위기에서 구해낸 보답으로, 감사의 마음을 담아 최강의 나무인형을 만들어봤다. 꼭 한번 체험해다오!"
19,60,2089,30044,112208,19,"나무인형 토벌전 - 알렉산더: 천동편(영웅) 2급","'알렉산더'의 위협을 물리쳐줘서 고맙다! 저지 드라바니아를 위기에서 구해낸 보답으로, 감사의 마음을 담아 최강의 나무인형을 만들어봤다. 꼭 한번 체험해다오!"
20,60,2089,30045,112209,20,"나무인형 토벌전 - 알렉산더: 천동편(영웅) 3급","'알렉산더'의 위협을 물리쳐줘서 고맙다! 저지 드라바니아를 위기에서 구해낸 보답으로, 감사의 마음을 담아 최강의 나무인형을 만들어봤다. 꼭 한번 체험해다오!"
21,60,2089,30046,112210,21,"나무인형 토벌전 - 알렉산더: 천동편(영웅) 4급","'알렉산더'의 위협을 물리쳐줘서 고맙다! 저지 드라바니아를 위기에서 구해낸 보답으로, 감사의 마음을 담아 최강의 나무인형을 만들어봤다. 꼭 한번 체험해다오!"
