Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x8],3 [0x3][0xc],4 [0x3][0xd],5 [0x3][0xe],6 [0x3][0xf],7 [0x19][0x14],8 [0x1a][0x14],9 [0x1b][0x14],10 [0x1c][0x14],11 [0x1d][0x14],12 [0x1e][0x14],13 [0x1f][0x14],14 [0x20][0x14],15 [0x3][0x10],16 [0x19][0x15],17 [0x3][0x11],18 [0x1a][0x15],19 [0x5][0xa],20 [0x1b][0x15],21 [0x1c][0x15],22 [0x3][0x12],23 [0x3][0x13]
30,"물리 방어력 감소","물리 방어력이 떨어진 상태.",15053,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
31,"회피력 상승","회피력이 올라간 상태.",15062,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
32,"회피력 감소","회피력이 떨어진 상태.",15063,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
33,"마법 공격력 상승","마법 공격력이 올라간 상태.",15054,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
34,"마법 공격력 감소","마법 공격력이 떨어진 상태.",15055,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
35,"마법 회복력 상승","마법 회복력이 올라간 상태.",15058,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
36,"마법 회복력 감소","마법 회복력이 떨어진 상태.",15059,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
37,"마법 방어력 상승","마법 방어력이 올라간 상태.",15056,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
38,"마법 방어력 감소","마법 방어력이 떨어진 상태.",15057,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
39,"기절 무효","기절을 무효화하는 상태.",15566,0,1,16,0,false,false,false,false,false,false,true,true,100,true,0,false,0,false,false,0,0
40,"침묵 무효","침묵을 무효화하는 상태.",15567,0,1,16,0,false,false,false,false,false,false,true,true,100,true,0,false,0,false,false,0,0
41,"제작설비","제작설비의 도움을 받은 상태. 레벨 50 이하 제작자의 CP 최대치가 증가한다.",16107,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
42,"초월하는 힘","자신의 한계를 넘어선 상태. HP 최대치가 증가하고, 적에게 주는 피해량과 회복마법 회복량이 증가한다.",16207,0,1,16,0,false,false,false,false,false,false,true,true,0,true,0,false,0,false,false,0,0
43,"쇠약","몸이 약해져 캐릭터 능력치가 15% 떨어진 상태.",15010,0,2,0,0,false,false,false,false,false,false,false,false,100,true,0,false,0,false,false,0,0
44,"쇠약[강]","몸이 약해져 캐릭터 능력치가 30% 떨어진 상태.",15011,0,2,0,0,false,false,false,false,false,false,false,false,100,true,0,false,0,false,false,0,0
45,"경험치 증가(제작자 전용)","제작자 경험치가 더 잘 오르는 상태.",16106,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
46,"경험치 증가(채집가 전용)","채집가 경험치가 더 잘 오르는 상태.",16006,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
47,"은신","이동 속도가 떨어지는 대신 마물의 공격을 받지 않는 상태.",16001,0,1,16,0,false,false,false,false,false,false,true,true,2,true,0,false,0,false,true,0,0
48,"식사","식사 효과를 받은 상태.",16202,0,1,16,0,false,false,false,false,false,false,false,false,0,false,0,false,0,false,false,0,0
49,"강화약","강화약 효과를 받은 상태.",16203,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
50,"전력 질주","이동 속도가 상승한 상태.",10101,0,1,0,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
51,"힘 감소","힘이 떨어진 상태.",15080,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
52,"활력 감소","활력이 떨어진 상태.",15082,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
53,"물리 공격 피해량 상승","물리 공격으로 주는 피해량이 상승한 상태.",15050,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
54,"물리 공격 피해량 감소","물리 공격으로 주는 피해량이 떨어진 상태.",15051,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
55,"물리 피해 감소","물리 공격으로 받는 피해량이 감소되는 상태.",15052,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
56,"물리 피해 증가","물리 공격으로 받는 피해량이 증가하는 상태.",15053,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
57,"마법 공격 피해량 상승","마법 공격으로 주는 피해량이 상승한 상태.",15054,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
58,"마법 공격 피해량 감소","마법 공격으로 주는 피해량이 떨어진 상태.",15055,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
59,"마법 피해 감소","마법 공격으로 받는 피해량이 감소되는 상태.",15056,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
60,"마법 피해 증가","마법 공격으로 받는 피해량이 증가하는 상태.",15057,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
61,"주는 피해량 상승","적에게 주는 피해량이 상승한 상태.",15519,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
62,"주는 피해량 감소","적에게 주는 피해량이 떨어진 상태.",15520,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
63,"받는 피해 감소","받는 피해량이 감소되는 상태.",15021,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
64,"받는 피해 증가","받는 피해량이 증가하는 상태.",15020,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
65,"무기 기술 강화: 극대화","무기 기술을 사용하면 반드시 극대화가 발생하는 상태.",15016,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
66,"공포","공포에 빠져 행동이 불가능한 상태.",15516,0,2,18,0,true,false,true,false,false,false,false,false,100,true,0,false,0,false,false,0,0
67,"과중력[강]","이동 속도가 느려진 상태.",15518,0,2,4,126,false,false,false,false,false,false,true,true,100,true,1,false,0,false,false,0,0
68,"자동 공격 강화: HP 흡수","자동 공격 시 HP를 흡수하는 상태.",15504,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
69,"자동 공격 강화: TP 흡수","자동 공격 시 TP를 흡수하는 상태.",15505,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
70,"자동 공격 강화: 기절","자동 공격 시 일정 확률로 대상을 기절시키는 상태.",15506,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
71,"철벽 방어","받는 피해량이 일부 감소되는 상태.",10152,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
72,"재활","자신이 받는 회복마법의 HP 회복 효과가 상승하는 상태.",10157,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
73,"경각심","적에게 극대화 공격을 받지 않는 상태.",10154,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
74,"경계","받는 피해량이 일부 감소되는 상태.",10151,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
75,"강철의 의지","적의 밀쳐내기와 끌어당기기를 무효화하는 상태.",10153,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
76,"임전무퇴","물리 공격 피해량이 상승한 상태.",10155,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
77,"방패 각성","방패 막기 발동률이 올라간 상태.",10156,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
78,"충의의 검","자동 공격에 추가 피해가 부여된 상태.",12505,0,1,16,0,false,false,false,false,false,false,true,true,0,true,0,true,0,false,false,0,0
79,"충의의 방패","받는 피해량이 감소하고 명중률이 향상되며, 자신을 향한 적의 적개심이 상승하는 대신 적에게 주는 피해량이 떨어진 상태.",12506,0,1,16,0,false,false,false,false,false,false,true,true,0,true,0,true,0,false,false,0,0
80,"감싸기","특정 파티원을 보호하며 피해를 대신 받는 상태.",12501,0,1,16,0,false,false,false,false,false,false,false,false,100,true,0,true,0,false,false,0,0
81,"감싸기 대상","특정 파티원에게 보호받는 상태.",12502,0,1,16,0,false,false,false,false,false,false,false,false,100,true,0,true,0,false,false,0,0
82,"천하무적","일부를 제외한 모든 피해를 무효화하는 상태.",12504,0,1,16,0,false,false,false,false,false,false,false,false,70,true,0,false,0,false,false,0,0
83,"예지력","물리 방어력이 올라간 상태.",10252,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
84,"피의 갈증","물리 공격에 HP 흡수 효과가 부여된 상태.",10251,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
85,"관절 파괴","적에게 주는 피해량이 상승한 상태.",10262,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
86,"광폭화","물리 공격력이 올라간 상태. 효과가 끝날 때 자신에게 짧은 시간 '무기 기술 사용불가' 상태가 걸린다.",10253,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
87,"전투의 짜릿함","HP 최대치가 증가한 상태.",10254,0,1,16,0,false,false,false,false,false,false,false,false,5,true,0,false,0,false,false,0,0
88,"일대일 결투","이동이 불가능한 상태. 피해를 받아도 효과가 해제되지 않는다.",10255,0,2,17,0,true,false,false,false,false,false,false,false,100,true,0,false,0,false,false,0,0
89,"보복","물리 공격을 받으면 적에게 반격 피해를 주는 상태.",10256,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
90,"폭풍의 눈","베기 저항 및 회복마법으로 받는 HP 회복 효과가 떨어진 상태.<br>※ PvP 지역에서는 회복량 감소 효과 무효",10263,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
91,"수비 태세","HP 최대치 증가, 명중률 및 자신에게 사용되는 회복마법의 HP 회복 효과 향상, 자신을 향한 적의 적개심이 상승하는 대신 적에게 주는 피해량이 떨어진 상태. 효과 적용 중 특정 기술을 사용하면 '격노' 효과를 받는다.",12551,0,1,16,0,false,false,false,false,false,false,true,true,0,true,0,true,0,false,false,0,0
92,"힘의 해방","수비 태세로 인한 적에게 주는 피해량 감소 페널티가 무효화된 상태.",12552,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
93,"격노","받아넘기기 발동률이 올라간 상태.",10257,0,1,16,139,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
94,"격노 2","받아넘기기 발동률이 올라간 상태.",10258,0,1,16,139,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
95,"격노 3","받아넘기기 발동률이 올라간 상태.",10259,0,1,16,139,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
96,"격노 4","받아넘기기 발동률이 올라간 상태.",10260,0,1,16,139,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
97,"격노 5","받아넘기기 발동률이 올라간 상태.",10261,0,1,16,139,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
98,"쌍룡각","타격 저항과 지능이 떨어진 상태.",10215,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
99,"새털 걸음","회피율이 올라간 상태.",10201,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
100,"발경","극대화 발동률이 올라간 상태.",10204,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
101,"쌍장타","적에게 주는 피해량이 상승한 상태.",10216,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
102,"만트라","받는 회복마법의 HP 회복 효과가 상승하는 상태.",10206,0,1,16,0,false,false,false,false,false,false,false,false,5,true,0,false,0,false,false,0,0
103,"홍련 태세","적에게 주는 피해량이 올라간 상태.",10202,0,1,16,0,false,false,false,false,false,false,true,true,0,true,0,true,528,false,false,0,0
104,"금강 태세","받는 피해량이 일부 감소되는 상태.",10203,0,1,16,0,false,false,false,false,false,false,true,true,0,true,0,true,528,false,false,0,0
105,"질풍 태세","이동 속도가 상승한 상태.",12526,0,1,16,0,false,false,false,false,false,false,true,true,0,true,0,true,528,false,false,0,0
106,"혈도 찌르기","HP가 서서히 줄어드는 상태.",10211,0,2,17,0,false,false,false,false,false,false,false,false,10,true,0,false,0,false,false,0,0
107,"원숭이 품새","첫 번째 품새인 원숭이 품새를 취한 상태.",10212,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,true,528,false,false,0,0
108,"용 품새","두 번째 품새인 용 품새를 취한 상태.",10213,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,true,528,false,false,0,0
109,"호랑이 품새","세 번째 품새인 호랑이 품새를 취한 상태.",10214,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,true,528,false,false,0,0
110,"진각","품새 관계 없이 모든 기술을 사용할 수 있는 상태.",10217,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,true,528,false,false,0,0
111,"질풍번개","적에게 주는 피해량이 증가하고, 자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 줄어든 상태.",10207,0,1,16,146,false,false,false,false,false,false,false,false,0,true,0,true,0,false,false,0,0
112,"질풍번개 2","적에게 주는 피해량이 증가하고, 자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 줄어든 상태.",10208,0,1,16,147,false,false,false,false,false,false,false,false,0,true,0,true,0,false,false,0,0
113,"질풍번개 3","적에게 주는 피해량이 증가하고, 자동 공격 주기, 무기 기술 및 마법 시전 시간과 재사용 대기 시간이 줄어든 상태.",10209,0,1,16,148,false,false,false,false,false,false,false,false,0,true,0,true,0,false,false,0,0
114,"날카로운 돌풍","받아넘기기 발동률이 올라간 상태.",10301,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
115,"겹찌르기","적에게 주는 피해량이 상승한 상태.",10306,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
116,"생명력 쇄도","다음에 사용하는 무기 기술이 반드시 극대화되며, 이때 적에게 준 피해량과 같은 양의 HP를 회복한다.",10302,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
117,"필사의 각오","적에게 주는 피해량이 상승하는 대신 받는 피해량도 증가하는 상태.",10304,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
118,"꽃잎 폭풍","HP가 서서히 줄어드는 상태.",10307,0,2,17,0,false,false,false,false,false,false,false,false,10,true,0,false,0,false,false,0,0
119,"이단 찌르기","HP가 서서히 줄어드는 상태.",10305,0,2,17,0,false,false,false,false,false,false,false,false,10,true,0,false,0,false,false,0,0
120,"용의 창","다음 '점프' 또는 '척추 강타'가 적에게 주는 피해량이 상승하는 상태.",10303,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
121,"몸통 가르기","찌르기 저항이 떨어진 상태.",12576,0,2,17,0,false,false,false,false,false,false,false,false,50,true,0,false,0,false,false,0,0
122,"직선 사격 효과 향상","다음에 사용하는 직선 사격이 반드시 극대화되는 상태.",10365,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
123,"매의 눈","민첩성이 상승하고, 모든 공격이 반드시 명중하는 상태.",10351,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
124,"독화살","독에 중독되어 HP가 서서히 줄어드는 상태.",10352,0,2,1,0,false,false,false,false,false,false,false,false,10,true,0,false,0,false,false,0,0
125,"용맹한 사격","적에게 주는 피해량이 올라간 상태.",10354,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
126,"물리 피해 증가","물리 공격으로 받는 피해량이 증가하는 상태.",18001,8,2,17,0,false,false,false,false,false,false,false,false,100,true,0,false,0,false,false,0,0
127,"고요한 사격","적개심 상승이 억제된 상태.",10355,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
128,"마구 쏘기","다음에 사용하는 무기 기술의 공격 횟수가 증가하는 상태.",10356,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
129,"바람 화살","바람속성 피해로 HP가 서서히 줄어드는 상태.",10360,0,2,17,0,false,false,false,false,false,false,false,false,10,true,0,false,0,false,false,0,0
130,"직선 사격","극대화율이 올라간 상태.",10361,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
131,"죽음의 화살비 효과 향상","다음에 사용하는 죽음의 화살비를 TP 소비 없이 실행할 수 있는 상태.",12607,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
132,"재빠른 활시위 효과 향상","다음에 사용하는 재빠른 활시위를 TP 소비 없이 실행할 수 있는 상태.",10362,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
133,"질주의 노래","이동 속도가 상승한 상태. 일정 범위 내 파티원에게도 같은 효과가 부여된다. 전투에 들어가면 효과 종료.",10358,0,1,16,0,false,false,false,false,false,false,true,true,1,true,0,true,0,false,false,0,0
134,"질주의 노래","이동 속도가 상승한 상태. 전투에 들어가면 효과 종료.",10357,0,1,16,0,false,false,false,false,false,false,false,true,0,true,0,true,0,false,false,0,0
135,"현자의 담시곡","일정 범위 내 파티원의 MP를 지속적으로 회복시키는 상태. 자신은 적에게 주는 피해량이 떨어지고 지속적으로 MP를 소모한다.",12603,0,1,16,0,false,false,false,false,false,false,true,true,1,true,0,true,0,false,false,0,0
136,"현자의 담시곡","MP가 서서히 회복되는 상태.",12602,0,1,16,0,false,false,false,false,false,false,false,true,0,true,0,true,0,false,false,0,0
137,"군신의 찬가","일정 범위 내 파티원의 TP를 지속적으로 회복시키는 상태. 자신은 적에게 주는 피해량이 떨어지고 지속적으로 MP를 소모한다.",12605,0,1,16,0,false,false,false,false,false,false,true,true,1,true,0,true,0,false,false,0,0
138,"군신의 찬가","TP가 서서히 회복되는 상태.",12604,0,1,16,0,false,false,false,false,false,false,false,true,0,true,0,true,0,false,false,0,0
139,"마인의 진혼곡","주위에 있는 적의 모든 마법 저항을 떨어뜨리는 상태. 자신은 지속적으로 MP를 소모한다.",12606,0,1,16,0,false,false,false,false,false,false,true,true,0,true,0,true,0,false,false,0,0
140,"마인의 진혼곡","모든 마법 저항이 떨어진 상태.",12608,0,2,17,0,false,false,false,false,false,false,false,true,50,true,0,true,0,false,false,0,0
141,"전장의 노래","파티원 및 적에 대한 노래의 효과가 상승한 상태. (질주의 노래 제외)",12601,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
143,"에어로","바람속성 피해로 HP가 서서히 줄어드는 상태.",10403,0,2,17,0,false,false,false,false,false,false,false,false,10,true,0,false,0,false,false,0,0
144,"에어로라","바람속성 피해로 HP가 서서히 줄어드는 상태.",10409,0,2,17,0,false,false,false,false,false,false,false,false,10,true,0,false,0,false,false,0,0
145,"성전 태세","자신의 지능과 정신력 수치를 교환하고, 공격마법 피해량이 상승하는 대신 회복마법 회복량이 떨어진 상태.",10402,0,1,16,0,false,false,false,false,false,false,true,true,0,true,0,true,0,false,false,0,0
146,"프로테스","물리 방어력과 마법 방어력이 올라간 상태.",10405,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
147,"프로테스","물리 방어력과 마법 방어력이 올라간 상태.",10405,0,1,16,0,false,false,false,false,false,false,false,false,1,true,0,false,0,false,false,0,0
148,"부활","부활 마법을 받은 상태.",10406,0,1,16,0,false,false,false,false,false,false,false,false,100,true,0,false,0,false,false,0,0
149,"기절","행동이 불가능한 상태.",15004,0,2,3,0,true,false,true,false,false,false,false,false,100,true,0,false,0,false,false,0,0
150,"메디카라","지속적으로 HP가 회복되는 상태.",10413,0,1,16,0,false,false,false,false,false,false,false,false,5,true,0,false,0,false,false,0,0
151,"스톤스킨","일정량의 피해를 무효화하는 상태.",10401,0,1,16,0,false,false,false,false,false,false,false,false,30,true,0,false,0,false,false,0,12
152,"스톤스킨(물리 공격)","일정량의 물리 피해를 무효화하는 상태.",15041,0,1,16,0,false,false,false,false,false,false,true,true,30,true,0,false,0,false,false,0,12
153,"스톤스킨(마법 공격)","일정량의 마법 피해를 무효화하는 상태.",15042,0,1,16,0,false,false,false,false,false,false,true,true,30,true,0,false,0,false,false,0,12
154,"여신의 가호","MP가 서서히 회복되는 상태.",10408,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
155,"케알라 효과 향상","다음에 시전하는 케알라의 소비 MP가 0이 된 상태.",10410,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
156,"케알가 효과 향상","다음에 시전하는 케알가의 소비 MP가 절반으로 줄어든 상태.",10411,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
157,"쾌속의 마법","자동 공격 주기, 마법 시전 시간 및 재사용 대기 시간이 줄어든 상태.",12627,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
158,"리제네","지속적으로 HP가 회복되는 상태.",12626,0,1,16,0,false,false,false,false,false,false,false,false,5,true,0,false,0,false,false,0,0
159,"신성한 문장","회복마법 회복량이 증가한 상태.",10407,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
160,"견고한 마법","시전 중 피해를 받아도 시전이 취소되지 않는 상태.",10452,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
161,"선더","번개속성 피해로 HP가 서서히 줄어드는 상태.",10457,0,2,17,0,false,false,false,false,false,false,false,false,10,true,0,false,0,false,false,0,0
162,"선더라","번개속성 피해로 HP가 서서히 줄어드는 상태.",10458,0,2,17,0,false,false,false,false,false,false,false,false,10,true,0,false,0,false,false,0,0
163,"선더가","번개속성 피해로 HP가 서서히 줄어드는 상태.",10459,0,2,17,0,false,false,false,false,false,false,false,false,10,true,0,false,0,false,false,0,0
164,"선더 계열 마법 효과 향상","다음에 시전하는 선더, 선더라, 선더가의 시전 시간과 소비 MP가 0이 되고, 적에게 명중하면 기본 피해량과 함께 총 지속 피해량을 일시에 주는 상태.",10461,0,1,16,0,false,false,false,false,false,false,false,false,0,true,0,false,0,false,false,0,0
