Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8],3 [0x0][0xc],4 [0x0][0x10],5 [0x3][0x14],6 [0x3][0x15],7 [0x3][0x16],8 [0x19][0x18],9 [0x1a][0x18],10 [0x1b][0x18],11 [0x1c][0x18],12 [0x1d][0x18],13 [0x3][0x17]
12,"꼬마 친구 '몰볼 묘목'을 불러낸다.<br>어린 몰볼. 입에서 오래 신은 장화 냄새가 난다.","금빛 골짜기에서 사로잡은 어린 몰볼. 입에서 오래 신은 장화 냄새가 난다. 입 냄새를 맡으면 식욕이 뚝 떨어지기 때문에, 살이 쪄서 걱정하는 울다하 부유층 중에는 일부러 집에서 기르는 사람도 있다고 한다.","꺼~억…","고약한 입 냄새","20초 동안 범위 안에 있는 적에게 초당 10씩 지속 피해를 줍니다.",40,75,1,true,true,true,true,false,1
13,"꼬마 친구 '꼬마 청설모'를 불러낸다.<br>어린 청설모. 꼬리를 바짝 세워라!","울다하계 상인이 '귀여운 아기 다람쥐'라면서 팔던 어린 마수. 하지만 털이 풍성해야 할 꼬리가 아무리 봐도 허전하다. 설마 쥐는 아니겠지 하는 의혹이 들지만 진상은 아무도 모른다.","찍찍, 찌익","역병","6초 동안 범위 안에 있는 적의 방어력을 25% 감소시킵니다.",25,45,3,false,false,false,false,false,4
14,"꼬마 친구 '애송이버섯'을 불러낸다.<br>어린 버섯. 식감이 쫄깃해 인기가 높다.","애송이버섯. 식감이 쫄깃해 인기가 높다. 참고로 '대 에오르제아 박물지'에 따르면, 이 버섯의 포자를 들이마실 경우 몸속에서 싹 튼 버섯에 뇌를 조종당해 '인간 화분'이 되는 경우가 있다고 한다.","쫄깃쫄깃!","독 포자","범위 안에 있는 적에게 공격력 80만큼 피해를 주고 6초 동안 방어력을 13% 감소시킵니다.",50,25,2,false,true,false,true,false,1
15,"꼬마 친구 '벼룩모기 유충'을 불러낸다.<br>벼룩모기의 애벌레. 피의 계약을 맺고 싶은 듯하다.","벼룩모기의 애벌레. 피의 계약을 맺고 싶은 듯하다. 과거에 검은장막 숲에 존재했던 지하도시 '겔모라'에서는, 환자의 몸에서 독기를 빼낸다는 명목으로 일부러 벼룩모기에게 피를 빨리게 하는 민간요법이 있었다고 한다.","부~웅…","흡혈","10초 동안 특수기 포인트를 사용한 꼬마 친구의 공격력을 60 향상시킵니다.",35,30,3,false,true,false,false,false,3
16,"꼬마 친구 '파랑새'를 불러낸다.<br>작은 파랑새. 행운을 가져다준다고 한다.","행운을 가져다준다는 어린 파랑새. 보통 나무 위에 둥지를 틀지만, 드물게 인간이 놓아둔 상자에 둥지를 트는 경우가 있다. 그래서 버려진 보물상자에서 발견되는 경우도 있어 '뜻밖의 보물', '행운'의 상징이 되었다.","짹짹짹짹…","파랑새","범위 안에 있는 적에게 공격력 90만큼 피해를 줍니다.",45,35,4,false,false,false,false,false,1
17,"꼬마 친구 '꼬마 영양'을 불러낸다.<br>어린 영양. 태어나자마자 혼자 힘으로 일어섰다.","어린 영양. 육식 동물을 피하기 위해 태어나자마자 바로 일어설 줄 안다. 가느다란 다리를 벌벌 떨면서 일어선 순간, 사냥꾼에게 붙잡혀 상인 로웨나에게 팔렸다. 그래서 사랑에 목말라 있다.","큐웃?","순수한 눈망울","5초 동안 범위 안에 있는 아군이 '마물' 유형의 공격에 피해를 받지 않게 합니다.",55,40,4,false,true,false,false,false,3
18,"꼬마 친구 '아기 임프'를 불러낸다.<br>어린 임프. 일곱 지옥의 마왕이 될 그날을 꿈꾼다.","어린 임프. 이계 '보이드'에서 태어났지만, 어쩌다가 '틈새'에 떨어져 에오르제아로 굴러들어왔다. 에오르제아에서 못된 장난을 반복하여 실력을 기른 후 '일곱 지옥의 마왕'이 되어 이계로 개선할 날을 꿈꾸고 있다.","으케케케!","작은 요마의 장난","범위 안에 있는 적에게 공격력 90만큼 피해를 줍니다.",75,45,3,false,false,true,false,false,1
19,"꼬마 친구 '꼬마 커얼'을 불러낸다.<br>어린 커얼. 아직 수염은 나지 않았다.","도도한 어린 커얼. 사냥개에게 쫓기던 자신을 구해준 모험가를 어미로 착각하고 있다. 아직 어려서 수염도 안 났지만, 모험가를 해치려는 자에게는 무자비한 커얼 펀치를 날린다.","으르르릉…","꼬마 블래스터","범위 안에 있는 적에게 공격력 230만큼 피해를 줍니다.",50,25,4,false,false,true,false,false,1
20,"꼬마 친구 '검은 커얼'을 불러낸다.<br>어린 커얼. 털 색깔이 검은 변종","어린 커얼. 커얼은 보통 몸에 검은 반점이 있지만, 드물게 몸 전체가 새까만 개체가 태어난다고 한다. 윤기 흐르는 아름다운 털과 높은 마력을 지녔으며, 어리지만 벌써부터 강자의 위엄을 드러내고 있다.","으르르르릉…","작은 발톱","가장 가까운 적군 비전석에 5%의 피해를 줍니다.",60,40,4,false,false,true,false,false,8
21,"꼬마 친구 '힐디 인형'을 불러낸다.<br>사건해결사 힐디브랜드의 모습을 본뜬 마법인형. 조수 인형 포함!","대담하고 지적인 사건해결사 힐디브랜드의 모습을 본뜬 마법인형. 에오르제아 최강의 보석공예가가 하늘나라로 떠난 아들을 추억하며 정열적으로 제작했다. 작동 원리는 알 수 없으나, 조수 나슈의 인형도 포함되어 있다.","힐디이이이브랜드!","신사의 추리","20초 동안 범위 안에 있는 아군의 공격력과 방어력을 40 향상시킵니다. 단, 효과가 끝나면 특수기 포인트를 사용한 꼬마 친구는 귀환됩니다.",90,75,4,false,true,true,false,false,3
22,"꼬마 친구 '자갈 골렘'을 불러낸다.<br>골렘의 모습을 본뜬 마법인형. 의외로 부드럽다.","골렘의 모습을 본뜬 마법인형. 제5성력 말기에 만들어진 돌인형을 참고하여 만들었지만 작동 원리는 전혀 딴판으로, 내부 구조는 평범한 인형과 거의 같다. 참고로 껍데기는 단단해보이지만 의외로 부드럽다.","고고고고고…","자갈스킨","10초 동안 특수기 포인트를 사용한 꼬마 친구의 방어력을 40 향상시킵니다.",60,40,2,false,true,true,false,false,3
23,"꼬마 친구 '톤베리 인형'을 불러낸다.<br>톤베리의 모습을 본뜬 마법인형. 원한이 담겨있을지도?","톤베리의 모습을 본뜬 마법인형. 언뜻 보면 귀엽지만, 실은 강력한 원한을 담아 만들어졌다. 그래서 주인이 깊은 잠에 빠지면 몰래 식칼로 옆구리를 쑤시지만, 식칼도 천으로 되어 있어 하나도 위험하지 않다.","…………","모두의 원한","20초 동안 범위 안에 있는 아군의 공격력과 방어력을 40 향상시킵니다. 단, 효과가 끝나면 특수기 포인트를 사용한 꼬마 친구는 귀환됩니다.",45,35,4,true,true,false,false,false,3
24,"꼬마 친구 '꼬마 금강거북'을 불러낸다.<br>어린 금강거북. 언젠가 현자가 될지도 모른다.","소금기둥 해변에서 태어난 어린 금강거북. 주인님을 따라가고 싶은 마음은 굴뚝 같지만, 걷는 게 귀찮아서 어느새 몸을 회전시켜 이동하는 기술을 발명했다. 언젠가 현자가 될지도 모른다.","거부우우욱~!","꼬마 발구르기","6초 동안 범위 안에 있는 적의 방어력을 25% 감소시킵니다.",40,60,3,false,false,false,false,false,4
25,"꼬마 친구 '아기 랍토르'를 불러낸다.<br>인공 부화시킨 어린 랍토르. 깨무는 장난을 좋아한다.","인공 부화시킨 어린 랍토르. 고블린족이 랍토르를 가축으로 기른다는 걸 듣고 가지무덤 마을 상인이 시험 삼아 번식시켰다. 이대로 자라면 믿음직한 파트너가 될지도 모른다. 살짝 깨무는 게 주특기.","깨물깨물…","태고의 생명","10초 동안 특수기 포인트를 사용한 꼬마 친구가 '인형' 유형의 공격에 피해를 받지 않게 합니다.",45,25,4,false,true,false,false,false,3
26,"꼬마 친구 '아기 박쥐'를 불러낸다.<br>작은 박쥐. 데리고 다니면 흡혈귀가 된 기분을 느낄 수 있다.","메메룬 교역 상점의 상인 노노룬이 팔던 작은 박쥐. '갓 잡은 신선하고 맛있는 박쥐'라지만 전혀 맛있어보이지 않는다. 데리고 다니면 흡혈귀가 된 기분을 느낄 수 있다.","끼익, 끼익","초음파","20초 동안 범위 안에 있는 적에게 초당 10씩 지속 피해를 줍니다.",25,40,4,false,true,false,false,false,1
27,"꼬마 친구 '꼬마 묘목'을 불러낸다.<br>작은 묘목. 결코 나무정령이 아니다.","구근 같은 모습을 하고 있어서 '묘목'이라고 불리는 초목강 마물. 비옥하고 햇빛이 잘 드는 곳을 찾아서 뿌리를 발처럼 움직여 이동한다. 가끔씩 하수구나 버려진 상자 등에 빠져 탈출하지 못하는 경우가 있다.","바삭바삭…","씨뿌리기","10초 후 발동할 수 있는 함정을 설치합니다. 함정을 발동시키면 범위 안에 있는 적에게 공격력 260만큼 피해를 줍니다.",80,40,2,false,true,false,true,false,2
28,"꼬마 친구 '먼지토끼'를 불러낸다.<br>어린 스프리건. 부드러운 보석을 특히 좋아한다.","어린 스프리건. 아직 이빨이 다 나지 않아 딱딱한 광석을 먹지 못하고 자갈이나 돌멩이를 파내서 먹는다. '먼지토끼'라는 이름은 먼지 투성이가 되어 폐광석을 뒤지는 모습을 보고 붙여진 애칭. 부드러운 보석을 특히 좋아한다.","보서서서석…","천방지축","범위 안에 있는 적에게 공격력 90만큼 피해를 줍니다.",50,30,4,false,true,true,false,false,1
29,"꼬마 친구 '둘라한 인형'을 불러낸다.<br>둘라한의 모습을 본뜬 마법인형. 작은 몸으로 커다란 검을 휘두른다.","요마 '둘라한'의 모습을 본뜬 마법인형. 본래 둘라한은 형태가 없는 존재로, 판금 갑옷에 빙의함으로써 물질계에서 활동한다. 하지만 이 인형 속에는 기계 장치가 꽉 차 있다. 내용물이 안 보이게 투구로 가리고 있다.","철컹철컹…","방황하지 않는 갑옷","10초 후 발동할 수 있는 함정을 설치합니다. 함정을 발동시키면 범위 안에 있는 적에게 공격력 180만큼 피해를 줍니다.",30,55,2,true,false,true,false,false,2
30,"꼬마 친구 '왕올챙이'를 불러낸다.<br>왕두꺼비의 올챙이. 빨리 어른이 되고 싶다…","다날란의 물가에서 낚인 왕두꺼비의 올챙이. 조만간 다리도 나고 늠름한 왕두꺼비가 될 것이다. 그때 가서 너무 컸다고 내다 버리면 주변에 살던 사람들이 차례차례 실종될 테니 책임지고 기르자.","참방참방","미끌미끌 점막","15초 동안 범위 안에 있는 적의 공격력을 50% 감소시킵니다.",50,40,4,false,true,false,false,false,4
31,"꼬마 친구 '통통푸크'를 불러낸다.<br>어린 푸크. 푸둥푸둥한 배가 귀엽다.","어린 푸크. 커르다스 지방에서 날뛰는 외눈족 '스테로페스'의 간식거리가 될 뻔했으나 모험가가 구해주었다. 이 은혜는 결코 잊지 않을 것이다. 커서 야생의 본능에 눈뜨기 전까지는……","허둥지둥…","야생의 각성","15초 동안 범위 안에 있는 적에게 '마물' 유형 약점을 추가합니다.",50,30,2,false,true,true,false,false,4
32,"꼬마 친구 '꼬마 물소'를 불러낸다.<br>물소의 송아지. 육질이 부드럽고 맛있어보인다.","물소의 송아지. 모래의 집 창고 구석에서 몰래 살고 있었는데 이사할 때 발견되었다. 누가 기르던 건지 알 수 없어 모험가가 거두게 되었다. 육질이 부드럽고 맛있어보인다.","음메~!","소의 분노","15초 동안 특수기 포인트를 사용한 꼬마 친구의 공격력을 40 향상시킵니다.",35,25,3,false,false,false,true,false,3
33,"꼬마 친구 '미니텐더'를 불러낸다.<br>어린 사보텐더. 아직 바늘은 쏠 줄 모른다.","어린 사보텐더. 좀비 청년 '하브'는 선인장 1호와 선인장 2호 사이에 태어난 아이로 여기고 있다. 하지만 사실은 선인장 3호와 선인장 2호가 과거에 저지른 '불장난'의 결과물이라는 사실은 아무도 모른다.","!? ","폭주","10초 동안 특수기 포인트를 사용한 꼬마 친구의 이동 속도를 30% 향상시킵니다.",30,45,4,false,false,false,false,false,3
34,"꼬마 친구 '아기 게'를 불러낸다.<br>어린 돌딱지게. 당신을 위해 오늘도 달린다.","어린 돌딱지게. 핏빛해안 해변에서 바위에 붙어 쉬다가 마물을 퇴치하던 모험가의 발에 밟혀 기절했다. 그 후 전리품으로 회수되어 길러지게 되었다. 당신을 위해 오늘도 달린다.","스사사삭…","작은 집게","범위 안에 있는 적군에게 걸린 모든 강화 효과를 해제합니다.",30,35,2,false,true,false,true,false,6
35,"꼬마 친구 '아기 늑대'를 불러낸다.<br>어린 늑대. '칠흑의 늑대'라고 불러주면 좋아한다.","모험가가 구출한 어린 늑대. 군용 늑대로 사육, 훈련된 혈통을 물려받아, 당당하면서도 충성스러운 든든한 동료가 되어준다. 싸움터에 나서면 있는 힘껏 싸워줄 것이다. 언젠가 '칠흑의 늑대'라고 불리는 게 소망.","아우우우!","만월의 분노","6초 동안 범위 안에 있는 아군의 공격력을 20 향상시킵니다. 아군이 '동물' 유형일 경우 공격력을 40 향상시킵니다.",65,30,4,false,false,false,false,false,3
36,"꼬마 친구 '꼬마 눈알'을 불러낸다.<br>어린 아리만. 시선이 신경 쓰여 잠을 잘 수가 없다.","요마 '아리만'의 어린 개체. 한 요마학자의 연구에 따르면 아리만의 아기는 눈물에서 생긴다고 하나, 아직 그 순간을 확인한 사람은 없다고 한다. 항상 이쪽을 지그시 쳐다보기 때문에, 데리고 다니면 시선이 신경 쓰여 밤에도 잠을 잘 수가 없다.","찌릿…","아이즈 온 미","범위 안에 있는 적에게 공격력 230만큼 피해를 줍니다.",30,30,3,false,true,true,false,false,1
37,"꼬마 친구 '꼬마 도도'를 불러낸다.<br>어린 도도. 독샘을 제거했기 때문에 안전하다.","마즐라야 섬 원산의 어린 도도. 독샘을 제거했기 때문에 독 숨결은 못 쓴다. 통통하게 살찌워 구워 먹어도 좋고, 알을 낳게 해서 부쳐 먹어도 좋다. 다 크기도 전에 벌써부터 군침이 돈다.","도도도도도…","둥지 짓기","파괴된 방어막을 복구합니다.",60,55,3,false,true,false,false,false,9
38,"꼬마 친구 '코브란 유충'을 불러낸다.<br>어린 코브란. 한때 남획되었다고 한다.","어린 코브란. 껍데기를 성장시키기 위해 암석에 오랫동안 달라붙어 소화액을 분비하며 천천히 녹여 먹는다. 이 생태 때문에 코브란이 서식하는 지역에서는 간혹 채굴장에서 어린 개체가 나오기도 한다.","사각서걱 사각서걱","경질화","6초 동안 범위 안에 있는 아군의 방어력을 10 향상시킵니다. 아군이 '마물' 유형일 경우 방어력을 30 향상시킵니다.",50,30,2,true,false,false,true,false,3
39,"꼬마 친구 '큰뿔염소 인형'을 불러낸다.<br>큰뿔염소의 모습을 본뜬 마법인형. 복슬복슬하다.","큰뿔염소의 모습을 본뜬 마법인형. 커르다스 민화에서는 악마의 상징으로 그려지지만, 사막 부족은 부의 상징으로 여기고 있다. 그래서 자식이 태어나면 부자가 되기를 기원하며 큰뿔염소 인형을 선물하는 풍습이 있다.","폭신폭신…","폭신폭신","범위 안에 있는 아군에게 걸린 모든 약화 효과를 해제합니다.",30,50,2,false,true,true,true,false,6
40,"꼬마 친구 '꼬마 아프칼루'를 불러낸다.<br>어린 아프칼루. 큰 물고기를 주지 않아도 따라온다.","어린 아프칼루. 모험가의 위업을 기리기 위해 밀리스와 조나서스가 마련한 선물이다. 밀리스와 모험가가 처음 만난 '아프칼루 폭포'에서 비롯된 선택이지만, 당사자에게는 남의 일일 뿐이다.","찰박찰박찰박…","찰박찰박 걸음마","12초 동안 특수기 포인트를 사용한 꼬마 친구의 자동 공격을 범위 공격으로 만듭니다.",80,70,2,false,false,false,false,false,3
41,"꼬마 친구 '새싹 구부'를 불러낸다.<br>어린 구부. 먹이값이 어마어마하게 든다고 한다.","어린 구부. 아직 많이 크지 않아서 정수리에 난 식물도 아직 새싹이다. 대식가로 알려진 마물인만큼 충분한 크기로 성장시키려면 엄청난 양의 먹이가 필요하다. 먹이값도 어마어마하다게 든다고 한다.","흐아아암…","재채기","적이 설치한 함정을 해제합니다.",55,40,3,true,false,false,false,false,6
42,"꼬마 친구 '미니 푸딩'을 불러낸다.<br>작은 푸딩. 조상은 까맸다는 소문이 있다.","작은 푸딩. 푸딩은 스스로 분열하여 수를 불린다. 상자에 넣어두면 어느새 안에 꽉 차 있기도. 조상들은 보라색이 아니라 검은색이었다는 소문이 있다.","푸딩푸딩","말랑말랑","10초 동안 특수기 포인트를 사용한 꼬마 친구가 '인형' 유형의 공격에 피해를 받지 않게 합니다.",30,40,2,false,true,true,false,false,3
43,"꼬마 친구 '마도 뱅가드 추종형'을 불러낸다.<br>실물 대비 1/9 크기 모델. 제국 병사는 제품에 포함되지 않습니다.","보석공예가 길드가 야심차게 내놓은 길드마스터급 시리즈 제1탄. 갈레말 제국군의 무인 마도 아머 '뱅가드'를 1/9 스케일로 충실하게 재현했다. 제국 병사는 이 키트에 포함되지 않습니다.","위잉… 철컹…","과충전","범위 안에 있는 아군의 특수기 포인트를 10 증가시킵니다. 단, 효과가 같은 특수기를 가진 꼬마 친구에게는 무효입니다.",35,50,3,false,false,true,false,false,3
44,"꼬마 친구 '악마의 벽돌'을 불러낸다.<br>마법의 벽돌. 고대의 견습 요술사가 만든 습작.","마법 장치로 움직이는 기묘한 벽돌. 고대 암다포르의 견습 요술사들이 만든 습작으로 보인다. 이런 작은 벽돌로 꾸준히 수행을 쌓으면, 이윽고 벽 전체를 뒤덮는 거대한 '악마의 벽'을 만들 수 있게 된다고 한다.","덜컹덜컹, 덜컹덜컹","꼬마 밀치기","범위 안에 있는 적을 밀쳐냅니다.",25,80,2,false,false,false,false,false,9
45,"꼬마 친구 '작은 두더지'를 불러낸다.<br>어린 두더지. 땅 파지 못하는 두더지는 그냥 두더지일 뿐이야.","왕립 나나모 농원에서 잡은 아기 두더지. 박물학자 마르세트의 학설을 증명하기 위한 실험체가 되어 온갖 무서운 일을 당했다. 지금은 모험가를 따르고 있지만, 제 친엄마를 장사지낸 게 누군지 아직 모르는 것 같다…","파자파자파자…","두더지의 분노","15초 동안 특수기 포인트를 사용한 꼬마 친구의 공격력을 40 향상시킵니다.",90,40,3,false,false,false,true,false,3
46,"꼬마 친구 '꼬마 양'을 불러낸다.<br>동쪽 나라에서 온 양. 마법의 힘은 다 떨어졌다.","자애의 신을 맞이하는 '강신제'에서 만난 양. 명령을 거역한 탓에 죽을 뻔했던 걸 구해줬다가 그대로 양도받게 되었다. 신기한 힘은 더 이상 쓸 수 없지만, 새 주인이 된 경애하는 모험가와 함께 행복한 하루하루를 보내고 있다.","음메에~","자애로운 마음","10초 동안 특수기 포인트를 사용한 꼬마 친구의 방어력을 40 향상시킵니다.",30,25,2,false,false,false,true,false,3
47,"꼬마 친구 '작은 슬라임'을 불러낸다.<br>있는 그대로 말하면 잘게 다져진 슬라임이다.","있는 그대로 말하면 잘게 다져진 슬라임이다. 채굴 작업 시 고이는 폐수 웅덩이에서 자연 발생하는 마물로, 광산회사의 광부들에게는 미움을 받고 있다. 하지만 일종의 깨달음을 얻은 이들은 슬라임을 보고도 개성과 애교를 느낀다.","미끈미끈…","끈적끈적 세포","15초 동안 범위 안에 있는 적에게 '마물' 유형 약점을 추가합니다.",30,30,2,true,true,false,false,false,4
48,"꼬마 친구 '작은 만드라고라'를 불러낸다.<br>어린 만드라고라. 비명을 지르게 하면 위험하다.","어린 만드라고라. 자연이 울창한 곳에서 풀 베기를 하다 보면 갓 싹을 틔운 어린 만드라고라를 발견할 때가 있다. 이때 억지로 땅에서 뽑아내고자 하면 듣는 사람의 정신을 파괴하는 위험한 비명을 지르므로, 채취할 때는 신중을 기해야 한다.","…………","박치기","범위 안에 있는 적에게 공격력 90만큼 피해를 줍니다.",65,35,1,false,true,false,true,true,1
49,"꼬마 친구 '고블린 인형'을 불러낸다.<br>고블린의 모습을 본뜬 마법인형. 얼굴을 본 사람은 아무도 없다.","고블린계에 나타난 현대의 영웅 브레이플록스의 모습을 본뜬 마법인형. 말로는 그가 이룩한 업적을 기리기 위해 만들었다고 하지만, 뒤에는 과학자 집단 '푸른손'의 문장이 각인되어 있다. 출처에 대해서는 관심 갖지 않는 게 좋을 것 같다.","슈우우…… 슈우우……","고블린 교란","범위 안에 있는 적의 특수기 포인트를 최대치의 50%만큼 감소시킵니다.",40,45,2,false,true,true,false,false,4
50,"꼬마 친구 '실프 인형'을 불러낸다.<br>실프의 모습을 본뜬 마법인형이닷치.","실프족의 모습을 본뜬 마법인형. 고급 실프 비단으로 만든 인형에 실프족 특유의 주문을 걸어서 만들었다. 얼마 전에 태어난 '아가님'을 모델로 만들어 아주 사랑스러운 모습을 하고 있다.","둥실둥실…","주술","15초 동안 범위 안에 있는 적의 공격력을 50% 감소시킵니다.",40,30,4,false,true,false,false,false,4
51,"꼬마 친구 '자동 커서'를 불러낸다.<br>모든 운명을 지배하는 고대신의 모습을 본뜬 마법인형.","옛 신의 모습을 본뜬 마법인형. 한 고블린족 신학자가 술에 거나하게 취해서 한 말에 의하면, 이 세계는 14번째로 생긴 세계이며, 태초의 세계에서는 '가리키는 흰 장갑'의 모습을 한 신이 모든 운명을 지배한다고 한다.","삑, 삑, 삑!","악마의 선택","15초 동안 범위 안에 있는 적의 방어력을 50% 감소시킵니다.",55,40,3,false,false,true,false,false,4
52,"꼬마 친구 '무적호 모형'을 불러낸다.<br>전설의 비공정 무적호의 모습을 본뜬 기계 모형.","기계로 된 비공정 모형. 하이윈드 비공사 창업자 타타노라가 대형 선박을 이용해 건조한 비공정 '무적호'를 모델로 삼았다. 참고로 실제 무적호는 비행에 실패하여 거금을 날린 것으로 전설이 되었다.","부르르릉…","항공 지원","6초 동안 범위 안에 있는 아군의 공격력을 20 향상시킵니다. 아군이 '기계' 유형일 경우 공격력을 40 향상시킵니다.",50,75,4,false,false,true,false,false,3
