Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x19][0x12],9 [0x0][0x8],10 [0x5][0x18],11 [0x5][0x1a],12 [0x3][0x1c],13 [0x3][0x1d],14 [0x7][0x14],15 [0x3][0x1e],16 [0x3][0x1f],17 [0x3][0x20]
2000077,"코츄의 어린잎",0,"코츄의 어린잎",0,0,1,0,0,false,"코츄의 어린잎",25201,1,4,1,65634,0,0,0
2000079,"프미바스의 편지",0,"프미바스의 편지",0,0,1,0,0,false,"프미바스의 편지",25918,0,1,1,65560,0,0,0
2000080,"식량 주머니",0,"식량 주머니",0,0,1,0,0,false,"식량 주머니",22623,0,1,1,65570,0,0,0
2000081,"뼈로 만든 창촉",0,"뼈로 만든 창촉",0,0,1,0,0,false,"뼈로 만든 창촉",22303,0,1,1,65574,0,0,0
2000082,"밀랍 기름",0,"밀랍 기름",0,0,1,0,0,false,"밀랍 기름",22636,0,1,1,65574,0,0,0
2000083,"튼튼한 밧줄",0,"튼튼한 밧줄",0,0,1,0,0,false,"튼튼한 밧줄",26103,0,1,1,65574,0,0,0
2000084,"아제마 장미 열매",0,"아제마 장미 열매",0,0,1,0,0,false,"아제마 장미 열매",25302,1,6,1,65577,0,0,0
2000085,"신선한 기살의 야채",0,"신선한 기살의 야채",0,0,1,0,0,false,"신선한 기살의 야채",25218,1,1,1,66698,3,0,0
2000092,"넝쿨장미 씨앗",0,"넝쿨장미 씨앗",0,0,1,0,0,false,"넝쿨장미 씨앗",22623,1,6,1,65692,3,0,0
2000093,"거미전갈의 신선한 거미줄",0,"거미전갈의 신선한 거미줄",0,0,1,0,0,false,"거미전갈의 신선한 거미줄",21664,1,6,1,65693,3,0,0
2000094,"독한 말벌주",0,"독한 말벌주",0,0,1,0,0,false,"독한 말벌주",24403,1,1,1,65694,3,0,0
2000095,"작은 불씨",0,"작은 불씨",0,0,1,0,0,false,"작은 불씨",30202,1,1,1,65695,3,0,0
2000096,"레이아의 알",0,"레이아의 알",0,0,1,0,0,false,"레이아의 알",25252,1,1,1,65697,3,0,0
2000097,"키사의 편지",0,"키사의 편지",0,0,1,0,0,false,"키사의 편지",25918,1,1,1,0,3,0,0
2000098,"붉은 벌레기름",0,"붉은 벌레기름",0,0,1,0,0,false,"붉은 벌레기름",20641,1,6,1,65567,0,0,0
2000099,"벌의 시체",0,"벌의 시체",0,0,1,0,0,false,"벌의 시체",22623,1,4,1,65694,3,0,0
2000100,"김 빠진 맥주",0,"김 빠진 맥주",0,0,1,0,0,false,"김 빠진 맥주",20643,1,3,1,65696,3,0,0
2000101,"아제마 장미 향유",0,"아제마 장미 향유",0,0,1,0,0,false,"아제마 장미 향유",20663,1,2,1,65556,3,0,0
2000102,"용기의 돌",0,"용기의 돌",0,0,1,0,0,false,"용기의 돌",21451,1,1,1,65571,0,0,0
2000103,"적갈색 향유",0,"적갈색 향유",0,0,1,0,0,false,"적갈색 향유",22636,1,1,1,0,3,0,0
2000104,"낡은 팔분의",0,"낡은 팔분의",0,0,1,0,0,false,"낡은 팔분의",21002,1,1,1,65644,3,0,0
2000105,"낡은 팔분의",0,"낡은 팔분의",0,0,1,0,0,false,"낡은 팔분의",21002,1,1,1,65645,3,0,0
2000119,"수제 장어파이",0,"수제 장어파이",0,0,1,0,0,false,"수제 장어파이",24305,1,1,1,65659,3,0,0
2000120,"수제 장어파이",0,"수제 장어파이",0,0,1,0,0,false,"수제 장어파이",24305,1,1,1,65660,3,0,0
2000121,"맑고 깨끗한 물",0,"맑고 깨끗한 물",0,0,1,0,0,false,"맑고 깨끗한 물",22614,1,1,1,65628,3,0,0
2000122,"용기의 돌",0,"용기의 돌",0,0,1,0,0,false,"용기의 돌",21451,1,1,1,65679,0,0,0
2000123,"마도 전지",0,"마도 전지",0,0,1,0,0,false,"마도 전지",22625,1,99,1,0,0,0,0
2000124,"송장 벼룩모기의 알주머니",0,"송장 벼룩모기의 알주머니",0,0,1,0,0,false,"송장 벼룩모기의 알주머니",22623,0,99,1,0,0,0,0
2000125,"좀비의 유류품",0,"좀비의 유류품",0,0,1,0,0,false,"좀비의 유류품",22623,0,99,1,0,0,0,0
2000126,"큼지막한 꿀벌",0,"큼지막한 꿀벌",0,0,1,0,0,false,"큼지막한 꿀벌",27002,0,99,1,0,0,0,0
2000127,"미끌미끌한 떡잎",0,"미끌미끌한 떡잎",0,0,1,0,0,false,"미끌미끌한 떡잎",25201,0,99,1,0,0,0,0
2000128,"밀렵된 짐승 가죽",0,"밀렵된 짐승 가죽",0,0,1,0,0,false,"밀렵된 짐승 가죽",21002,0,99,1,0,0,0,0
2000136,"밀봉된 익명의 편지",0,"밀봉된 익명의 편지",0,0,1,0,0,false,"밀봉된 익명의 편지",25918,1,1,1,65685,3,0,0
2000137,"검투사 프란츠의 포스터",0,"검투사 프란츠의 포스터",0,0,1,0,0,false,"검투사 프란츠의 포스터",25906,1,3,1,65689,3,1,1
2000138,"깔짝뒤쥐 가죽",0,"깔짝뒤쥐를 처치하고 얻은 털가죽",0,0,1,0,0,false,"깔짝뒤쥐 가죽",21809,1,5,1,65699,3,0,0
2000140,"뜨뜻미지근한 포대",0,"뜨뜻미지근한 포대",0,0,1,0,0,false,"뜨뜻미지근한 포대",22628,1,1,1,65709,3,0,0
2000141,"측량 기록일지",0,"측량 기록일지",0,0,1,0,0,false,"측량 기록일지",26151,1,1,1,65711,3,0,0
2000142,"늪지긴다리거미의 갑각",0,"늪지긴다리거미의 갑각",0,0,1,0,0,false,"늪지긴다리거미의 갑각",22252,1,4,1,65733,0,0,0
2000143,"등불버섯",0,"등불버섯",0,0,1,0,0,false,"등불버섯",25402,1,1,1,65731,3,0,0
2000144,"진딧물",0,"진딧물",0,0,1,0,0,false,"진딧물",27003,1,1,1,65707,3,0,0
2000146,"측량용 도구함",0,"측량용 도구함",0,0,1,0,0,false,"측량용 도구함",21002,1,2,1,65711,3,0,0
2000147,"측량용 밧줄",0,"측량용 밧줄",0,0,1,0,0,false,"측량용 밧줄",26103,1,1,1,65711,3,0,0
2000148,"동부 알데나드 상회의 화물",0,"동부 알데나드 상회의 화물",0,0,1,0,0,false,"동부 알데나드 상회의 화물",21003,1,3,1,65758,3,0,0
2000149,"선인장 물",0,"선인장 물",0,0,1,0,0,false,"선인장 물",20642,1,4,1,65759,3,0,0
2000150,"파파포노의 짐",0,"파파포노의 짐",0,0,1,0,0,false,"파파포노의 짐",21003,1,3,1,65761,3,0,0
2000151,"독버섯 포자주머니",0,"독버섯 포자주머니",0,0,1,0,0,false,"독버섯 포자주머니",25403,0,99,1,0,0,0,0
2000152,"건축자재용 코츄 줄기",0,"건축자재용 코츄 줄기",0,0,1,0,0,false,"건축자재용 코츄 줄기",26103,0,99,1,0,0,0,0
2000153,"천연 자석",0,"천연 자석",0,0,1,0,0,false,"천연 자석",21209,1,3,1,65764,3,0,0
2000154,"황동 루어",0,"황동 루어",0,0,1,0,0,false,"황동 루어",27055,1,2,1,65765,3,0,0
2000164,"코브란 벌레기름",0,"코브란 벌레기름",0,0,1,0,0,false,"코브란 벌레기름",20663,1,4,1,65763,3,0,0
2000165,"모모디에게 보내는 편지",0,"모모디에게 보내는 편지",0,0,1,0,0,false,"모모디에게 보내는 편지",25918,1,1,1,65766,3,0,0
2000168,"거대개미의 집게턱",0,"거대개미의 집게턱",0,0,1,0,0,false,"거대개미의 집게턱",22205,1,5,1,65841,3,0,0
2000169,"망치부리 뼛조각",0,"망치부리 뼛조각",0,0,1,0,0,false,"망치부리 뼛조각",22202,1,1,1,0,3,0,0
2000170,"큼직한 은 광석",0,"큼직한 은 광석",0,0,1,0,0,false,"큼직한 은 광석",21211,1,1,1,0,3,0,0
2000177,"망치부리 뼛조각",0,"망치부리 뼛조각",0,0,1,0,0,false,"망치부리 뼛조각",22202,1,8,1,65862,3,0,0
2000185,"소중한 낚싯대",0,"소중한 낚싯대",0,0,1,0,0,false,"소중한 낚싯대",38201,1,1,1,65921,3,0,0
2000186,"로즐린이 보낸 연락문",0,"로즐린이 보낸 연락문",0,0,1,0,0,false,"로즐린이 보낸 연락문",26151,1,1,1,65916,3,0,0
2000187,"로즐린이 보낸 연락문",0,"로즐린이 보낸 연락문",0,0,1,0,0,false,"로즐린이 보낸 연락문",26151,1,1,1,65916,3,0,0
2000188,"로즐린이 보낸 연락문",0,"로즐린이 보낸 연락문",0,0,1,0,0,false,"로즐린이 보낸 연락문",26151,1,1,1,65916,3,0,0
2000189,"찬물이 든 물병",0,"찬물이 든 물병",0,0,1,0,0,false,"찬물이 든 물병",25055,1,1,1,0,3,0,0
2000191,"이상한 가죽주머니",0,"이상한 가죽주머니",0,0,1,0,0,false,"이상한 가죽주머니",25919,1,1,1,65915,3,0,0
2000192,"니메이아 백합 꽃다발",0,"니메이아 백합 꽃다발",0,0,1,0,0,false,"니메이아 백합 꽃다발",22627,1,3,1,65919,3,0,0
2000193,"천년과",0,"천년과",0,0,1,0,0,false,"천년과",25308,0,99,1,0,0,0,0
2000196,"에일윈의 해열제",0,"에일윈의 해열제",0,0,1,0,0,false,"에일윈의 해열제",20661,1,1,1,65930,3,0,0
2000197,"낡은 도자기",0,"낡은 도자기",0,0,1,0,0,false,"낡은 도자기",25055,1,1,1,65931,3,0,0
2000198,"흩어진 동전",0,"흩어진 동전",0,0,1,0,0,false,"흩어진 동전",25919,1,5,1,65932,3,0,0
2000199,"호박 교환권",0,"호박 교환권",0,0,1,0,0,false,"호박 교환권",25906,1,1,1,65839,3,0,0
2000200,"소금에 절인 영양고기",0,"소금에 절인 영양고기",0,0,1,0,0,false,"소금에 절인 영양고기",24353,1,1,1,0,3,0,0
2000201,"장신구 주문서",0,"장신구 주문서",0,0,1,0,0,false,"장신구 주문서",26151,1,1,1,65701,3,0,0
2000203,"문투이 콩 상자",0,"문투이 콩 상자",0,0,1,0,0,false,"문투이 콩 상자",21003,1,1,1,0,3,0,0
2000204,"작은 환술용 지팡이",0,"작은 환술용 지팡이",0,0,1,0,0,false,"작은 환술용 지팡이",32412,1,1,1,0,3,0,0
2000205,"작은 환술용 지팡이",0,"작은 환술용 지팡이",0,0,1,0,0,false,"작은 환술용 지팡이",32412,1,1,1,0,3,0,0
2000206,"사냥도구함",0,"사냥도구함",0,0,1,0,0,false,"사냥도구함",21002,1,3,1,0,3,0,0
2000209,"영양의 내장",0,"영양의 내장",0,0,1,0,0,false,"영양의 내장",29002,1,4,1,0,3,0,0
2000210,"오츄의 어린잎",0,"오츄의 어린잎",0,0,1,0,0,false,"오츄의 어린잎",25201,1,4,1,0,3,0,0
2000211,"신선한 뒤쥐고기",0,"신선한 뒤쥐고기",0,0,1,0,0,false,"신선한 뒤쥐고기",25155,1,2,1,65840,3,0,0
2000212,"큼직한 은 광석",0,"큼직한 은 광석",0,0,1,0,0,false,"큼직한 은 광석",21215,1,1,1,65843,3,0,0
2000214,"아귀 살코기",0,"아귀 살코기",0,0,1,0,0,false,"아귀 살코기",29002,1,4,1,65858,3,0,0
2000215,"지식강의 생피",0,"지식강의 생피",0,0,1,0,0,false,"지식강의 생피",22601,1,4,1,0,3,0,0
2000216,"아마지나 화물상자",0,"아마지나 화물상자",0,0,1,0,0,false,"아마지나 화물상자",21002,1,3,1,65844,3,0,0
2000217,"날디크와 비멜리 사의 서류",0,"날디크와 비멜리 사의 서류",0,0,1,0,0,false,"날디크와 비멜리 사의 서류",25918,1,1,1,65942,3,0,0
2000218,"와푸푸의 엄마손 도시락",0,"라라펠 도시락",0,0,1,0,0,false,"와푸푸의 엄마손 도시락",22641,1,4,1,65945,3,0,0
2000219,"번개 정령의 핵",0,"번개 원소의 핵",0,0,1,0,0,false,"번개 정령의 핵",21265,1,3,1,65946,3,0,0
2000220,"온전한 자칼 엄니",0,"하이에나의 엄니",0,0,1,0,0,false,"온전한 자칼 엄니",22303,1,4,1,65947,3,0,0
2000221,"썩은 도도 고기",0,"썩은 도도 고기",0,0,1,0,0,false,"썩은 도도 고기",24353,1,1,1,65952,3,0,0
2000222,"승리호 조타륜",0,"승리호 조타륜",0,0,1,0,0,false,"승리호 조타륜",21003,1,1,1,65951,3,0,0
2000223,"승리호 밧줄",0,"승리호 밧줄",0,0,1,0,0,false,"승리호 밧줄",20910,1,1,1,65951,3,0,0
2000224,"승리호 돛천",0,"승리호 돛천",0,0,1,0,0,false,"승리호 돛천",21602,1,1,1,65951,3,0,0
2000225,"라노시아 방울꽃",0,"라노시아 방울꽃",0,0,1,0,0,false,"라노시아 방울꽃",25022,1,1,1,65953,3,0,0
2000228,"흙투성이 토기",0,"흙투성이 토기",0,0,1,0,0,false,"흙투성이 토기",25054,1,5,1,0,3,0,0
2000229,"마력을 풍기는 검",0,"마력을 풍기는 검",0,0,1,0,0,false,"마력을 풍기는 검",30426,1,1,1,65981,3,0,0
2000230,"냄새 고약한 벌레떡밥",0,"냄새 고약한 벌레떡밥",0,0,1,0,0,false,"냄새 고약한 벌레떡밥",21005,1,2,1,65583,3,0,0
2000231,"뼈로 깎은 피리",0,"뼈로 깎은 피리",0,0,1,0,0,false,"뼈로 깎은 피리",25919,1,3,1,0,3,0,0
2000232,"들꽃만발 벌꿀주",0,"들꽃만발 벌꿀주",0,0,1,0,0,false,"들꽃만발 벌꿀주",25057,1,1,1,65974,3,0,0
2000233,"벌룬의 작은손가락",0,"벌룬의 작은손가락",0,0,1,0,0,false,"벌룬의 작은손가락",25911,1,6,1,65974,3,0,0
2000234,"궤짝과 관짝 주문서",0,"궤짝과 관짝 주문서",0,0,1,0,0,false,"궤짝과 관짝 주문서",26153,1,4,1,65860,3,0,0
2000235,"잿빛 연금약",0,"잿빛 연금약",0,0,1,0,0,false,"잿빛 연금약",24403,1,1,1,65591,3,0,0
2000236,"피 묻은 멧돼지 엄니",0,"피 묻은 멧돼지 엄니",0,0,1,0,0,false,"피 묻은 멧돼지 엄니",22301,1,10,1,65592,3,0,0
2000237,"떨어진 짐",0,"떨어진 짐",0,0,1,0,0,false,"떨어진 짐",21003,1,2,1,65923,3,0,0
2000238,"나나모 호박",0,"나나모 호박",0,0,1,0,0,false,"나나모 호박",25210,1,1,1,65839,3,0,0
2000239,"깜찍한 생강 쿠키",0,"깜찍한 생강 쿠키",0,0,1,0,0,false,"깜찍한 생강 쿠키",24051,1,4,1,65856,3,0,0
2000240,"루클로의 편지",0,"루클로의 편지",0,0,1,0,0,false,"루클로의 편지",25918,1,1,1,65982,3,0,0
2000241,"광산 철도 시간표",0,"광산 철도 시간표",0,0,1,0,0,false,"광산 철도 시간표",26151,1,1,1,65925,3,0,0
2000242,"여물용 기살의 야채",0,"여물용 기살의 야채",0,0,1,0,0,false,"여물용 기살의 야채",25218,1,3,1,65910,3,0,0
2000243,"지식강의 생피",0,"지식강의 생피",0,0,1,0,0,false,"지식강의 생피",22601,1,1,1,65974,3,0,0
2000244,"사교의 염주",0,"사교의 염주",0,0,1,0,0,false,"사교의 염주",21265,1,99,1,0,0,0,0
2000245,"빛나는 반지",0,"빛나는 반지",0,0,1,0,0,false,"빛나는 반지",48021,1,1,1,65687,3,0,0
2000246,"특제 민물가재 떡밥",0,"특제 민물가재 떡밥",0,0,1,0,0,false,"특제 민물가재 떡밥",21003,1,1,1,65922,3,0,0
2000247,"문투이 콩",0,"문투이 콩",0,0,1,0,0,false,"문투이 콩",22628,1,1,1,65922,3,0,0
2000248,"새로 만든 판금 갑옷",0,"새로 만든 판금 갑옷",0,0,1,0,0,false,"새로 만든 판금 갑옷",42808,1,1,1,65922,3,0,0
2000249,"뮨의 편지",0,"뮨의 편지",0,0,1,0,0,false,"뮨의 편지",25918,1,1,1,65983,3,0,0
2000250,"오동나무 상자",0,"",0,0,1,0,0,false,"오동나무 상자",21002,1,1,1,65984,3,0,0
2000251,"밀렵된 짐승 가죽",0,"밀렵된 짐승 가죽",0,0,1,0,0,false,"밀렵된 짐승 가죽",23001,0,99,1,0,0,0,0
2000252,"도둑맞은 물건",0,"도둑맞은 물건",0,0,1,0,0,false,"도둑맞은 물건",21003,0,99,1,0,0,0,0
2000253,"골렘 파편",0,"골렘 파편",0,0,1,0,0,false,"골렘 파편",21202,0,99,1,0,0,0,0
2000254,"땅 정령의 핵",0,"땅 정령의 핵",0,0,1,0,0,false,"땅 정령의 핵",21202,0,99,1,0,0,0,0
2000255,"빼앗긴 짐",0,"빼앗긴 짐",0,0,1,0,0,false,"빼앗긴 짐",21003,0,99,1,0,0,0,0
2000256,"선인장 과육",0,"선인장 과육",0,0,1,0,0,false,"선인장 과육",23001,0,99,1,0,0,0,0
2000257,"골렘의 영혼석",0,"골렘의 영혼석",0,0,1,0,0,false,"골렘의 영혼석",21202,0,99,1,0,0,0,0
2000258,"해적의 약탈품",0,"해적의 약탈품",0,0,1,0,0,false,"해적의 약탈품",23001,0,99,1,0,0,0,0
2000259,"피로 쓴 쪽지",0,"피로 쓴 쪽지",0,0,1,0,0,false,"피로 쓴 쪽지",26151,1,99,1,0,0,0,0
2000260,"작은 열쇠",0,"작은 열쇠",0,0,1,0,0,false,"작은 열쇠",25904,1,99,1,0,0,0,0
2000261,"백합 열쇠",0,"백합 열쇠",0,0,1,0,0,false,"백합 열쇠",25902,1,99,1,0,0,0,0
2000262,"붉은장미 열쇠",0,"붉은장미 열쇠",0,0,1,0,0,false,"붉은장미 열쇠",25903,1,99,1,0,0,0,0
2000263,"겨우살이 열쇠",0,"겨우살이 열쇠",0,0,1,0,0,false,"겨우살이 열쇠",25903,1,99,1,0,0,0,0
2000264,"패랭이꽃 열쇠",0,"패랭이꽃 열쇠",0,0,1,0,0,false,"패랭이꽃 열쇠",25903,1,99,1,0,0,0,0
2000265,"조사 지역의 단풍나무 원목",0,"조사 지역의 단풍나무 원목",0,0,1,0,0,false,"조사 지역의 단풍나무 원목",22408,0,99,1,0,0,0,0
2000266,"조사 지역의 단풍나무 가지",0,"조사 지역의 단풍나무 가지",0,0,1,0,0,false,"조사 지역의 단풍나무 가지",22416,0,99,1,0,0,0,0
2000267,"나무정령의 도토리",0,"나무정령의 도토리",0,0,1,0,0,false,"나무정령의 도토리",25304,0,99,1,0,0,0,0
2000268,"어린 물푸레나무",0,"어린 물푸레나무",0,0,1,0,0,false,"어린 물푸레나무",22407,0,99,1,0,0,0,0
2000269,"어린 물푸레나무 가지",0,"어린 물푸레나무 가지",0,0,1,0,0,false,"어린 물푸레나무 가지",22416,0,99,1,0,0,0,0
2000270,"동쪽 기슭의 겨우살이",0,"동쪽 기슭의 겨우살이",0,0,1,0,0,false,"동쪽 기슭의 겨우살이",25001,0,99,1,0,0,0,0
2000271,"모닥불용 장작",0,"모닥불용 장작",0,0,1,0,0,false,"모닥불용 장작",22407,0,99,1,0,0,0,0
2000272,"모닥불용 나무껍질",0,"모닥불용 나무껍질",0,0,1,0,0,false,"모닥불용 나무껍질",22418,0,99,1,0,0,0,0
2000273,"불순물 없는 유액",0,"불순물 없는 유액",0,0,1,0,0,false,"불순물 없는 유액",22643,0,99,1,0,0,0,0
2000274,"불순물 섞인 유액",0,"불순물 섞인 유액",0,0,1,0,0,false,"불순물 섞인 유액",22643,0,99,1,0,0,0,0
2000275,"벌채지의 물푸레나무 원목",0,"벌채지의 물푸레나무 원목",0,0,1,0,0,false,"벌채지의 물푸레나무 원목",22407,0,99,1,0,0,0,0
2000276,"벌채지의 물푸레나무 가지",0,"벌채지의 물푸레나무 가지",0,0,1,0,0,false,"벌채지의 물푸레나무 가지",22416,0,99,1,0,0,0,0
2000277,"질 좋은 물푸레나무 원목",0,"질 좋은 물푸레나무 원목",0,0,1,0,0,false,"질 좋은 물푸레나무 원목",22407,0,99,1,0,0,0,0
2000278,"하늘기둥나무 뿌리",0,"하늘기둥나무 뿌리",0,0,1,0,0,false,"하늘기둥나무 뿌리",25005,0,99,1,0,0,0,0
2000279,"하늘기둥나무 껍질",0,"하늘기둥나무 껍질",0,0,1,0,0,false,"하늘기둥나무 껍질",22418,0,99,1,0,0,0,0
2000280,"하늘기둥나무의 튼튼한 뿌리",0,"하늘기둥나무의 튼튼한 뿌리",0,0,1,0,0,false,"하늘기둥나무의 튼튼한 뿌리",25005,0,99,1,0,0,0,0
2000281,"오츄의 씨앗",0,"오츄의 씨앗",0,0,1,0,0,false,"오츄의 씨앗",25314,0,99,1,0,0,0,0
2000282,"코츄의 마른잎",0,"코츄의 마른잎",0,0,1,0,0,false,"코츄의 마른잎",21662,0,99,1,0,0,0,0
2000283,"포자가 들러붙은 나무껍질",0,"포자가 들러붙은 나무껍질",0,0,1,0,0,false,"포자가 들러붙은 나무껍질",22418,0,99,1,0,0,0,0
2000284,"벌레 먹은 나무껍질",0,"벌레 먹은 나무껍질",0,0,1,0,0,false,"벌레 먹은 나무껍질",22418,0,99,1,0,0,0,0
2000285,"큼지막한 밤",0,"큼지막한 밤",0,0,1,0,0,false,"큼지막한 밤",25302,0,99,1,0,0,0,0
2000286,"벌레 먹은 밤",0,"벌레 먹은 밤",0,0,1,0,0,false,"벌레 먹은 밤",25302,0,99,1,0,0,0,0
2000287,"황금 밤",0,"황금 밤",0,0,1,0,0,false,"황금 밤",25302,0,99,1,0,0,0,0
2000288,"서쪽 기슭의 겨우살이",0,"서쪽 기슭의 겨우살이",0,0,1,0,0,false,"서쪽 기슭의 겨우살이",25001,0,99,1,0,0,0,0
2000289,"울타리에 쓰기 좋은 물푸레나무 원목",0,"울타리에 쓰기 좋은 물푸레나무 원목",0,0,1,0,0,false,"울타리에 쓰기 좋은 물푸레나무 원목",22407,0,99,1,0,0,0,0
2000290,"너무 홀쭉한 물푸레나무 원목",0,"너무 홀쭉한 물푸레나무 원목",0,0,1,0,0,false,"너무 홀쭉한 물푸레나무 원목",22407,0,99,1,0,0,0,0
2000291,"넝쿨장미 씨앗",0,"넝쿨장미 씨앗",0,0,1,0,0,false,"넝쿨장미 씨앗",25314,0,99,1,0,0,0,0
2000292,"넝쿨장미의 마른 잎",0,"넝쿨장미의 마른 잎",0,0,1,0,0,false,"넝쿨장미의 마른 잎",25201,0,99,1,0,0,0,0
2000293,"싹튼 넝쿨장미 씨앗",0,"싹튼 넝쿨장미 씨앗",0,0,1,0,0,false,"싹튼 넝쿨장미 씨앗",25314,0,99,1,0,0,0,0
2000294,"쓰레기터풀",0,"쓰레기터풀",0,0,1,0,0,false,"쓰레기터풀",25008,0,99,1,0,0,0,0
2000295,"치자풀",0,"치자풀",0,0,1,0,0,false,"치자풀",25008,0,99,1,0,0,0,0
2000296,"진한 단풍나무 수액",0,"진한 단풍나무 수액",0,0,1,0,0,false,"진한 단풍나무 수액",22642,0,99,1,0,0,0,0
2000297,"불순물 섞인 단풍나무 수액",0,"불순물 섞인 단풍나무 수액",0,0,1,0,0,false,"불순물 섞인 단풍나무 수액",22642,0,99,1,0,0,0,0
2000298,"표식이 새겨진 나무껍질",0,"표식이 새겨진 나무껍질",0,0,1,0,0,false,"표식이 새겨진 나무껍질",22418,0,99,1,0,0,0,0
