Index,0 [0x5][0x8],1 [0x0][0x0],2 [0x0][0x4],3 [0x5][0xa],4 [0x3][0xc]
125,734,"収穫奉納祭事","",125,135
126,735,"定めにあらがう乙女","",126,135
127,736,"銀波に消えた秘宝","",127,135
128,743,"海風の警告","",128,135
129,744,"荒波を撃ち抜く弾丸","",129,135
130,745,"潮騒が運ぶ幸福","",130,135
131,752,"その賢者アルドバル","",131,135
132,753,"アマルジャの血","",132,135
133,754,"隣は何を掘る人ぞ","",133,135
134,755,"アマルジャの刃","",134,135
135,761,"マルセットの「スプリガンのひみつ」","",135,135
136,762,"神々の声はかく語りき","",136,135
137,763,"良薬口に苦し","",137,135
138,764,"マルセットの「ファンガーのひみつ」","",138,135
139,770,"奇妙なファンレター","",139,135
140,771,"オライオン号のおいしい積み荷","",140,135
141,772,"海賊様のワイン","",141,135
142,773,"芳しき海の男","",142,135
143,788,"降臨？　賢者のタマゴ！　（ウルダハ）","",143,135
144,789,"賢者のタマゴ　奪還大作戦　（ウルダハ）","",144,135
145,793,"降臨？　賢者のタマゴ！　（グリダニア）","",145,135
146,794,"賢者のタマゴ　奪還大作戦　（グリダニア）","",146,135
147,798,"紅蓮祭　-大炎獣ボンバード登場！-","",147,135
148,799,"守護天節　-いたずらインプ大脱走！-","",148,135
149,800,"星芒祭/雪人の儀","",149,135
150,801,"降神祭/消えた雪人","",150,135
151,803,"降臨？　賢者のタマゴ！　（リムサ・ロミンサ）","",151,135
152,804,"賢者のタマゴ　奪還大作戦　（リムサ・ロミンサ）","",152,135
153,808,"物品調達の仕事","",153,135
154,809,"霊窟にて待つ試練","",154,135
155,810,"お客様は老ゴブリン","",155,135
156,811,"想いが生み出す力","",156,135
157,812,"想いを繋ぐ力","",157,135
158,813,"想いを伝える力","",158,135
159,815,"道化の饗宴","",159,135
160,816,"軍需品調達・補給品調達の仕事","",160,135
161,817,"流砂の迷宮「カッターズクライ」","",161,135
162,818,"黄金の谷「オーラムヴェイル」","",162,135
163,820,"トトラク威力偵察指令","",163,135
164,821,"ゼーメル要塞奪還作戦","",164,135
165,822,"オーラムヴェイル霧中行軍","",165,135
166,823,"カッターズクライ流砂迷宮","",166,135
167,827,"旅館「とまり木」の約束","",167,135
168,828,"暗中の光明","",168,135
169,837,"宿屋「ミズンマスト」のお得意様","",169,135
170,838,"対価の報い","",170,135
171,839,"小月が導く事件の行方","",171,135
172,840,"勇者と事件と灰と剣","",172,135
173,847,"宿屋「砂時計亭」で消えた指輪","",173,135
174,848,"被疑者の男","",174,135
175,857,"季節クエスト（汎用）","",175,135
176,858,"再びのエッグハント","",176,135
177,859,"紅蓮祭　-大炎獣ボンバードの逆襲！-","",177,135
178,860,"季節クエスト（3国共通）","",178,135
179,861,"ハムレット補給","",179,135
180,862,"エリック博士の講義","",180,135
181,866,"旋風の試練","",181,135
182,867,"蘇る古の武器","",182,135
183,868,"おわりの名は希望","",183,135
184,869,"紅月下の闘い","",184,135
185,1200,"アバラシアから来た戦士","",254,137
186,1201,"壁をぶち壊せ","",255,137
187,1202,"原初のマグマ","",256,137
188,1203,"英雄巡礼","",257,137
189,1204,"腕くらべ","",258,137
190,1205,"いちばんの戦士","",259,137
191,1220,"さすらいのモンク","",260,137
192,1221,"青き古戦場","",261,137
193,1222,"不和から至る旋律","",262,137
194,1223,"チャクラの波紋","",263,137
195,1224,"無明の内地","",264,137
196,1225,"廃王の帰還","",265,137
197,1240,"白魔道士が導くもの","",266,137
198,1241,"光のあとに残るもの","",267,137
199,1242,"続く明日を語るもの","",268,137
200,1243,"瞬く希望を願うもの","",269,137
201,1244,"怒りの底に眠るもの","",270,137
202,1245,"無垢より満つるもの","",271,137
203,1260,"黒魔道士と黒の石","",272,137
204,1261,"時を告げし血","",273,137
205,1262,"異郷なる友","",274,137
206,1263,"いざないの霧","",275,137
207,1264,"道を求むる旅","",276,137
208,1265,"黒魔法の導き手","",277,137
209,1280,"ナイトの誓約","",278,137
210,1281,"慕いし背中","",279,137
211,1282,"失望と怒りと責任と","",280,137
212,1283,"交わる毒心","",281,137
213,1284,"交わらぬ心慮","",282,137
214,1285,"かざすは騎士の聖剣","",283,137
215,1300,"吟遊詩人の調べ","",284,137
216,1301,"弓兵の戦歌","",285,137
217,1302,"時神の境地","",286,137
218,1303,"罪深き愚者","",287,137
219,1304,"浄罪の地を求めて","",288,137
220,1305,"命の賛歌","",289,137
221,1320,"目覚めし竜騎士","",290,137
222,1321,"戦神の槍","",291,137
223,1322,"消えぬ爪痕","",292,137
224,1323,"双竜の邂逅","",293,137
225,1324,"邪竜の声","",294,137
226,1325,"蒼の竜騎士","",295,137
227,1400,"賢者の秘密","",185,138
228,1401,"「黒渦団」仮配属","",186,138
229,1402,"「黒渦団」の軍票","",187,138
230,1403,"帝国の照準","",188,138
231,1404,"巨艦を駆りて","",189,138
232,1405,"動乱の大地","",190,138
233,1406,"「黒渦団」配属","",191,138
234,1409,"トトラクの千獄　（リムサ・ロミンサ）","",192,138
235,1410,"ゼーメル要塞　（リムサ・ロミンサ）","",193,138
236,1415,"盟主ルイゾワの秘策（リムサ・ロミンサ）","",194,138
237,1416,"アワアワ大作戦","",195,138
238,1417,"荒ぶる海賊たち","",196,138
239,1418,"スウィートビスケット騒動","",197,138
240,1419,"地底の秘境","",198,138
241,1425,"一流を支えるもの","",199,138
242,1426,"王狼へのはなむけ","",200,138
243,1427,"「コボルド軍野営」疲弊作戦","",201,138
244,1428,"開かれた血路","",202,138
245,1429,"盟主ルイゾワの導き（リムサ・ロミンサ）","",203,138
246,1430,"リムサ・ロミンサの岐路","",204,138
247,1431,"勝利への行進（リムサ・ロミンサ）","",205,138
248,1432,"月下の闘い（リムサ・ロミンサ）","",206,138
249,1433,"「グレートバッファロー」討伐作戦","",207,138
250,1600,"賢者の刻印","",208,138
251,1601,"「双蛇党」仮配属","",209,138
252,1602,"「双蛇党」の軍票","",210,138
253,1603,"覚悟の便り","",211,138
254,1604,"新たな調和を","",212,138
255,1605,"破壊の力","",213,138
256,1606,"「双蛇党」配属","",214,138
257,1609,"トトラクの千獄　（グリダニア）","",215,138
258,1610,"ゼーメル要塞　（グリダニア）","",216,138
259,1615,"盟主ルイゾワの秘策（グリダニア）","",217,138
260,1616,"遥かなる循環","",218,138
261,1617,"護国にかける決意","",219,138
262,1618,"ひらめきの種","",220,138
263,1619,"烈風の要塞","",221,138
264,1625,"骸を喰らう者","",222,138
265,1626,"凶鳥の舞","",223,138
266,1627,"「イクサル軍伐採所」急襲作戦","",224,138
267,1628,"心をひとつに","",225,138
268,1629,"盟主ルイゾワの導き（グリダニア）","",226,138
269,1630,"グリダニアの岐路","",227,138
270,1631,"勝利への行進（グリダニア）","",228,138
271,1632,"月下の闘い（グリダニア）","",229,138
272,1633,"「太っ腹のホットポックス」討伐作戦","",230,138
273,1800,"賢者の策略","",231,138
274,1801,"「不滅隊」仮配属","",232,138
275,1802,"「不滅隊」の軍票","",233,138
276,1803,"軍備の動脈","",234,138
277,1804,"真なる富","",235,138
278,1805,"内なる敵","",236,138
279,1806,"「不滅隊」配属","",237,138
280,1809,"トトラクの千獄　（ウルダハ）","",238,138
281,1810,"ゼーメル要塞　（ウルダハ）","",239,138
282,1815,"盟主ルイゾワの秘策（ウルダハ）","",240,138
283,1816,"エシュテムの新製品","",241,138
284,1817,"確執の果て","",242,138
285,1818,"すべては隊士様のために","",243,138
286,1819,"灼熱の聖域","",244,138
287,1825,"裏の裏","",245,138
288,1826,"ふたりの機工師","",246,138
289,1827,"「アマルジャ軍祭場」補給断絶作戦","",247,138
290,1828,"決断の狼煙","",248,138
291,1829,"盟主ルイゾワの導き（ウルダハ）","",249,138
292,1830,"ウルダハの岐路","",250,138
293,1831,"勝利への行進（ウルダハ）","",251,138
294,1832,"月下の闘い（ウルダハ）","",252,138
295,1833,"「エルダーモスホーン」討伐作戦","",253,138
