Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x10],4 [0x7][0x8],5 [0x3][0x11],6 [0x19][0x12]
19,"","",0,0,0,0,false
20,"","",0,0,0,0,false
21,"","",0,0,0,0,false
22,"","",0,0,0,0,false
23,"","",0,0,0,0,false
24,"","",0,0,0,0,false
25,"","",0,0,0,0,false
26,"","",0,0,0,0,false
27,"","",0,0,0,0,false
28,"","",0,0,0,0,false
29,"","",0,0,0,0,false
30,"","",0,0,0,0,false
31,"처치 경험치 향상 2","24시간(현실 시간) 동안 적 처치 시 얻는 경험치가 10% 향상됩니다.",64238,8,7000,18,true
32,"채집 경험치 향상 2","24시간(현실 시간) 동안 채집 시 얻는 경험치가 10% 향상됩니다.",64240,8,7000,19,true
33,"제작 경험치 향상 2","24시간(현실 시간) 동안 제작 시 얻는 경험치가 10% 향상됩니다.",64241,8,7000,20,true
34,"버디 경험치 향상 2","24시간(현실 시간) 동안 버디가 얻는 경험치가 15% 향상됩니다.",64239,8,7000,21,true
35,"명예 점수 향상 2","24시간(현실 시간) 동안 명예 점수 획득량이 10% 향상됩니다.",64242,8,7000,22,true
36,"군표 증가 2","24시간(현실 시간) 동안 군표 획득량이 10% 향상됩니다.",64243,8,7000,23,true
37,"초보자 지원 2","24시간(현실 시간) 동안 레벨 49 이하 전투 클래스의 모든 캐릭터 능력치가 5% 향상됩니다.",64226,8,3500,25,true
38,"획득력 향상 2","24시간(현실 시간) 동안 채집가의 획득력이 10 향상됩니다.",64227,8,7000,26,true
39,"감별력 향상 2","24시간(현실 시간) 동안 채집가의 감별력이 10 향상됩니다.",64228,8,7000,27,true
40,"작업 숙련도 향상 2","24시간(현실 시간) 동안 제작자의 작업 숙련도가 10 향상됩니다.",64229,8,7000,28,true
41,"가공 숙련도 향상 2","24시간(현실 시간) 동안 제작자의 가공 숙련도가 10 향상됩니다.",64230,8,7000,29,true
42,"결속도 증가량 향상 2","24시간(현실 시간) 동안 결속도가 더 잘 오릅니다.",64234,8,7000,30,true
43,"식사 지속시간 연장 2","24시간(현실 시간) 동안 식사 효과 지속시간이 10분 연장됩니다.",64233,8,7000,31,true
44,"장비 소모 절감 2","24시간(현실 시간) 동안 장비 내구도 감소 속도가 20% 느려집니다.",64235,8,7000,32,true
45,"쇠약 시간 단축 2","24시간(현실 시간) 동안 쇠약 상태 지속시간이 15% 단축됩니다.",64236,8,5600,33,true
46,"텔레포 할인 2","24시간(현실 시간) 동안 텔레포 비용이 30% 할인됩니다.",64237,8,7000,34,true
47,"MGP 증가 2","24시간(현실 시간) 동안 맨더빌 골드 소서 포인트 획득량이 10% 증가합니다.",64244,8,7000,24,true
48,"","",0,0,0,0,false
49,"","",0,0,0,0,false
50,"","",0,0,0,0,false
51,"","",0,0,0,0,false
52,"","",0,0,0,0,false
53,"","",0,0,0,0,false
54,"","",0,0,0,0,false
55,"","",0,0,0,0,false
56,"","",0,0,0,0,false
57,"","",0,0,0,0,false
58,"","",0,0,0,0,false
59,"","",0,0,0,0,false
60,"","",0,0,0,0,false
61,"처치 경험치 향상 3","24시간(현실 시간) 동안 적 처치 시 얻는 경험치가 15% 향상됩니다.",64263,8,10500,35,false
62,"채집 경험치 향상 3","24시간(현실 시간) 동안 채집 시 얻는 경험치가 20% 향상됩니다.",64265,8,10500,36,false
63,"제작 경험치 향상 3","24시간(현실 시간) 동안 제작 시 얻는 경험치가 20% 향상됩니다.",64266,8,10500,37,false
64,"버디 경험치 향상 3","24시간(현실 시간) 동안 버디가 얻는 경험치가 20% 향상됩니다.",64264,8,10500,38,false
65,"명예 점수 향상 3","24시간(현실 시간) 동안 명예 점수 획득량이 15% 향상됩니다.",64267,8,10500,39,false
66,"군표 증가 3","24시간(현실 시간) 동안 군표 획득량이 15% 향상됩니다.",64268,8,10500,40,false
67,"","",0,0,0,0,false
68,"획득력 향상 3","24시간(현실 시간) 동안 채집가의 획득력이 15 향상됩니다.",64252,8,10500,43,false
69,"감별력 향상 3","24시간(현실 시간) 동안 채집가의 감별력이 15 향상됩니다.",64253,8,10500,44,false
70,"작업 숙련도 향상 3","24시간(현실 시간) 동안 제작자의 작업 숙련도가 15 향상됩니다.",64254,8,10500,45,false
71,"가공 숙련도 향상 3","24시간(현실 시간) 동안 제작자의 가공 숙련도가 15 향상됩니다.",64255,8,10500,46,false
72,"결속도 증가량 향상 3","24시간(현실 시간) 동안 결속도가 더 잘 오릅니다.",64259,8,10500,47,false
73,"식사 지속시간 연장 3","24시간(현실 시간) 동안 식사 효과 지속시간이 15분 연장됩니다.",64258,8,10500,48,false
74,"장비 소모 절감 3","24시간(현실 시간) 동안 장비 내구도 감소 속도가 30% 느려집니다.",64260,8,10500,49,false
75,"","",0,0,0,0,false
76,"텔레포 할인 3","24시간(현실 시간) 동안 텔레포 비용이 40% 할인됩니다.",64262,8,10500,51,false
77,"MGP 증가 3","24시간(현실 시간) 동안 맨더빌 골드 소서 포인트 획득량이 15% 증가합니다.",64269,8,10500,41,false
78,"","",0,0,0,0,false
79,"","",0,0,0,0,false
80,"","",0,0,0,0,false
81,"","",0,0,0,0,false
82,"","",0,0,0,0,false
83,"","",0,0,0,0,false
84,"","",0,0,0,0,false
85,"","",0,0,0,0,false
86,"","",0,0,0,0,false
87,"","",0,0,0,0,false
88,"","",0,0,0,0,false
89,"","",0,0,0,0,false
90,"","",0,0,0,0,false
91,"","",0,0,0,0,false
92,"","",0,0,0,0,false
93,"","",0,0,0,0,false
94,"","",0,0,0,0,false
95,"","",0,0,0,0,false
96,"","",0,0,0,0,false
97,"","",0,0,0,0,false
98,"","",0,0,0,0,false
99,"","",0,0,0,0,false
100,"","",0,0,0,0,false
