Index,0 [0x3][0x36],1 [0x0][0x0],2 [0x0][0x4],3 [0x3][0x37],4 [0x5][0x30],5 [0x7][0x8],6 [0x5][0x32],7 [0x3][0x38],8 [0x3][0x39],9 [0x6][0xc],10 [0x6][0x10],11 [0x6][0x14],12 [0x6][0x18],13 [0x6][0x1c],14 [0x6][0x20],15 [0x6][0x24],16 [0x6][0x28],17 [0x6][0x2c],18 [0x5][0x34]
21,11,"검술사: 레벨 30","검술사 레벨 30 달성",5,0,0,30408,3,3,1,30,0,0,0,0,0,0,0,3
22,11,"검술사: 레벨 40","검술사 레벨 40 달성",5,0,0,30408,3,3,1,40,0,0,0,0,0,0,0,4
23,11,"검술사: 레벨 50","검술사 레벨 50 달성",5,0,0,30408,3,3,1,50,0,0,0,0,0,0,0,5
24,11,"격투사: 레벨 10","격투사 레벨 10 달성",5,0,0,31004,3,3,2,10,0,0,0,0,0,0,0,7
25,11,"격투사: 레벨 20","격투사 레벨 20 달성",5,0,0,31004,3,3,2,20,0,0,0,0,0,0,0,8
26,11,"격투사: 레벨 30","격투사 레벨 30 달성",5,0,0,31004,3,3,2,30,0,0,0,0,0,0,0,9
27,11,"격투사: 레벨 40","격투사 레벨 40 달성",5,0,0,31004,3,3,2,40,0,0,0,0,0,0,0,10
28,11,"격투사: 레벨 50","격투사 레벨 50 달성",5,0,0,31004,3,3,2,50,0,0,0,0,0,0,0,11
29,11,"도끼술사: 레벨 10","도끼술사 레벨 10 달성",5,0,0,31409,3,3,3,10,0,0,0,0,0,0,0,13
30,11,"도끼술사: 레벨 20","도끼술사 레벨 20 달성",5,0,0,31409,3,3,3,20,0,0,0,0,0,0,0,14
31,11,"도끼술사: 레벨 30","도끼술사 레벨 30 달성",5,0,0,31409,3,3,3,30,0,0,0,0,0,0,0,15
32,11,"도끼술사: 레벨 40","도끼술사 레벨 40 달성",5,0,0,31409,3,3,3,40,0,0,0,0,0,0,0,16
33,11,"도끼술사: 레벨 50","도끼술사 레벨 50 달성",5,0,0,31409,3,3,3,50,0,0,0,0,0,0,0,17
34,11,"창술사: 레벨 10","창술사 레벨 10 달성",5,0,0,31816,3,3,4,10,0,0,0,0,0,0,0,19
35,11,"창술사: 레벨 20","창술사 레벨 20 달성",5,0,0,31816,3,3,4,20,0,0,0,0,0,0,0,20
36,11,"창술사: 레벨 30","창술사 레벨 30 달성",5,0,0,31816,3,3,4,30,0,0,0,0,0,0,0,21
37,11,"창술사: 레벨 40","창술사 레벨 40 달성",5,0,0,31816,3,3,4,40,0,0,0,0,0,0,0,22
38,11,"창술사: 레벨 50","창술사 레벨 50 달성",5,0,0,31816,3,3,4,50,0,0,0,0,0,0,0,23
39,11,"궁술사: 레벨 10","궁술사 레벨 10 달성",5,0,0,32204,3,3,5,10,0,0,0,0,0,0,0,25
40,11,"궁술사: 레벨 20","궁술사 레벨 20 달성",5,0,0,32204,3,3,5,20,0,0,0,0,0,0,0,26
41,11,"궁술사: 레벨 30","궁술사 레벨 30 달성",5,0,0,32204,3,3,5,30,0,0,0,0,0,0,0,27
42,11,"궁술사: 레벨 40","궁술사 레벨 40 달성",5,0,0,32204,3,3,5,40,0,0,0,0,0,0,0,28
43,11,"궁술사: 레벨 50","궁술사 레벨 50 달성",5,0,0,32204,3,3,5,50,0,0,0,0,0,0,0,29
44,10,"무예에 통달한 자","검술사, 격투사, 도끼술사, 창술사, 궁술사 모두 레벨 50 달성",20,13,0,2504,4,2,23,28,33,38,43,0,0,0,0,1
45,12,"환술사: 레벨 10","환술사 레벨 10 달성",5,0,0,32611,3,3,6,10,0,0,0,0,0,0,0,1
46,12,"환술사: 레벨 20","환술사 레벨 20 달성",5,0,0,32611,3,3,6,20,0,0,0,0,0,0,0,2
47,12,"환술사: 레벨 30","환술사 레벨 30 달성",5,0,0,32611,3,3,6,30,0,0,0,0,0,0,0,3
48,12,"환술사: 레벨 40","환술사 레벨 40 달성",5,0,0,32611,3,3,6,40,0,0,0,0,0,0,0,4
49,12,"환술사: 레벨 50","환술사 레벨 50 달성",5,0,0,32611,3,3,6,50,0,0,0,0,0,0,0,5
50,12,"주술사: 레벨 10","주술사 레벨 10 달성",5,0,0,32806,3,3,7,10,0,0,0,0,0,0,0,7
51,12,"주술사: 레벨 20","주술사 레벨 20 달성",5,0,0,32806,3,3,7,20,0,0,0,0,0,0,0,8
52,12,"주술사: 레벨 30","주술사 레벨 30 달성",5,0,0,32806,3,3,7,30,0,0,0,0,0,0,0,9
53,12,"주술사: 레벨 40","주술사 레벨 40 달성",5,0,0,32806,3,3,7,40,0,0,0,0,0,0,0,10
54,12,"주술사: 레벨 50","주술사 레벨 50 달성",5,0,0,32806,3,3,7,50,0,0,0,0,0,0,0,11
55,10,"마법에 통달한 자","환술사, 주술사, 비술사 모두 레벨 50 달성",20,14,0,2655,4,2,49,54,596,0,0,0,0,0,0,2
56,10,"여덟 길에 통달한 자","업적 '무예에 통달한 자'와 '마법에 통달한 자'를 모두 달성",30,0,2909,302,4,2,44,55,0,0,0,0,0,0,0,3
57,13,"목수: 레벨 10","목수 레벨 10 달성",5,0,0,35001,3,3,8,10,0,0,0,0,0,0,0,1
58,13,"목수: 레벨 20","목수 레벨 20 달성",5,0,0,35001,3,3,8,20,0,0,0,0,0,0,0,2
59,13,"목수: 레벨 30","목수 레벨 30 달성",5,0,0,35001,3,3,8,30,0,0,0,0,0,0,0,3
60,13,"목수: 레벨 40","목수 레벨 40 달성",5,0,0,35001,3,3,8,40,0,0,0,0,0,0,0,4
61,13,"목수: 레벨 50","목수 레벨 50 달성",5,0,0,35001,3,3,8,50,0,0,0,0,0,0,0,5
62,13,"대장장이: 레벨 10","대장장이 레벨 10 달성",5,0,0,35106,3,3,9,10,0,0,0,0,0,0,0,7
63,13,"대장장이: 레벨 20","대장장이 레벨 20 달성",5,0,0,35106,3,3,9,20,0,0,0,0,0,0,0,8
64,13,"대장장이: 레벨 30","대장장이 레벨 30 달성",5,0,0,35106,3,3,9,30,0,0,0,0,0,0,0,9
65,13,"대장장이: 레벨 40","대장장이 레벨 40 달성",5,0,0,35106,3,3,9,40,0,0,0,0,0,0,0,10
66,13,"대장장이: 레벨 50","대장장이 레벨 50 달성",5,0,0,35106,3,3,9,50,0,0,0,0,0,0,0,11
67,13,"갑주제작사: 레벨 10","갑주제작사 레벨 10 달성",5,0,0,35203,3,3,10,10,0,0,0,0,0,0,0,13
68,13,"갑주제작사: 레벨 20","갑주제작사 레벨 20 달성",5,0,0,35203,3,3,10,20,0,0,0,0,0,0,0,14
69,13,"갑주제작사: 레벨 30","갑주제작사 레벨 30 달성",5,0,0,35203,3,3,10,30,0,0,0,0,0,0,0,15
70,13,"갑주제작사: 레벨 40","갑주제작사 레벨 40 달성",5,0,0,35203,3,3,10,40,0,0,0,0,0,0,0,16
71,13,"갑주제작사: 레벨 50","갑주제작사 레벨 50 달성",5,0,0,35203,3,3,10,50,0,0,0,0,0,0,0,17
72,13,"보석공예가: 레벨 10","보석공예가 레벨 10 달성",5,0,0,35301,3,3,11,10,0,0,0,0,0,0,0,19
73,13,"보석공예가: 레벨 20","보석공예가 레벨 20 달성",5,0,0,35301,3,3,11,20,0,0,0,0,0,0,0,20
74,13,"보석공예가: 레벨 30","보석공예가 레벨 30 달성",5,0,0,35301,3,3,11,30,0,0,0,0,0,0,0,21
75,13,"보석공예가: 레벨 40","보석공예가 레벨 40 달성",5,0,0,35301,3,3,11,40,0,0,0,0,0,0,0,22
76,13,"보석공예가: 레벨 50","보석공예가 레벨 50 달성",5,0,0,35301,3,3,11,50,0,0,0,0,0,0,0,23
77,13,"가죽공예가: 레벨 10","가죽공예가 레벨 10 달성",5,0,0,35404,3,3,12,10,0,0,0,0,0,0,0,25
78,13,"가죽공예가: 레벨 20","가죽공예가 레벨 20 달성",5,0,0,35404,3,3,12,20,0,0,0,0,0,0,0,26
79,13,"가죽공예가: 레벨 30","가죽공예가 레벨 30 달성",5,0,0,35404,3,3,12,30,0,0,0,0,0,0,0,27
80,13,"가죽공예가: 레벨 40","가죽공예가 레벨 40 달성",5,0,0,35404,3,3,12,40,0,0,0,0,0,0,0,28
81,13,"가죽공예가: 레벨 50","가죽공예가 레벨 50 달성",5,0,0,35404,3,3,12,50,0,0,0,0,0,0,0,29
82,13,"재봉사: 레벨 10","재봉사 레벨 10 달성",5,0,0,35501,3,3,13,10,0,0,0,0,0,0,0,31
83,13,"재봉사: 레벨 20","재봉사 레벨 20 달성",5,0,0,35501,3,3,13,20,0,0,0,0,0,0,0,32
84,13,"재봉사: 레벨 30","재봉사 레벨 30 달성",5,0,0,35501,3,3,13,30,0,0,0,0,0,0,0,33
85,13,"재봉사: 레벨 40","재봉사 레벨 40 달성",5,0,0,35501,3,3,13,40,0,0,0,0,0,0,0,34
86,13,"재봉사: 레벨 50","재봉사 레벨 50 달성",5,0,0,35501,3,3,13,50,0,0,0,0,0,0,0,35
87,13,"연금술사: 레벨 10","연금술사 레벨 10 달성",5,0,0,35604,3,3,14,10,0,0,0,0,0,0,0,37
88,13,"연금술사: 레벨 20","연금술사 레벨 20 달성",5,0,0,35604,3,3,14,20,0,0,0,0,0,0,0,38
89,13,"연금술사: 레벨 30","연금술사 레벨 30 달성",5,0,0,35604,3,3,14,30,0,0,0,0,0,0,0,39
90,13,"연금술사: 레벨 40","연금술사 레벨 40 달성",5,0,0,35604,3,3,14,40,0,0,0,0,0,0,0,40
91,13,"연금술사: 레벨 50","연금술사 레벨 50 달성",5,0,0,35604,3,3,14,50,0,0,0,0,0,0,0,41
92,13,"요리사: 레벨 10","요리사 레벨 10 달성",5,0,0,35704,3,3,15,10,0,0,0,0,0,0,0,43
93,13,"요리사: 레벨 20","요리사 레벨 20 달성",5,0,0,35704,3,3,15,20,0,0,0,0,0,0,0,44
94,13,"요리사: 레벨 30","요리사 레벨 30 달성",5,0,0,35704,3,3,15,30,0,0,0,0,0,0,0,45
95,13,"요리사: 레벨 40","요리사 레벨 40 달성",5,0,0,35704,3,3,15,40,0,0,0,0,0,0,0,46
96,13,"요리사: 레벨 50","요리사 레벨 50 달성",5,0,0,35704,3,3,15,50,0,0,0,0,0,0,0,47
97,10,"장인의 길","목수, 대장장이, 갑주제작사, 보석공예가, 가죽공예가, 재봉사, 연금술사, 요리사 모두 레벨 50 달성",20,15,0,1558,4,2,61,66,71,76,81,86,91,96,0,7
98,14,"광부: 레벨 10","광부 레벨 10 달성",5,0,0,38003,3,3,16,10,0,0,0,0,0,0,0,1
99,14,"광부: 레벨 20","광부 레벨 20 달성",5,0,0,38003,3,3,16,20,0,0,0,0,0,0,0,2
100,14,"광부: 레벨 30","광부 레벨 30 달성",5,0,0,38003,3,3,16,30,0,0,0,0,0,0,0,3
101,14,"광부: 레벨 40","광부 레벨 40 달성",5,0,0,38003,3,3,16,40,0,0,0,0,0,0,0,4
102,14,"광부: 레벨 50","광부 레벨 50 달성",5,0,0,38003,3,3,16,50,0,0,0,0,0,0,0,5
103,14,"원예가: 레벨 10","원예가 레벨 10 달성",5,0,0,38103,3,3,17,10,0,0,0,0,0,0,0,7
104,14,"원예가: 레벨 20","원예가 레벨 20 달성",5,0,0,38103,3,3,17,20,0,0,0,0,0,0,0,8
105,14,"원예가: 레벨 30","원예가 레벨 30 달성",5,0,0,38103,3,3,17,30,0,0,0,0,0,0,0,9
106,14,"원예가: 레벨 40","원예가 레벨 40 달성",5,0,0,38103,3,3,17,40,0,0,0,0,0,0,0,10
107,14,"원예가: 레벨 50","원예가 레벨 50 달성",5,0,0,38103,3,3,17,50,0,0,0,0,0,0,0,11
108,14,"어부: 레벨 10","어부 레벨 10 달성",5,0,0,38203,3,3,18,10,0,0,0,0,0,0,0,13
109,14,"어부: 레벨 20","어부 레벨 20 달성",5,0,0,38203,3,3,18,20,0,0,0,0,0,0,0,14
110,14,"어부: 레벨 30","어부 레벨 30 달성",5,0,0,38203,3,3,18,30,0,0,0,0,0,0,0,15
111,14,"어부: 레벨 40","어부 레벨 40 달성",5,0,0,38203,3,3,18,40,0,0,0,0,0,0,0,16
112,14,"어부: 레벨 50","어부 레벨 50 달성",5,0,0,38203,3,3,18,50,0,0,0,0,0,0,0,17
113,10,"자연의 혜택","광부, 원예가, 어부 모두 레벨 50 달성",20,16,0,1068,4,2,102,107,112,0,0,0,0,0,0,8
114,19,"피와 땀의 대가: 1단계","의뢰 보수로 총 100길 획득",5,0,0,25919,3,1,13,100,0,0,0,0,0,0,0,0
115,19,"피와 땀의 대가: 2단계","의뢰 보수로 총 1,000길 획득",5,0,0,25919,3,1,13,1000,0,0,0,0,0,0,0,0
116,19,"피와 땀의 대가: 3단계","의뢰 보수로 총 10,000길 획득",5,0,0,25919,3,1,13,10000,0,0,0,0,0,0,0,0
117,19,"피와 땀의 대가: 4단계","의뢰 보수로 총 100,000길 획득",5,0,0,25919,3,1,13,100000,0,0,0,0,0,0,0,0
118,19,"피와 땀의 대가: 5단계","의뢰 보수로 총 1,000,000길 획득",5,0,0,25919,3,1,13,1000000,0,0,0,0,0,0,0,0
119,19,"상업의 신 날달의 총애","의뢰 보수로 총 10,000,000길 획득",10,11,0,463,3,1,13,10000000,0,0,0,0,0,0,0,0
120,50,"티끌 모아 태산: 1단계","적을 처치하여 총 1,000길 획득",5,0,0,26001,0,1,12,1000,0,0,0,0,0,0,0,0
121,50,"티끌 모아 태산: 2단계","적을 처치하여 총 10,000길 획득",5,0,0,26001,0,1,12,10000,0,0,0,0,0,0,0,0
122,50,"티끌 모아 태산: 3단계","적을 처치하여 총 100,000길 획득",5,0,0,26001,0,1,12,100000,0,0,0,0,0,0,0,0
123,50,"티끌 모아 태산: 4단계","적을 처치하여 총 1,000,000길 획득",5,0,0,26001,0,1,12,1000000,0,0,0,0,0,0,0,0
124,50,"티끌 모아 태산: 5단계","적을 처치하여 총 10,000,000길 획득",5,0,0,26001,0,1,12,10000000,0,0,0,0,0,0,0,0
125,50,"뼛속까지 싸움꾼","적을 처치하여 총 100,000,000길 획득",10,12,0,207,0,1,12,100000000,0,0,0,0,0,0,0,0
126,18,"고결한 신전기사","신전기사 사슬머리쓰개, 신전기사 고리갑옷, 신전기사 쇠구두, 신전기사 허리갑옷을 모두 입수<br>※ 장비를 모두 착용한 상태로 그리다니아 구시가지에 있는 '조나서스'에게 말을 걸어야 합니다.",5,0,0,40039,4,1,232,0,0,0,0,0,0,0,0,1
127,18,"용맹한 해적","해적 삼각모자, 해적 셔츠, 해적 장화, 해적 장식띠를 모두 입수<br>※ 장비를 모두 착용한 상태로 그리다니아 구시가에 있는 '조나서스'에게 말을 걸어야 합니다.",5,0,0,40599,4,1,233,0,0,0,0,0,0,0,0,2
128,18,"경쾌한 어릿광대","어릿광대 모자, 어릿광대 누비옷, 어릿광대 쫄바지, 어릿광대 허리띠를 모두 입수<br>※ 장비를 모두 착용한 상태로 그리다니아 구시가에 있는 '조나서스'에게 말을 걸어야 합니다.",5,0,0,40575,4,1,234,0,0,0,0,0,0,0,0,3
129,18,"고대의 무기: 커르타나와 신성한 방패","퀘스트 '되살아나는 고대의 무기'를 완료하고 커르타나와 신성한 방패 입수",10,2,0,30446,4,6,66656,0,0,0,0,0,0,0,0,4
130,18,"고대의 무기: 스파이라이","퀘스트 '되살아나는 고대의 무기'를 완료하고 스파이라이 입수",10,3,0,31034,4,6,66657,0,0,0,0,0,0,0,0,5
131,18,"고대의 무기: 브라부라","퀘스트 '되살아나는 고대의 무기'를 완료하고 브라부라 입수",10,4,0,31440,4,6,66655,0,0,0,0,0,0,0,0,6
132,18,"고대의 무기: 게 볼그","퀘스트 '되살아나는 고대의 무기'를 완료하고 게 볼그 입수",10,5,0,31842,4,6,66658,0,0,0,0,0,0,0,0,7
133,18,"고대의 무기: 아르테미스의 활","퀘스트 '되살아나는 고대의 무기'를 완료하고 아르테미스의 활 입수",10,6,0,32238,4,6,66661,0,0,0,0,0,0,0,0,8
134,18,"고대의 무기: 타이러스","퀘스트 '되살아나는 고대의 무기'를 완료하고 타이러스 입수",10,7,0,32626,4,6,66660,0,0,0,0,0,0,0,0,10
135,18,"고대의 무기: 은하수 지팡이","퀘스트 '되살아나는 고대의 무기'를 완료하고 은하수 지팡이 입수",10,8,0,33012,4,6,66659,0,0,0,0,0,0,0,0,11
136,18,"되살아난 고대의 무기","퀘스트 '되살아나는 고대의 무기'를 완료하고 커르타나, 신성한 방패, 스파이라이, 브라부라, 게 볼그, 아르테미스의 활, 타이러스, 은하수 지팡이, 위유베르, 자나디서 입수",30,1,0,2502,4,2,129,130,131,132,133,134,135,597,598,14
137,23,"숙련된 목수: 입문","목수로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35001,3,1,23,50,0,0,0,0,0,0,0,1
138,23,"숙련된 목수: 견습","목수로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35001,3,1,24,300,0,0,0,0,0,0,0,2
139,23,"숙련된 목수: 도제","목수로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35001,3,1,25,750,0,0,0,0,0,0,0,3
140,23,"숙련된 목수: 하급","목수로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35001,3,1,26,1500,0,0,0,0,0,0,0,4
141,23,"숙련된 목수: 상급","목수로 제작법 레벨 41~50의 아이템 3,000회 제작",10,17,0,35001,3,1,27,3000,0,0,0,0,0,0,0,5
142,23,"명인 목수","업적 '숙련된 목수: 입문', '숙련된 목수: 견습', '숙련된 목수: 도제', '숙련된 목수: 하급', '숙련된 목수: 상급'을 모두 달성",30,0,2326,35010,4,2,137,138,139,140,141,0,0,0,0,6
143,24,"숙련된 대장장이: 입문","대장장이로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35106,3,1,28,50,0,0,0,0,0,0,0,1
144,24,"숙련된 대장장이: 견습","대장장이로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35106,3,1,29,300,0,0,0,0,0,0,0,2
145,24,"숙련된 대장장이: 도제","대장장이로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35106,3,1,30,750,0,0,0,0,0,0,0,3
146,24,"숙련된 대장장이: 하급","대장장이로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35106,3,1,31,1500,0,0,0,0,0,0,0,4
147,24,"숙련된 대장장이: 상급","대장장이로 제작법 레벨 41~50의 아이템 3,000회 제작",10,18,0,35106,3,1,32,3000,0,0,0,0,0,0,0,5
148,24,"명인 대장장이","업적 '숙련된 대장장이: 입문', '숙련된 대장장이: 견습', '숙련된 대장장이: 도제', '숙련된 대장장이: 하급', '숙련된 대장장이: 상급'을 모두 달성",30,0,2353,35110,4,2,143,144,145,146,147,0,0,0,0,6
149,25,"숙련된 갑주제작사: 입문","갑주제작사로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35203,3,1,33,50,0,0,0,0,0,0,0,1
150,25,"숙련된 갑주제작사: 견습","갑주제작사로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35203,3,1,34,300,0,0,0,0,0,0,0,2
151,25,"숙련된 갑주제작사: 도제","갑주제작사로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35203,3,1,35,750,0,0,0,0,0,0,0,3
152,25,"숙련된 갑주제작사: 하급","갑주제작사로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35203,3,1,36,1500,0,0,0,0,0,0,0,4
153,25,"숙련된 갑주제작사: 상급","갑주제작사로 제작법 레벨 41~50의 아이템 3,000회 제작",10,19,0,35203,3,1,37,3000,0,0,0,0,0,0,0,5
154,25,"명인 갑주제작사","업적 '숙련된 갑주제작사: 입문', '숙련된 갑주제작사: 견습', '숙련된 갑주제작사: 도제', '숙련된 갑주제작사: 하급', '숙련된 갑주제작사: 상급'을 모두 달성",30,0,2378,35209,4,2,149,150,151,152,153,0,0,0,0,6
155,26,"숙련된 보석공예가: 입문","보석공예가로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35301,3,1,38,50,0,0,0,0,0,0,0,1
156,26,"숙련된 보석공예가: 견습","보석공예가로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35301,3,1,39,300,0,0,0,0,0,0,0,2
157,26,"숙련된 보석공예가: 도제","보석공예가로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35301,3,1,40,750,0,0,0,0,0,0,0,3
158,26,"숙련된 보석공예가: 하급","보석공예가로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35301,3,1,41,1500,0,0,0,0,0,0,0,4
159,26,"숙련된 보석공예가: 상급","보석공예가로 제작법 레벨 41~50의 아이템 3,000회 제작",10,20,0,35301,3,1,42,3000,0,0,0,0,0,0,0,5
160,26,"명인 보석공예가","업적 '숙련된 보석공예가: 입문', '숙련된 보석공예가: 견습', '숙련된 보석공예가: 도제', '숙련된 보석공예가: 하급', '숙련된 보석공예가: 상급'을 모두 달성",30,0,2403,35309,4,2,155,156,157,158,159,0,0,0,0,6
161,27,"숙련된 가죽공예가: 입문","가죽공예가로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35404,3,1,43,50,0,0,0,0,0,0,0,1
162,27,"숙련된 가죽공예가: 견습","가죽공예가로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35404,3,1,44,300,0,0,0,0,0,0,0,2
163,27,"숙련된 가죽공예가: 도제","가죽공예가로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35404,3,1,45,750,0,0,0,0,0,0,0,3
164,27,"숙련된 가죽공예가: 하급","가죽공예가로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35404,3,1,46,1500,0,0,0,0,0,0,0,4
165,27,"숙련된 가죽공예가: 상급","가죽공예가로 제작법 레벨 41~50의 아이템 3,000회 제작",10,21,0,35404,3,1,47,3000,0,0,0,0,0,0,0,5
166,27,"명인 가죽공예가","업적 '숙련된 가죽공예가: 입문', '숙련된 가죽공예가: 견습', '숙련된 가죽공예가: 도제', '숙련된 가죽공예가: 하급', '숙련된 가죽공예가: 상급'을 모두 달성",30,0,2428,35409,4,2,161,162,163,164,165,0,0,0,0,6
167,28,"숙련된 재봉사: 입문","재봉사로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35501,3,1,48,50,0,0,0,0,0,0,0,1
168,28,"숙련된 재봉사: 견습","재봉사로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35501,3,1,49,300,0,0,0,0,0,0,0,2
169,28,"숙련된 재봉사: 도제","재봉사로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35501,3,1,50,750,0,0,0,0,0,0,0,3
170,28,"숙련된 재봉사: 하급","재봉사로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35501,3,1,51,1500,0,0,0,0,0,0,0,4
171,28,"숙련된 재봉사: 상급","재봉사로 제작법 레벨 41~50의 아이템 3,000회 제작",10,22,0,35501,3,1,52,3000,0,0,0,0,0,0,0,5
172,28,"명인 재봉사","업적 '숙련된 재봉사: 입문', '숙련된 재봉사: 견습', '숙련된 재봉사: 도제', '숙련된 재봉사: 하급', '숙련된 재봉사: 상급'을 모두 달성",30,0,2454,35510,4,2,167,168,169,170,171,0,0,0,0,6
173,29,"숙련된 연금술사: 입문","연금술사로 제작법 레벨 1~10의 아이템 50회 제작",5,0,0,35604,3,1,53,50,0,0,0,0,0,0,0,1
174,29,"숙련된 연금술사: 견습","연금술사로 제작법 레벨 11~20의 아이템 300회 제작",5,0,0,35604,3,1,54,300,0,0,0,0,0,0,0,2
175,29,"숙련된 연금술사: 도제","연금술사로 제작법 레벨 21~30의 아이템 750회 제작",5,0,0,35604,3,1,55,750,0,0,0,0,0,0,0,3
176,29,"숙련된 연금술사: 하급","연금술사로 제작법 레벨 31~40의 아이템 1,500회 제작",5,0,0,35604,3,1,56,1500,0,0,0,0,0,0,0,4
177,29,"숙련된 연금술사: 상급","연금술사로 제작법 레벨 41~50의 아이템 3,000회 제작",10,23,0,35604,3,1,57,3000,0,0,0,0,0,0,0,5
