Index,0 [0x3][0x1c],1 [0x3][0x1d],2 [0x6][0x8],3 [0x3][0x1e],4 [0x6][0xc],5 [0x3][0x1f],6 [0x6][0x10],7 [0x5][0x18],8 [0x5][0x1a],9 [0x0][0x0],10 [0x0][0x4],11 [0x6][0x14]
17,8,1,20,7,5,3,1000,0,96,"버디: 토벌 수 1","버디와 함께 레벨이 비슷한 적 20마리 처치",0
18,8,2,100,7,10,3,2000,0,96,"버디: 토벌 수 2","버디와 함께 레벨이 비슷한 적 100마리 처치",0
19,9,1,5,0,0,3,1000,0,152,"야만족 퀘스트: 완료횟수 1","야만족 일일 퀘스트 5회 완료",0
20,9,2,15,0,0,3,2000,0,152,"야만족 퀘스트: 완료횟수 2","야만족 일일 퀘스트 15회 완료",0
21,10,1,5,0,0,3,10000,0,0,"공략수첩: 달성 수 1","공략수첩에 적힌 과제 5종류 달성",0
22,10,2,10,0,0,3,10000,0,0,"공략수첩: 달성 수 2","공략수첩에 적힌 과제 10종류 달성",0
23,10,3,15,0,0,3,10000,20,0,"공략수첩: 달성 수 3","공략수첩에 적힌 과제 15종류 달성",0
24,10,4,20,0,0,3,10000,30,0,"공략수첩: 달성 수 4","공략수첩에 적힌 과제 20종류 달성",0
25,11,1,5,5,10,3,1000,0,160,"플레이어 추천","플레이어 추천 투표에 총 5회 참가",56200
26,12,1,100,5,5,3,1000,0,0,"채집활동","광부나 원예가로 채집레벨에 맞는 아이템
100회 채집",0
27,12,2,30,5,5,3,2000,0,0,"채집활동: HQ","광부나 원예가로 채집레벨에 맞는 HQ 아이템 30회 채집",0
28,12,3,30,5,5,3,1000,0,0,"낚시","어부가 되어 30회 낚기",0
29,12,4,10,5,5,3,2000,0,0,"낚시: HQ","어부가 되어 HQ 아이템 10회 낚기",0
30,13,1,30,5,10,3,1000,0,0,"제작활동","30회 제작",0
31,13,2,20,5,10,3,2000,0,0,"제작활동: HQ","HQ 아이템 20회 제작",0
32,13,3,5,5,10,3,2000,0,98,"마테리아 장착","마테리아 장착 5회 성공",0
33,14,1,10,0,0,3,1000,0,168,"집사 수행: 완료횟수","집사 수행 의뢰를 10번 완료",0
34,14,2,15,0,0,3,4000,0,169,"집사 수행: 탐색횟수","집사 수행 중 탐색 의뢰를 15번 완료",0
35,3,3,7,0,0,4,10,0,176,"무법자의 전장: 참전횟수","무법자의 전장에 7번 참전",0
36,3,4,3,0,0,4,15,0,176,"무법자의 전장: 승리횟수","무법자의 전장에서 3번 승리",0
37,15,1,3,0,0,8,1000,0,201,"미니 게임: 완료횟수","미니 게임 3회 완료",0
38,15,2,100,0,0,8,1500,0,201,"미니 게임: 획득 MGP","미니 게임에서 100MGP 획득",0
39,15,3,5,0,0,8,5000,0,201,"돌발 게임: 참가횟수","돌발 게임에 5회 참가",0
40,15,4,3,0,0,8,8000,0,201,"돌발 게임: 완료횟수","돌발 게임 3회 완료",0
41,15,5,3,0,0,8,5000,0,196,"초코보 경주: 출전횟수 1","초코보 경주 3회 출전",0
42,15,6,20,0,0,8,8000,0,196,"초코보 경주: 출전횟수 2","초코보 경주 20회 출전",0
43,15,7,1,0,0,8,5000,0,196,"초코보 경주: 승리횟수 1","초코보 경주에서 1회 우승",0
44,15,8,10,0,0,8,8000,0,196,"초코보 경주: 승리횟수 2","초코보 경주에서 10회 우승",0
45,15,9,10,0,0,8,5000,0,199,"트리플 트라이어드: 대결횟수","트리플 트라이어드 대결 10회 완료",0
46,15,10,10,0,0,8,8000,0,199,"트리플 트라이어드: 승리횟수","트리플 트라이어드 대결에서 10회 승리",0
47,15,13,3,0,0,8,10000,0,224,"꼬마 친구 공방전: 대결 횟수","꼬마 친구 공방전 대결 3회 완료",0
48,10,5,30,0,0,3,15000,30,0,"공략수첩: 달성 수 5","공략수첩에 적힌 과제 30종류 달성",0
49,15,11,5,0,0,8,2500,0,200,"카드 대결장: 대결 횟수","카드 대결장에 입장하여 트리플 트라이어드 대결 5회 완료",0
50,15,12,3,0,0,8,3000,0,200,"카드 대결장: 승리 횟수","카드 대결장에 입장하여 트리플 트라이어드 대결 3회 승리",0
51,0,0,0,0,0,0,0,0,0,"","",0
52,0,0,0,0,0,0,0,0,0,"","",0
53,0,0,0,0,0,0,0,0,0,"","",0
54,0,0,0,0,0,0,0,0,0,"","",0
55,0,0,0,0,0,0,0,0,0,"","",0
56,0,0,0,0,0,0,0,0,0,"","",0
